link_id,link_class,modes,highway,old_capacity,new_capacity,old_permlanes,new_permlanes,capacity_ratio,per_lane_capacity,lane_source,note
l_0_0_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_1_0_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_2_0_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_2_1_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_3_0_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_3_0_r,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_5_0_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_5_1_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_5_2_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_7_0_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_7_1_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_8_0_f,osm_road,"car,pt",trunk_link,1200.0,3000.0,1.0,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_8_1_f,osm_road,"car,pt",trunk_link,1200.0,3000.0,1.0,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_9_0_f,osm_road,"car,pt",primary,1500.0,3600.0,2.0,2.0,2.4,1800.0,osm_lanes_oneway_total,
l_9_1_f,osm_road,"car,pt",primary,1500.0,3600.0,2.0,2.0,2.4,1800.0,osm_lanes_oneway_total,
l_9_2_f,osm_road,"car,pt",primary,1500.0,3600.0,2.0,2.0,2.4,1800.0,osm_lanes_oneway_total,
l_10_0_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_1_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_2_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_3_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_4_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_5_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_6_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_7_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_8_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_10_9_f,osm_road,"car,pt",primary,1500.0,5400.0,2.0,3.0,3.6,1800.0,dominant_highway_default,
l_11_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_4_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_5_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_6_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_7_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_8_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_9_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_10_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_11_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_12_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_13_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_14_f,osm_road,car,secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_15_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_16_f,osm_road,car,secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_17_f,osm_road,car,secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_18_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_19_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_20_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_11_21_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_13_0_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_13_1_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_14_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_14_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_14_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_14_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_14_4_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_15_0_f,osm_road,car,primary_link,1000.0,1200.0,1.0,1.0,1.2,1200.0,dominant_highway_default,
l_16_0_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_16_1_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_16_2_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_17_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_17_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_17_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_19_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_4_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_5_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_6_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_19_7_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_20_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_4_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_5_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_6_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_20_7_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_21_0_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_21_1_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_21_2_f,osm_road,"car,pt",trunk,1800.0,6000.0,2.0,3.0,3.3333333333333335,2000.0,dominant_highway_default,
l_22_0_f,osm_road,"car,pt",primary,1500.0,3600.0,2.0,2.0,2.4,1800.0,osm_lanes_oneway_total,
l_23_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_23_0_r,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_23_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_23_1_r,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_24_0_f,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_0_r,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_1_f,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_1_r,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_2_f,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_2_r,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_3_f,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_3_r,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_4_f,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_4_r,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_5_f,osm_road,"car,pt",service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_24_5_r,osm_road,car,service,300.0,400.0,1.0,1.0,1.3333333333333333,400.0,dominant_highway_default,
l_25_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_25_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_25_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_25_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_25_4_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_25_5_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_26_0_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_1_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_2_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_3_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_4_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_5_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_6_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_26_7_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_27_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,osm_lanes_oneway_total,
l_28_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_4_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_5_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_6_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_29_7_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_30_0_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_30_0_r,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_30_1_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_30_1_r,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_30_2_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_30_2_r,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_31_0_f,osm_road,car,tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_31_0_r,osm_road,car,tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_32_0_f,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_32_0_r,osm_road,"car,pt",tertiary,1000.0,1200.0,1.2,1.0,1.2,1200.0,dominant_highway_default,
l_33_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_33_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_33_2_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_33_3_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_34_0_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_34_1_f,osm_road,"car,pt",secondary,1200.0,3000.0,1.5,2.0,2.5,1500.0,dominant_highway_default,
l_35_0_f,osm_road,"car,pt",primary,1500.0,3600.0,2.0,2.0,2.4,1800.0,osm_lanes_oneway_total,
l_35_1_f,osm_road,"car,pt",primary,1500.0,3600.0,2.0,2.0,2.4,1800.0,osm_lanes_oneway_total,
