destination_activity_group,scenario,private_car_legs,complete_cost_legs,complete_cost_share,total_resolved_marginal_cost_hkd,mean_hkd,median_hkd,p90_hkd
education,low,278,232,0.8345323741007195,6520.436845510256,23.45480879679948,18.812483087039794,37.53778023779808
home,low,28858,28858,1.0,789770.5589934792,27.367473802532373,22.103414528661432,56.843555572982545
leisure,low,15652,15565,0.9944416049067212,877860.3965008499,56.08614851142664,54.818941542196704,80.12836114827711
medical_personal_business,low,3271,3258,0.9960256802201162,159148.58060361806,48.654411679491915,46.803199539265016,70.38460639675165
shopping,low,7946,7904,0.9947143216712812,371196.77858277835,46.714923053458136,43.55870535180408,69.9499978919575
work,low,8784,8705,0.9910063752276868,313227.6087776728,35.65888078070046,30.353479755150985,69.49648230112088
education,base,278,232,0.8345323741007195,9441.106755181863,33.96081566612181,27.738839641564006,53.905073101124515
home,base,28858,28858,1.0,1111885.7322195922,38.529549248721054,31.16737234568897,80.05017006205273
leisure,base,15652,15565,0.9944416049067212,1278797.7058456559,81.70187233872066,80.07361070141282,116.16754862417415
medical_personal_business,base,3271,3258,0.9960256802201162,231570.1258015136,70.7949024156263,67.6834959838621,101.25606177127364
shopping,base,7946,7904,0.9947143216712812,539785.7663709972,67.93176017757327,63.16502828099331,100.59034905200213
work,base,8784,8705,0.9910063752276868,1830195.5134562387,208.35559124046432,206.00895097685554,264.1077698887939
education,high,278,232,0.8345323741007195,12978.563293978723,46.68547947474361,36.36476529380613,75.57992990380457
home,high,28858,28858,1.0,1689051.3917718627,58.52974536599427,47.361449486903936,121.55634796304602
leisure,high,15652,15565,0.9944416049067212,1682140.049487629,107.47125284229676,105.23418439333051,156.97350076279923
medical_personal_business,high,3271,3258,0.9960256802201162,307964.62893730565,94.14999356077824,88.38858174911044,139.66835433585177
shopping,high,7946,7904,0.9947143216712812,720722.8957204762,90.70260454574328,83.06004715261862,139.38106823589823
work,high,8784,8705,0.9910063752276868,2558762.583464987,291.298108317963,287.1982634202624,359.8151629616282
