distance_band,scenario,private_car_legs,complete_cost_legs,complete_cost_share,total_resolved_marginal_cost_hkd,mean_hkd,median_hkd,p90_hkd
00_0_2km,low,3518,3504,0.9960204661739624,72395.79441400318,20.57867948095599,21.911407979515538,42.98957754135905
01_2_5km,low,8124,8111,0.9983998030526834,185598.6831932541,22.845726636294202,23.98035341939324,47.43802395086486
02_5_10km,low,14024,13974,0.996434683399886,398124.319170572,28.38878488095921,16.14465101977791,55.01971461743179
03_10_20km,low,20835,20760,0.9964002879769619,760832.033686759,36.517016255663975,29.76705593211066,60.85495533568657
04_20km_plus,low,18288,18173,0.9937117235345582,1100773.5298393203,60.19102853452102,57.93425231884806,86.95713523520455
00_0_2km,base,3518,3504,0.9960204661739624,119833.93142153518,34.06308454278999,35.011761704773875,68.38170610959743
01_2_5km,base,8124,8111,0.9983998030526834,366912.26361640077,45.16399109015273,40.954862042032694,88.49824316355755
02_5_10km,base,14024,13974,0.996434683399886,818618.7971395144,58.37270373213879,51.98872288055135,123.34698086562446
03_10_20km,base,20835,20760,0.9964002879769619,1546508.0885352325,74.22645013368046,62.23730504078857,183.93991347102477
04_20km_plus,base,18288,18173,0.9937117235345582,2149802.869736497,117.55265035741999,96.53553792388648,225.19474762203524
00_0_2km,high,3518,3504,0.9960204661739624,149892.34190361592,42.60726034781578,46.37811281845346,87.78645247921298
01_2_5km,high,8124,8111,0.9983998030526834,476918.5713011989,58.70489553190533,55.15578391237453,108.49647486004471
02_5_10km,high,14024,13974,0.996434683399886,1085859.1434705427,77.42863259202387,68.41743756511474,185.15874270216042
03_10_20km,high,20835,20760,0.9964002879769619,2133854.48774832,102.41682206615408,84.74009084557431,254.30291275048418
04_20km_plus,high,18288,18173,0.9937117235345582,3125095.5682525625,170.88230360086192,139.21146240676063,330.8312782088582
