scenario,summary_dimension,summary_value,record_count,resolved_count,unresolved_count,out_of_scope_count,total_cost_hkd_resolved_only,mean_cost_hkd_resolved_only,median_cost_hkd_resolved_only,p90_cost_hkd_resolved_only
low,overall,all_records,67718,64789,0,2929,1659564.3603039084,25.61490932571746,20.453589564667148,54.16921416489382
low,energy_status,out_of_scope_motorcycle,2929,0,0,2929,,,,
low,energy_status,resolved_representative_fleet_average,64756,64756,0,0,1659564.3603039086,25.62796281894973,20.46276038265727,54.17483154847369
low,energy_status,resolved_zero_distance_energy_zero,33,33,0,0,0.0,0.0,0.0,0.0
low,route_distance_quality,canonical_matsim_route_distance_matches_complete_sequence_minus_start_link,67681,64756,0,2925,1659564.3603039086,25.62796281894973,20.46276038265727,54.17483154847369
low,route_distance_quality,canonical_matsim_zero_distance_single_same_link_no_interior_links,37,33,0,4,0.0,0.0,0.0,0.0
low,zero_distance_classification,not_zero_distance,67681,64756,0,2925,1659564.3603039086,25.62796281894973,20.46276038265727,54.17483154847369
low,zero_distance_classification,valid_same_link_or_same_location_zero_distance,37,33,0,4,0.0,0.0,0.0,0.0
low,distance_band,00_zero,37,33,0,4,0.0,0.0,0.0,0.0
low,distance_band,01_0_to_1km,1118,1050,0,68,1140.0353873555666,1.0857479879576826,1.1553928439421557,1.558319371229047
low,distance_band,02_1_to_5km,11110,10559,0,551,52543.44221990171,4.9761759844589175,4.9742032151748985,7.547024236807555
low,distance_band,03_5_to_10km,14718,14024,0,694,175223.31917057198,12.494532171318594,12.544920751068068,15.705293918723731
low,distance_band,04_10_to_20km,21876,20835,0,1041,491601.03368675895,23.59496202000283,23.02391920959264,30.63044768943689
low,distance_band,05_20_to_40km,15701,15183,0,518,695064.3138866602,45.77911571406574,44.237858351444544,59.841545837752086
low,distance_band,06_over_40km,3158,3105,0,53,243992.21595266002,78.58042381728181,75.17625859791895,94.4593409006849
base,overall,all_records,67718,64789,0,2929,2341793.9504491785,36.14493124526044,28.861846791369157,76.4376128255154
base,energy_status,out_of_scope_motorcycle,2929,0,0,2929,,,,
base,energy_status,resolved_representative_fleet_average,64756,64756,0,0,2341793.950449178,36.16335089334082,28.874787636932993,76.44553945686478
base,energy_status,resolved_zero_distance_energy_zero,33,33,0,0,0.0,0.0,0.0,0.0
base,route_distance_quality,canonical_matsim_route_distance_matches_complete_sequence_minus_start_link,67681,64756,0,2925,2341793.950449178,36.16335089334082,28.874787636932993,76.44553945686478
base,route_distance_quality,canonical_matsim_zero_distance_single_same_link_no_interior_links,37,33,0,4,0.0,0.0,0.0,0.0
base,zero_distance_classification,not_zero_distance,67681,64756,0,2925,2341793.950449178,36.16335089334082,28.874787636932993,76.44553945686478
base,zero_distance_classification,valid_same_link_or_same_location_zero_distance,37,33,0,4,0.0,0.0,0.0,0.0
base,distance_band,00_zero,37,33,0,4,0.0,0.0,0.0,0.0
base,distance_band,01_0_to_1km,1118,1050,0,68,1608.6920382637986,1.5320876554893321,1.6303627849904725,2.1989282029072235
base,distance_band,02_1_to_5km,11110,10559,0,551,74143.50299967211,7.021830002810125,7.01904624866027,10.649527143625079
base,distance_band,03_5_to_10km,14718,14024,0,694,247255.7971395143,17.630903960319046,17.702006759373752,22.161576356194114
base,distance_band,04_10_to_20km,21876,20835,0,1041,693693.088535232,33.29460468131663,32.48881213066124,43.22230509067916
base,distance_band,05_20_to_40km,15701,15183,0,518,980797.9999852595,64.59843245638277,62.42358027577156,84.4417808554966
base,distance_band,06_over_40km,3158,3105,0,53,344294.86975123675,110.88401602294259,106.08043400604896,133.29059021497207
high,overall,all_records,67718,64789,0,2929,3564398.1126762396,55.01548276213924,43.930044405390404,116.34417402115373
high,energy_status,out_of_scope_motorcycle,2929,0,0,2929,,,,
high,energy_status,resolved_representative_fleet_average,64756,64756,0,0,3564398.11267624,55.04351894305145,43.94974140968719,116.35623898947266
high,energy_status,resolved_zero_distance_energy_zero,33,33,0,0,0.0,0.0,0.0,0.0
high,route_distance_quality,canonical_matsim_route_distance_matches_complete_sequence_minus_start_link,67681,64756,0,2925,3564398.11267624,55.04351894305145,43.94974140968719,116.35623898947266
high,route_distance_quality,canonical_matsim_zero_distance_single_same_link_no_interior_links,37,33,0,4,0.0,0.0,0.0,0.0
high,zero_distance_classification,not_zero_distance,67681,64756,0,2925,3564398.11267624,55.04351894305145,43.94974140968719,116.35623898947266
high,zero_distance_classification,valid_same_link_or_same_location_zero_distance,37,33,0,4,0.0,0.0,0.0,0.0
high,distance_band,00_zero,37,33,0,4,0.0,0.0,0.0,0.0
high,distance_band,01_0_to_1km,1118,1050,0,68,2448.5582362892933,2.331960225037422,2.481542849951834,3.3469449926837878
high,distance_band,02_1_to_5km,11110,10559,0,551,112852.35496852556,10.687788139835737,10.68355104287168,16.209433987285983
high,distance_band,03_5_to_10km,14718,14024,0,694,376343.14347054274,26.835649135092893,26.943873294911896,33.73169570396966
high,distance_band,04_10_to_20km,21876,20835,0,1041,1055856.48774832,50.67705724733957,49.45057639226103,65.78781308286452
high,distance_band,05_20_to_40km,15701,15183,0,518,1492853.1775366198,98.32399246108278,95.01369310428692,128.5271593833527
high,distance_band,06_over_40km,3158,3105,0,53,524044.3907159427,168.774360939112,161.46292405038952,202.87896298844726
