domain,metric,status,count,total,coverage_fraction,value,unit,notes
energy,energy_readiness,out_of_scope_motorcycle,2929.0,67718.0,0.04325290173956703,,,
energy,energy_readiness,ready_distance_only,64789.0,67718.0,0.956747098260433,,,
energy,energy_readiness,unresolved_route_distance,0.0,67718.0,0.0,,,
energy,energy_readiness,unresolved_vehicle_class,0.0,67718.0,0.0,,,
toll,toll_readiness,ambiguous_incomplete_route,0.0,67718.0,0.0,,,
toll,toll_readiness,out_of_scope_vehicle_class,2929.0,67718.0,0.04325290173956703,,,
toll,toll_readiness,route_ready_for_toll_matching,64745.0,67718.0,0.9560973448713783,,,
toll,toll_readiness,unresolved_non_contiguous_route,0.0,67718.0,0.0,,,
toll,toll_readiness,unresolved_toll_feature_mapping,44.0,67718.0,0.0006497533890546088,,,
toll,toll_readiness,unresolved_unknown_network_link,0.0,67718.0,0.0,,,
parking,parking_readiness,out_of_scope_vehicle_class,2929.0,67718.0,0.04325290173956703,,,
parking,parking_readiness,ready_duration_and_proxy_zone,35564.0,67718.0,0.5251779438258661,,,
parking,parking_readiness,ready_home_fixed_parking_separate,28858.0,67718.0,0.4261496204849523,,,
parking,parking_readiness,unresolved_activity_type,0.0,67718.0,0.0,,,
parking,parking_readiness,unresolved_destination_zone,98.0,67718.0,0.001447178002894356,,,
parking,parking_readiness,unresolved_duration,2.0,67718.0,2.9534244957027673e-05,,,
parking,parking_readiness,unresolved_vehicle_chain,267.0,67718.0,0.003942821701763194,,,
parking,destination_activity_group,border,0.0,64789.0,0.0,,,
parking,destination_activity_group,education,278.0,64789.0,0.004290851842133695,,,
parking,destination_activity_group,home,28858.0,64789.0,0.44541511676364814,,,
parking,destination_activity_group,leisure,15652.0,64789.0,0.241584219543441,,,
parking,destination_activity_group,medical_personal_business,3271.0,64789.0,0.05048696537992561,,,
parking,destination_activity_group,other,0.0,64789.0,0.0,,,
parking,destination_activity_group,shopping,7946.0,64789.0,0.12264427603451203,,,
parking,destination_activity_group,unresolved_blank_activity_type,0.0,64789.0,0.0,,,
parking,destination_activity_group,visitor_accommodation,0.0,64789.0,0.0,,,
parking,destination_activity_group,work,8784.0,64789.0,0.1355785704363395,,,
energy,route_distance_min_m,observed,,,,0.0,m,
energy,route_distance_median_m,observed,,,,12408.222000000003,m,
energy,route_distance_p90_m,observed,,,,32861.89120000001,m,
energy,route_distance_max_m,observed,,,,80574.91100000002,m,
energy,individual_powertrain_identifiable,unavailable,0.0,64789.0,0.0,,,"No powertrain, fuel type, engine size or vehicle-age field is present in privateVehicles or routed vehicle references."
route,all_links_exist,true,64789.0,64789.0,1.0,,,
route,topology_contiguous,true,64789.0,64789.0,1.0,,,
parking,duration_available,true,43034.0,64789.0,0.6642176912747534,,,
parking,duration_available_non_home,true,35662.0,35931.0,0.9925134285157663,,,Home arrivals are excluded because home parking is a separate fixed parking treatment.
parking,destination_zone_available,true,64686.0,64789.0,0.9984102239577706,,,
parking,activity_group_available,true,64789.0,64789.0,1.0,,,
