scenario,summary_dimension,summary_value,record_count,resolved_count,unresolved_count,out_of_scope_count,total_cost_hkd_resolved_only,mean_cost_hkd_resolved_only,median_cost_hkd_resolved_only,p90_cost_hkd_resolved_only
low,overall,all_records,67718,63954,835,2929,838964.0,13.118241235888295,0.0,38.0
low,zone_group,hong_kong_island,15511,14787,122,602,234298.0,15.844863731656185,0.0,48.0
low,zone_group,kowloon_urban,24428,22896,178,1354,388272.0,16.958071278825997,24.0,42.0
low,zone_group,new_territories_lantau,27676,26271,432,973,216394.0,8.236991359293517,0.0,28.0
low,zone_group,unresolved,103,0,103,0,,,,
low,activity_group,education,278,232,46,0,2902.0,12.508620689655173,14.0,16.0
low,activity_group,home,30088,28390,468,1230,0.0,0.0,0.0,0.0
low,activity_group,leisure,16669,15565,87,1017,539928.0,34.68859620944426,30.0,52.0
low,activity_group,medical_personal_business,3478,3258,13,207,90644.0,27.821976672805402,28.0,32.0
low,activity_group,shopping,8421,7904,42,475,205490.0,25.998228744939272,28.0,32.0
low,activity_group,work,8784,8605,179,0,0.0,0.0,0.0,0.0
low,duration_band,00_0_to_1h,3292,3286,0,6,4606.0,1.4017041996348143,0.0,10.0
low,duration_band,01_1_to_2h,22115,20993,13,1109,469180.0,22.34935454675368,28.0,32.0
low,duration_band,02_2_to_4h,10424,9829,11,584,365178.0,37.153118323328925,42.0,56.0
low,duration_band,03_4_to_8h,2334,2323,11,0,0.0,0.0,0.0,0.0
low,duration_band,04_8_to_12h,6495,6433,62,0,0.0,0.0,0.0,0.0
low,duration_band,05_12_to_24h,73,72,1,0,0.0,0.0,0.0,0.0
low,duration_band,terminal_no_next_departure,22250,21018,2,1230,0.0,0.0,0.0,0.0
low,duration_band,unavailable,735,0,735,0,,,,
low,parking_status,out_of_scope_motorcycle,2929,0,0,2929,,,,
low,parking_status,resolved_home_marginal_zero_fixed_separate,28390,28390,0,0,0.0,0.0,0.0,0.0
low,parking_status,resolved_proxy_charge,26959,26959,0,0,838964.0,31.11999703253088,28.0,48.0
low,parking_status,resolved_work_subscription_assumed_prepaid,8605,8605,0,0,0.0,0.0,0.0,0.0
low,parking_status,unresolved_missing_destination_zone,98,0,98,0,,,,
low,parking_status,unresolved_missing_next_departure_non_home,2,0,2,0,,,,
low,parking_status,unresolved_next_departure_facility_mismatch,269,0,269,0,,,,
low,parking_status,unresolved_vehicle_time_overlap,466,0,466,0,,,,
base,overall,all_records,67718,63954,835,2929,2624827.0,41.04242111517653,32.0,110.0
base,zone_group,hong_kong_island,15511,14787,122,602,916111.0,61.95381077973896,48.0,210.0
base,zone_group,kowloon_urban,24428,22896,178,1354,1059400.0,46.27009084556254,40.0,160.0
base,zone_group,new_territories_lantau,27676,26271,432,973,649316.0,24.716074759240225,0.0,110.0
base,zone_group,unresolved,103,0,103,0,,,,
base,activity_group,education,278,232,46,0,4366.0,18.81896551724138,20.0,24.0
base,activity_group,home,30088,28390,468,1230,0.0,0.0,0.0,0.0
base,activity_group,leisure,16669,15565,87,1017,804077.0,51.65929971088982,48.0,72.0
base,activity_group,medical_personal_business,3478,3258,13,207,135189.0,41.494475138121544,40.0,48.0
base,activity_group,shopping,8421,7904,42,475,306845.0,38.821482793522264,40.0,48.0
base,activity_group,work,8784,8605,179,0,1374350.0,159.7152818128995,160.0,210.0
base,duration_band,00_0_to_1h,3292,3286,0,6,6917.0,2.1049908703590994,0.0,16.0
base,duration_band,01_1_to_2h,22115,20993,13,1109,699884.0,33.33892249797552,40.0,48.0
base,duration_band,02_2_to_4h,10424,9829,11,584,543676.0,55.313460168887985,60.0,80.0
base,duration_band,03_4_to_8h,2334,2323,11,0,335410.0,144.38656909169177,160.0,210.0
base,duration_band,04_8_to_12h,6495,6433,62,0,1027470.0,159.71863827141303,160.0,210.0
base,duration_band,05_12_to_24h,73,72,1,0,11470.0,159.30555555555554,160.0,210.0
base,duration_band,terminal_no_next_departure,22250,21018,2,1230,0.0,0.0,0.0,0.0
base,duration_band,unavailable,735,0,735,0,,,,
base,parking_status,out_of_scope_motorcycle,2929,0,0,2929,,,,
base,parking_status,resolved_home_marginal_zero_fixed_separate,28390,28390,0,0,0.0,0.0,0.0,0.0
base,parking_status,resolved_proxy_charge,35564,35564,0,0,2624827.0,73.80573051400293,48.0,160.0
base,parking_status,unresolved_missing_destination_zone,98,0,98,0,,,,
base,parking_status,unresolved_missing_next_departure_non_home,2,0,2,0,,,,
base,parking_status,unresolved_next_departure_facility_mismatch,269,0,269,0,,,,
base,parking_status,unresolved_vehicle_time_overlap,466,0,466,0,,,,
high,overall,all_records,67718,63954,835,2929,3363957.0,52.599634112018016,42.0,192.0
high,zone_group,hong_kong_island,15511,14787,122,602,1026760.0,69.43666734293636,52.0,234.0
high,zone_group,kowloon_urban,24428,22896,178,1354,1359359.0,59.371025506638716,48.0,216.0
high,zone_group,new_territories_lantau,27676,26271,432,973,977838.0,37.221194472993034,0.0,147.0
high,zone_group,unresolved,103,0,103,0,,,,
high,activity_group,education,278,232,46,0,5293.0,22.814655172413794,24.0,26.0
high,activity_group,home,30088,28390,468,1230,0.0,0.0,0.0,0.0
high,activity_group,leisure,16669,15565,87,1017,962382.0,61.82987471892066,63.0,86.0
high,activity_group,medical_personal_business,3478,3258,13,207,161652.0,49.61694290976059,48.0,63.0
high,activity_group,shopping,8421,7904,42,475,367361.0,46.47785931174089,48.0,52.0
high,activity_group,work,8784,8605,179,0,1867269.0,216.998140615921,216.0,260.0
high,duration_band,00_0_to_1h,3292,3286,0,6,8328.0,2.534388314059647,0.0,19.0
high,duration_band,01_1_to_2h,22115,20993,13,1109,838295.0,39.93212023055304,48.0,52.0
high,duration_band,02_2_to_4h,10424,9829,11,584,650065.0,66.13745040187202,72.0,96.0
high,duration_band,03_4_to_8h,2334,2323,11,0,389446.0,167.64786913473955,187.0,210.0
high,duration_band,04_8_to_12h,6495,6433,62,0,1460763.0,227.07337167728897,234.0,260.0
high,duration_band,05_12_to_24h,73,72,1,0,17060.0,236.94444444444446,240.0,260.0
high,duration_band,terminal_no_next_departure,22250,21018,2,1230,0.0,0.0,0.0,0.0
high,duration_band,unavailable,735,0,735,0,,,,
high,parking_status,out_of_scope_motorcycle,2929,0,0,2929,,,,
high,parking_status,resolved_home_marginal_zero_fixed_separate,28390,28390,0,0,0.0,0.0,0.0,0.0
high,parking_status,resolved_proxy_charge,35564,35564,0,0,3363957.0,94.58882577887752,52.0,228.0
high,parking_status,unresolved_missing_destination_zone,98,0,98,0,,,,
high,parking_status,unresolved_missing_next_departure_non_home,2,0,2,0,,,,
high,parking_status,unresolved_next_departure_facility_mismatch,269,0,269,0,,,,
high,parking_status,unresolved_vehicle_time_overlap,466,0,466,0,,,,
