canonical_facility_id,official_facility_name,official_facility_name_raw,official_facility_name_chinese_raw,feature_id,feature_role_or_direction,source_layer,effective_date,rule_type,day_of_week,start_time,end_time,gazetted_toll,concession_toll,remarks,last_updated_date,source_sha256
aberdeen_tunnel,Aberdeen Tunnel,Aberdeen Tunnel,香港仔隧道,150499,official_feature_1_direction_unlabelled,TUN_BRIDGE_TOLL,2025-09-21T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
aberdeen_tunnel,Aberdeen Tunnel,Aberdeen Tunnel,香港仔隧道,150498,official_feature_2_direction_unlabelled,TUN_BRIDGE_TOLL,2025-09-21T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
lion_rock_tunnel,Lion Rock Tunnel,Lion Rock Tunnel,獅子山隧道,1884,official_feature_1_direction_unlabelled,TUN_BRIDGE_TOLL,1999-04-01T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
lion_rock_tunnel,Lion Rock Tunnel,Lion Rock Tunnel,獅子山隧道,1886,official_feature_2_direction_unlabelled,TUN_BRIDGE_TOLL,1999-04-01T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
shing_mun_tunnels,Shing Mun Tunnels,Shing Mun Tunnels,城門隧道,1822,official_feature_1_direction_unlabelled,TUN_BRIDGE_TOLL,2025-09-21T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
shing_mun_tunnels,Shing Mun Tunnels,Shing Mun Tunnels,城門隧道,1824,official_feature_2_direction_unlabelled,TUN_BRIDGE_TOLL,2025-09-21T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
tates_cairn_tunnel,Tate's Cairn Tunnel,Tate's Cairn Tunnel,大老山隧道,151058,official_feature_1_direction_unlabelled,TUN_BRIDGE_TOLL,2016-01-01T00:00:00+00:00,flat,nan,nan,nan,20.0,20.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
tates_cairn_tunnel,Tate's Cairn Tunnel,Tate's Cairn Tunnel,大老山隧道,151078,official_feature_2_direction_unlabelled,TUN_BRIDGE_TOLL,2016-01-01T00:00:00+00:00,flat,nan,nan,nan,20.0,20.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
tsing_sha_control_area,Tsing Sha Control Area (Eagle's Nest Tunnel and Sha Tin Heights Tunnel),Tsing Sha Control Area (Eagle's Nest Tunnel and Sha Tin Heights Tunnel),青沙管制區 (尖山隧道及沙田嶺隧道),2040,official_feature_1_direction_unlabelled,TUN_BRIDGE_TOLL,2008-03-21T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
tsing_sha_control_area,Tsing Sha Control Area (Eagle's Nest Tunnel and Sha Tin Heights Tunnel),Tsing Sha Control Area (Eagle's Nest Tunnel and Sha Tin Heights Tunnel),青沙管制區 (尖山隧道及沙田嶺隧道),7804,official_feature_2_direction_unlabelled,TUN_BRIDGE_TOLL,2008-03-21T00:00:00+00:00,flat,nan,nan,nan,8.0,8.0, ,2026-07-10T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,00:00:00,07:29:59,20.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,00:00:00,07:29:59,20.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:30:00,07:31:59,22.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:30:00,07:31:59,22.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:32:00,07:33:59,24.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:32:00,07:33:59,24.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:34:00,07:35:59,26.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:34:00,07:35:59,26.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:36:00,07:37:59,28.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:36:00,07:37:59,28.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:38:00,07:39:59,30.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:38:00,07:39:59,30.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150339,official_feature_1_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:40:00,07:41:59,32.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
cross_harbour_tunnel,Cross Harbour Tunnel,Cross Harbour Tunnel,海底隧道,150338,official_feature_2_direction_unlabelled,TUN_BRIDGE_TV_TOLL,2026-07-17T00:00:00+00:00,time_varying,A,07:40:00,07:41:59,32.0,,,2026-07-14T00:00:00+00:00,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943
