summary_scope,canonical_facility_id,scenario,passage_event_count,resolved_event_count,unresolved_event_count,charge_leg_count,resolved_private_car_leg_count,incomplete_unresolved_leg_count,out_of_scope_leg_count,total_cost_hkd_resolved_only,mean_cost_hkd_resolved_only,median_cost_hkd_resolved_only,p90_cost_hkd_resolved_only,rate_effective_dates,rate_sources,rate_boundary_event_count,all_record_resolved_coverage_fraction,private_car_resolved_coverage_fraction
facility,aberdeen_tunnel,low,2235,2235,0,2235,2235,0,0,17880.0,8.0,8.0,8.0,2025-09-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,cross_harbour_tunnel,low,7214,7214,0,7214,7214,0,0,210534.0,29.18408649847519,30.0,40.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,935,1.0,1.0
facility,eastern_harbour_crossing,low,3984,3984,0,3984,3984,0,0,118486.0,29.740461847389557,30.0,40.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,551,1.0,1.0
facility,lion_rock_tunnel,low,2919,2919,0,2919,2919,0,0,23352.0,8.0,8.0,8.0,1999-04-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,shing_mun_tunnels,low,1759,1759,0,1759,1759,0,0,14072.0,8.0,8.0,8.0,2025-09-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,tai_lam_tunnel,low,3944,3944,0,3944,3944,0,0,120435.0,30.53625760649087,30.0,45.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,820,1.0,1.0
facility,tates_cairn_tunnel,low,2832,2832,0,2832,2832,0,0,56640.0,20.0,20.0,20.0,2016-01-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,tsing_sha_control_area,low,1393,1393,0,1393,1393,0,0,11144.0,8.0,8.0,8.0,2008-03-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,western_harbour_crossing,low,4557,4557,0,4557,4557,0,0,160278.0,35.17182356813693,30.0,60.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,960,1.0,1.0
overall,all,low,30837,30837,0,25858,64789,0,2929,732821.0,11.310886107209557,0.0,40.0,2026-07-17T00:00:00+00:00|2008-03-21T00:00:00+00:00|1999-04-01T00:00:00+00:00|2025-09-21T00:00:00+00:00|2016-01-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL|data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,3266,0.956747098260433,1.0
facility,aberdeen_tunnel,base,2235,2235,0,2235,2235,0,0,17880.0,8.0,8.0,8.0,2025-09-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,cross_harbour_tunnel,base,7214,7214,0,7214,7214,0,0,215304.0,29.845300803992238,30.0,40.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,935,1.0,1.0
facility,eastern_harbour_crossing,base,3984,3984,0,3984,3984,0,0,121344.0,30.457831325301203,30.0,40.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,551,1.0,1.0
facility,lion_rock_tunnel,base,2919,2919,0,2919,2919,0,0,23352.0,8.0,8.0,8.0,1999-04-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,shing_mun_tunnels,base,1759,1759,0,1759,1759,0,0,14072.0,8.0,8.0,8.0,2025-09-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,tai_lam_tunnel,base,3944,3944,0,3944,3944,0,0,125206.0,31.745943204868155,30.0,45.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,820,1.0,1.0
facility,tates_cairn_tunnel,base,2832,2832,0,2832,2832,0,0,56640.0,20.0,20.0,20.0,2016-01-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,tsing_sha_control_area,base,1393,1393,0,1393,1393,0,0,11144.0,8.0,8.0,8.0,2008-03-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,western_harbour_crossing,base,4557,4557,0,4557,4557,0,0,166818.0,36.60697827518104,30.0,60.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,960,1.0,1.0
