scenario,summary_dimension,group_value,cost_component,record_count,private_car_count,motorcycle_count,resolved_count,unresolved_count,out_of_scope_count,complete_private_car_count,incomplete_private_car_count,resolved_only_total_hkd,complete_behavioral_total_hkd,accounting_sidecar_total_hkd,mean_hkd,median_hkd,p90_hkd,included_in_behavioral_marginal_total,notes
low,scenario_overview,all_car_legs,,67718,64789,2929,0,0,0,63954,835,,,,,,,False,Fixed ownership cost excluded; incomplete totals remain null.
low,component,fuel_or_electricity,fuel_or_electricity,67718,64789,2929,64789,0,2929,0,0,1659564.3603039084,,,25.61490932571746,20.453589564667148,54.16921416489382,True,Component retained independently; only complete legs enter behavioral marginal totals.
low,fuel_or_electricity_status,out_of_scope_motorcycle,fuel_or_electricity,2929,0,2929,0,0,2929,0,0,,,,,,,False,Source candidate status retained verbatim.
low,fuel_or_electricity_status,resolved_representative_fleet_average,fuel_or_electricity,64756,64756,0,64756,0,0,0,0,1659564.3603039086,,,,,,True,Source candidate status retained verbatim.
low,fuel_or_electricity_status,resolved_zero_distance_energy_zero,fuel_or_electricity,33,33,0,33,0,0,0,0,0.0,,,,,,True,Source candidate status retained verbatim.
low,component,toll,toll,67718,64789,2929,64789,0,2929,0,0,732821.0,,,11.310886107209557,0.0,40.0,True,Component retained independently; only complete legs enter behavioral marginal totals.
low,toll_status,confirmed_charge,toll,25858,25858,0,25858,0,0,0,0,732821.0,,,,,,True,Source candidate status retained verbatim.
low,toll_status,confirmed_no_charge,toll,38931,38931,0,38931,0,0,0,0,0.0,,,,,,True,Source candidate status retained verbatim.
low,toll_status,out_of_scope,toll,2929,0,2929,0,0,2929,0,0,,,,,,,False,Source candidate status retained verbatim.
low,component,destination_parking,destination_parking,67718,64789,2929,63954,835,2929,0,0,838964.0,,,13.118241235888295,0.0,38.0,True,Component retained independently; only complete legs enter behavioral marginal totals.
low,destination_parking_status,out_of_scope_motorcycle,destination_parking,2929,0,2929,0,0,2929,0,0,,,,,,,False,Source candidate status retained verbatim.
low,destination_parking_status,resolved_home_marginal_zero_fixed_separate,destination_parking,28390,28390,0,28390,0,0,0,0,0.0,,,,,,True,Source candidate status retained verbatim.
low,destination_parking_status,resolved_proxy_charge,destination_parking,26959,26959,0,26959,0,0,0,0,838964.0,,,,,,True,Source candidate status retained verbatim.
low,destination_parking_status,resolved_work_subscription_assumed_prepaid,destination_parking,8605,8605,0,8605,0,0,0,0,0.0,,,,,,True,Source candidate status retained verbatim.
low,destination_parking_status,unresolved_missing_destination_zone,destination_parking,98,98,0,0,98,0,0,0,,,,,,,False,Source candidate status retained verbatim.
low,destination_parking_status,unresolved_missing_next_departure_non_home,destination_parking,2,2,0,0,2,0,0,0,,,,,,,False,Source candidate status retained verbatim.
low,destination_parking_status,unresolved_next_departure_facility_mismatch,destination_parking,269,269,0,0,269,0,0,0,,,,,,,False,Source candidate status retained verbatim.
low,destination_parking_status,unresolved_vehicle_time_overlap,destination_parking,466,466,0,0,466,0,0,0,,,,,,,False,Source candidate status retained verbatim.
low,behavioral_complete,three_required_components_resolved,,63954,63954,0,0,0,0,63954,835,,3178496.276113128,,49.69972599232461,44.54051903235287,94.77790885701594,True,Energy plus toll plus destination parking; fixed ownership cost excluded.
low,destination_activity_group,education,,278,278,0,0,0,0,232,46,,5578.369299044112,,24.044695254500486,18.381425733700986,49.385502294737606,True,Statistics use complete private-car legs only.
low,destination_activity_group,home,,30088,28858,1230,0,0,0,28390,468,,1065855.3455405007,,37.5433372856816,31.13753012824703,78.55487213292547,True,Statistics use complete private-car legs only.
low,destination_activity_group,leisure,,16669,15652,1017,0,0,0,15565,87,,1031221.9665775171,,66.25261590604029,61.77790990777503,107.19995382228872,True,Statistics use complete private-car legs only.
low,destination_activity_group,medical_personal_business,,3478,3271,207,0,0,0,3258,13,,192338.7411367594,,59.035832147562736,51.7952347310098,96.89127910207804,True,Statistics use complete private-car legs only.
low,destination_activity_group,shopping,,8421,7946,475,0,0,0,7904,42,,447671.14197616803,,56.63855541196458,47.552816692805834,96.60498026124068,True,Statistics use complete private-car legs only.
low,destination_activity_group,work,,8784,8784,0,0,0,0,8605,179,,435830.71158313885,,50.64854289170702,43.488325997524264,101.86482143480146,True,Statistics use complete private-car legs only.
low,distance_band,gt0_to_5km,,12228,11609,619,0,0,0,11564,45,,256776.52561132167,,22.20481888717759,22.7317177444222,46.5466794911749,True,Statistics use complete private-car legs only.
low,distance_band,gt10_to_20km,,21876,20835,1041,0,0,0,20648,187,,1016139.2556092684,,49.21247847778324,46.95957796700744,84.8679782393756,True,Statistics use complete private-car legs only.
low,distance_band,gt20_to_40km,,15701,15183,518,0,0,0,14901,282,,1086810.013850885,,72.93537439439534,68.25288202218283,110.9525429452026,True,Statistics use complete private-car legs only.
low,distance_band,gt40km,,3158,3105,53,0,0,0,2881,224,,317414.25061182224,,110.1750262449921,107.62543548142413,151.76727691084358,True,Statistics use complete private-car legs only.
low,distance_band,gt5_to_10km,,14718,14024,694,0,0,0,13927,97,,500696.23042983096,,35.95147773604013,33.72938460176385,71.81047943315959,True,Statistics use complete private-car legs only.
low,distance_band,zero_distance,,37,33,4,0,0,0,33,0,,660.0,,20.0,20.0,40.0,True,Statistics use complete private-car legs only.
low,fixed_accounting_sidecar_reference,partial_fixed_vehicle_ownership_proxy,,21020,0,0,0,0,0,0,0,,,243910.77566921085,,,,False,Accounting sidecar only; never copied or summed into a leg.
base,scenario_overview,all_car_legs,,67718,64789,2929,0,0,0,63954,835,,,,,,,False,Fixed ownership cost excluded; incomplete totals remain null.
base,component,fuel_or_electricity,fuel_or_electricity,67718,64789,2929,64789,0,2929,0,0,2341793.9504491785,,,36.14493124526044,28.861846791369157,76.4376128255154,True,Component retained independently; only complete legs enter behavioral marginal totals.
