parking_supply_id,facility_type,source_record_id,name_en,address_en,region_en,district_en,subdistrict_en,latitude,longitude,private_car_capacity,capacity_status,capacity_source,capacity_includes_ev_and_disabled,ev_spaces,disabled_spaces,unloading_spaces,opening_status_snapshot,opening_rules_json,pricing_status,hourly_rate_min_hkd,hourly_rate_max_hkd,maximum_stay_min,pricing_rules_json,pricing_evidence_text,payment_methods,height_limit_m,facility_features,meter_space_ids,meter_operating_period_codes,availability_feed_status,availability_reference_id,source_provider,source_url,source_modified_date,source_snapshot_date,private_car_service_evidence,limitations,x_epsg32650,y_epsg32650,tcs_zone,nearest_car_link_id,nearest_car_link_freespeed_kmh,nearest_car_link_distance_m,routing_link_status,routing_adoption_status,runtime_parking_cost_status
hk_meter_pole_1,metered_on_street_pole,1,Meter pole 1 - ISLAND ROAD,ISLAND ROAD - THE HONG KONG GOLF CLUB,HONG KONG,SOUTHERN,BAYS AREAS,22.24591205,114.18623255,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,30,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":30},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":30}]",,meter_payment_channels_not_in_static_file,,,1A|1B,D,space_level_feed_complete,1A|1B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,209980.22187147953,2462743.8975885855,4,road_275975_0_f,42.9,12.81401354807812,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10,metered_on_street_pole,10,Meter pole 10 - ISLAND ROAD,ISLAND ROAD - DEEP WATER BAY,HONG KONG,SOUTHERN,BAYS AREAS,22.24469602,114.187737,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,120,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":120},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":120}]",,meter_payment_channels_not_in_static_file,,,10A|10B,D,space_level_feed_complete,10A|10B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,210132.87225577066,2462606.293320906,4,road_635_0_f,50.0,3.8914519514859403,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_100,metered_on_street_pole,100,Meter pole 100 - SOUTH BAY ROAD,SOUTH BAY ROAD - SOUTH BAY BEACH,HONG KONG,SOUTHERN,BAYS AREAS,22.224433717287194,114.1980399067038,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,120,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":120},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":120}]",,meter_payment_channels_not_in_static_file,,,100A|100B,D,space_level_feed_complete,100A|100B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,211153.85581364937,2460341.824824784,4,road_3610_0_r,50.0,50.074918300373625,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10006,metered_on_street_pole,10006,Meter pole 10006 - TAI NAN STREET,TAI NAN STREET - KWEILIN STREET,KOWLOON,SHAM SHUI PO,NAM CHEONG SOUTH,22.32962169457725,114.160056671164,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,60,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60}]",,meter_payment_channels_not_in_static_file,,,10006A|10006B,D,space_level_feed_complete,10006A|10006B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,207455.13121043658,2472068.3413592656,7,road_106279_0_f,30.0,5.428599264470384,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10007,metered_on_street_pole,10007,Meter pole 10007 - TAI NAN STREET,TAI NAN STREET - KWEILIN STREET,KOWLOON,SHAM SHUI PO,NAM CHEONG SOUTH,22.329687632145358,114.1599726820543,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,60,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60}]",,meter_payment_channels_not_in_static_file,,,10007A|10007B,D,space_level_feed_complete,10007A|10007B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,207446.61203582177,2472075.8096070695,7,road_106279_0_f,30.0,5.5587309735149795,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10008,metered_on_street_pole,10008,Meter pole 10008 - TAI NAN STREET,TAI NAN STREET - KWEILIN STREET,KOWLOON,SHAM SHUI PO,NAM CHEONG SOUTH,22.329753568895732,114.15988561099356,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,60,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60}]",,meter_payment_channels_not_in_static_file,,,10008A|10008B,D,space_level_feed_complete,10008A|10008B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,207437.7752073377,2472083.283757462,7,road_106279_0_f,30.0,5.896597298001352,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10009,metered_on_street_pole,10009,Meter pole 10009 - TAI NAN STREET,TAI NAN STREET - KWEILIN STREET,KOWLOON,SHAM SHUI PO,NAM CHEONG SOUTH,22.329819864234565,114.1597996958744,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,60,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60}]",,meter_payment_channels_not_in_static_file,,,10009A|10009B,D,space_level_feed_complete,10009A|10009B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,207429.0582802567,2472090.7953953445,7,road_106279_0_f,30.0,6.12649029327284,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10010,metered_on_street_pole,10010,Meter pole 10010 - TAI NAN STREET,TAI NAN STREET - KWEILIN STREET,KOWLOON,SHAM SHUI PO,NAM CHEONG SOUTH,22.329555041474222,114.16014682401556,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,60,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":60}]",,meter_payment_channels_not_in_static_file,,,10010A|10010B,D,space_level_feed_complete,10010A|10010B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,207464.28420393146,2472060.781870924,7,road_106279_0_f,30.0,4.943119798105175,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_1002,metered_on_street_pole,1002,Meter pole 1002 - TAI HANG ROAD,TAI HANG ROAD - TAI HANG ROAD CAR PARK,HONG KONG,WAN CHAI,TAI HANG,22.2766984,114.1945873,1,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,30,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":30},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":30}]",,meter_payment_channels_not_in_static_file,,,1002A,D,space_level_feed_complete,1002A,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,210905.17087326368,2466138.5490761804,2,road_3513_0_f,50.0,1.731292449070095,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
hk_meter_pole_10021,metered_on_street_pole,10021,Meter pole 10021 - YEE KUK STREET,YEE KUK STREET - PEI HO STREET,KOWLOON,SHAM SHUI PO,NAM CHEONG WEST,22.327320843290302,114.16114553982379,2,official_space_count_static_uncommissioned_risk,td_meter_space_rows,not_applicable,,,,not_provided,,structured_meter_rate,16.0,16.0,30,"[{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""MON|TUE|WED|THU|FRI|SAT"",""exclude_public_holiday"":false,""period_start"":""08:00"",""period_end"":""24:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":30},{""source"":""td_meter_static"",""operating_period_code"":""D"",""weekdays"":""SUN|PH"",""exclude_public_holiday"":false,""period_start"":""10:00"",""period_end"":""22:00"",""billing_increment_min"":15.0,""price_per_increment_hkd"":4.0,""equivalent_hourly_rate_hkd"":16.0,""maximum_stay_min"":30}]",,meter_payment_channels_not_in_static_file,,,10021A|10021B,D,space_level_feed_complete,10021A|10021B,Hong Kong Transport Department,https://resource.data.one.gov.hk/td/psiparkingspaces/spaceinfo/parkingspaces.csv,2026-08-11,2026-08-12,official_vehicle_type_A,PoleId>90000 testing records excluded; static file may still include meters awaiting commissioning.,207562.55992253846,2471811.3202316146,7,road_106241_0_f,50.0,6.576147988026806,audit_candidate_only_entrance_and_direction_unverified,not_adopted_requires_entrance_direction_validation,not_adopted_existing_tcs_activity_duration_proxy_remains_active
