matsim_line_id,matsim_route_id,official_operator,official_route_id,official_route_sequence,official_direction,route_franchise_scope_status,route_distance_m,stop_count,route_fallback_fare_hkd,fallback_level,fare_resolution_status,fare_resolution_method,fallback_reference_route_ids_json,fallback_reference_values_hkd_json,fallback_reference_count,official_published_fare_hkd,model_fare_hkd,cost_hkd,currency,cost_quality,model_assumption_used,anomaly_flag,anomaly_severity,anomaly_reason,audit_priority,selection_rationale,source_record_ids_json,source_file,source_sha256
line_bus_1000001,bus_1000001_1,KMB,1000001,1,1,confirmed_franchised_route,19204.502,21,10.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000001_1""]",[10.4],1,,10.4,10.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43210;43211;43212;43213;43214;43215;43216;43217;43218;43219;43220;43221;43222;43223;43224;43225;43226;43227;43228;43229;43230""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000001,bus_1000001_2,KMB,1000001,2,2,confirmed_franchised_route,19265.030000000002,22,10.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000001_2""]",[10.4],1,,10.4,10.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43231;43232;43233;43234;43235;43236;43237;43238;43239;43240;43241;43242;43243;43244;43245;43246;43247;43248;43249;43250;43251;43252""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000002,bus_1000002_1,KMB,1000002,1,1,confirmed_franchised_route,17558.061999999987,16,11.5,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000002_1""]",[11.5],1,,11.5,11.5,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43253;43254;43255;43256;43257;43258;43259;43260;43261;43262;43263;43264;43265;43266;43267;43268""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000004,bus_1000004_1,,1000004,,,operator_scope_unresolved,41945.461,2,21.3,5,route_fallback,all_bus_distance_stop_cohort_median_nearest_existing,"[""bus_8636_1"",""bus_1991_1"",""bus_8250_1"",""bus_1992_1"",""bus_8239_1"",""bus_1000637_1"",""bus_1000341_2"",""bus_1973_1"",""bus_8722_1"",""bus_8634_1"",""bus_8186_2"",""bus_8636_2"",""bus_1971_1"",""bus_1994_1"",""bus_1000341_1"",""bus_1972_1"",""bus_1991_2"",""bus_1453_1"",""bus_8634_2"",""bus_1000208_1"",""bus_8186_1"",""bus_1640_2"",""bus_1972_2"",""bus_1640_1"",""bus_1000684_2""]","[6.1,43.0,50.0,38.0,38.0,13.6,21.3,48.0,45.0,6.1,11.3,6.1,55.0,63.0,21.3,45.0,35.0,7.4,6.1,10.7,11.3,16.5,45.0,16.5,7.2]",25,,21.3,21.3,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,"level 5 similarity cohort of 25 routes; nonzero route-representative median position 28.15; nearest actual reference value 21.3, tie higher",[],data/transport_costs/hongkong/pt_fare_v1/bus_fare_simulation_v1/bus_simulation_fare_rules.parquet;data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/transitSchedule_5pct.xml.gz;data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/network.xml.gz,"{""gtfs"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06"",""network"":""dfc696442913a6d16a1ca1be7e5a332ec5762012190ed43a38f05493905ddc95"",""schedule"":""eb92e6c7b3c2746313be92b8c88d51bc645d1db3c6605d1f4b472f27c9896aed""}"
line_bus_1000004,bus_1000004_2,,1000004,,,operator_scope_unresolved,32117.052999999993,2,16.5,5,route_fallback,all_bus_distance_stop_cohort_median_nearest_existing,"[""bus_8636_1"",""bus_1000637_1"",""bus_1973_1"",""bus_8722_1"",""bus_1000341_2"",""bus_8634_1"",""bus_8186_2"",""bus_8636_2"",""bus_1991_1"",""bus_8250_1"",""bus_1992_1"",""bus_8239_1"",""bus_1453_1"",""bus_8634_2"",""bus_1991_2"",""bus_1972_1"",""bus_1000341_1"",""bus_1000208_1"",""bus_8186_1"",""bus_1640_2"",""bus_1972_2"",""bus_1640_1"",""bus_1000684_2"",""bus_1000308_1"",""bus_1973_2""]","[6.1,13.6,48.0,45.0,21.3,6.1,11.3,6.1,43.0,50.0,38.0,38.0,7.4,6.1,35.0,45.0,21.3,10.7,11.3,16.5,45.0,16.5,7.2,7.3,48.0]",25,,16.5,16.5,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,"level 5 similarity cohort of 25 routes; nonzero route-representative median position 16.5; nearest actual reference value 16.5, tie higher",[],data/transport_costs/hongkong/pt_fare_v1/bus_fare_simulation_v1/bus_simulation_fare_rules.parquet;data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/transitSchedule_5pct.xml.gz;data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/network.xml.gz,"{""gtfs"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06"",""network"":""dfc696442913a6d16a1ca1be7e5a332ec5762012190ed43a38f05493905ddc95"",""schedule"":""eb92e6c7b3c2746313be92b8c88d51bc645d1db3c6605d1f4b472f27c9896aed""}"
line_bus_1000006,bus_1000006_1,CTB,1000006,1,1,confirmed_franchised_route,9836.633999999996,29,4.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000006_1""]",[4.8],1,,4.8,4.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43269;43270;43271;43272;43273;43274;43275;43276;43277;43278;43279;43280;43281;43282;43283;43284;43285;43286;43287;43288;43289;43290;43291;43292;43293;43294;43295;43296;43297""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000007,bus_1000007_1,KMB,1000007,1,1,confirmed_franchised_route,15615.976000000002,20,8.6,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000007_1""]",[8.6],1,,8.6,8.6,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43298;43299;43300;43301;43302;43303;43304;43305;43306;43307;43308;43309;43310;43311;43312;43313;43314;43315;43316;43317""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000008,bus_1000008_1,KMB,1000008,1,1,confirmed_franchised_route,10229.639999999998,19,7.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000008_1""]",[7.8],1,,7.8,7.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43318;43319;43320;43321;43322;43323;43324;43325;43326;43327;43328;43329;43330;43331;43332;43333;43334;43335;43336""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000009,bus_1000009_1,CTB,1000009,1,1,confirmed_franchised_route,36909.313,26,24.2,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000009_1""]",[24.2],1,,24.2,24.2,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43337;43338;43339;43340;43341;43342;43343;43344;43345;43346;43347;43348;43349;43350;43351;43352;43353;43354;43355;43356;43357;43358;43359;43360;43361;43362""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000010,bus_1000010_1,KMB+CTB,1000010,1,1,confirmed_franchised_route,29108.52400000001,21,24.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000010_1""]",[24.4],1,,24.4,24.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43363;43364;43365;43366;43367;43368;43369;43370;43371;43372;43373;43374;43375;43376;43377;43378;43379;43380;43381;43382;43383""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000010,bus_1000010_2,KMB+CTB,1000010,2,2,confirmed_franchised_route,28744.41399999999,22,24.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000010_2""]",[24.4],1,,24.4,24.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43384;43385;43386;43387;43388;43389;43390;43391;43392;43393;43394;43395;43396;43397;43398;43399;43400;43401;43402;43403;43404;43405""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
