quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,travel_date,transfer_concession_requested,expected_result,expected_fallback_used,expected_resolution_method
confirmed_official_unique,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od
confirmed_official_zero,bus,line_bus_1000001,bus_1000001_2,1000001,2,13379,12418,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od
confirmed_duplicate_consensus,bus,line_bus_1000021,bus_1000021_1,1000021,1,10281,13142,unspecified,unspecified,unspecified,,false,available,false,identical_raw_candidate_consensus
confirmed_conflict_unique_mode,bus,line_bus_1000493,bus_1000493_1,1000493,1,1481,449,unspecified,unspecified,unspecified,,false,available,false,modal_raw_official_candidate_amount
confirmed_conflict_median_tie_higher,bus,line_bus_1000001,bus_1000001_1,1000001,1,12408,13183,unspecified,unspecified,unspecified,,false,available,false,median_nearest_existing_candidate_tie_higher
terminal_OD_matching_JSON_fullFare,bus,line_bus_1000378,bus_1000378_1,1000378,1,359,10241,unspecified,unspecified,unspecified,,false,available,false,terminal_OD_candidate_matching_JSON_fullFare
route_scope_unresolved_unique,bus,line_bus_1000690,bus_1000690_1,1000690,1,10000219,10000220,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od_route_scope_unresolved
route_scope_unresolved_duplicate,bus,line_bus_1000691,bus_1000691_1,1000691,1,10000003,8143,unspecified,unspecified,unspecified,,false,available,false,identical_raw_candidate_consensus
LRTFeeder_unique,bus,line_bus_1000066,bus_1000066_1,1000066,1,10000039,12384,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od_other_bus_scope
DB_unique,bus,line_bus_1000193,bus_1000193_1,1000193,1,10000085,10000086,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od_other_bus_scope
PI_unique,bus,line_bus_1000218,bus_1000218_1,1000218,1,10000403,12783,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od_other_bus_scope
XB_unique,bus,line_bus_1000618,bus_1000618_1,1000618,1,10000082,1326,unspecified,unspecified,unspecified,,false,available,false,direct_unique_gtfs_ordered_od_other_bus_scope
other_service_conflict,bus,line_bus_1000218,bus_1000218_1,1000218,1,12783,12786,unspecified,unspecified,unspecified,,false,available,false,median_nearest_existing_candidate_tie_higher
known_operator_unresolved_route_fallback,bus,line_bus_1000004,bus_1000004_1,1000004,,unknown_boarding,unknown_alighting,unspecified,unspecified,unspecified,,false,available,true,all_bus_distance_stop_cohort_median_nearest_existing
known_route_unknown_OD_fallback,bus,line_bus_1000001,bus_1000001_1,1000001,1,unknown_boarding,unknown_alighting,unspecified,unspecified,unspecified,,false,available,true,exact_json_route_direction_fullFare
transfer_requested_returns_base,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,,true,available,false,direct_unique_gtfs_ordered_od
specified_passenger_payment_returns_generic,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,adult,Octopus,unspecified,,false,available,false,direct_unique_gtfs_ordered_od
travel_date_returns_snapshot,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,2026-07-20,false,available,false,direct_unique_gtfs_ordered_od
reverse_OD_uses_route_fallback,bus,line_bus_1000001,bus_1000001_1,1000001,1,12406,10000016,unspecified,unspecified,unspecified,,false,available,true,exact_json_route_direction_fullFare
unknown_route_unresolved,bus,line_bus_unknown,bus_unknown_1,unknown,1,a,b,unspecified,unspecified,unspecified,,false,unresolved,false,
