quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,day_type,time_period,travel_date,temporal_basis,transfer_concession_requested,expected_result
available_nonzero_operator_1,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,available
available_nonzero_operator_2,bus,line_bus_1000006,bus_1000006_1,1000006,1,120,122,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,available
available_joint_operator,bus,line_bus_1000010,bus_1000010_1,1000010,1,12385,12922,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,available
available_unique_zero,bus,line_bus_1000001,bus_1000001_2,1000001,2,13379,12418,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,available
confirmed_duplicate,bus,line_bus_1000021,bus_1000021_1,1000021,1,10281,13142,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
confirmed_conflict,bus,line_bus_1000001,bus_1000001_1,1000001,1,12408,13183,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
franchise_scope_unresolved_unique,bus,line_bus_1000690,bus_1000690_1,1000690,1,10000219,10000220,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
other_bus_service,bus,line_bus_1000066,bus_1000066_1,1000066,1,10000039,12384,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
known_unmatched_route,bus,line_bus_1000004,bus_1000004_1,1000004,,,,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
same_direction_reverse_not_substituted,bus,line_bus_1000001,bus_1000001_1,1000001,1,12406,10000016,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
independent_reverse_route_available,bus,line_bus_1000001,bus_1000001_2,1000001,2,10000018,12418,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,available
official_route_mismatch,bus,line_bus_1000001,bus_1000001_1,999999999,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
line_route_mismatch,bus,line_bus_1000006,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
direction_unspecified,bus,line_bus_1000001,bus_1000001_1,1000001,unspecified,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
direction_wrong,bus,line_bus_1000001,bus_1000001_1,1000001,999,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
boarding_unknown,bus,line_bus_1000001,bus_1000001_1,1000001,1,999999999,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
alighting_unknown,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,999999999,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
travel_date_nonempty,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,2026-07-20,source_snapshot_only,false,unresolved
temporal_basis_wrong,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,travel_date,false,unresolved
passenger_adult,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,adult,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
payment_octopus,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,Octopus,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
service_class_specific,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,air_conditioned,unspecified,unspecified,,source_snapshot_only,false,unresolved
transfer_requested,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,true,unresolved
fullfare_fallback_rejected,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,10000016,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
missing_required_line,bus,,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
non_bus_mode,pt,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,false,unresolved
