quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,day_type,time_period,travel_date,temporal_basis,cost_component,fare_amount_role,published_fare_hkd,cost_hkd,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,cost_quality,mapping_status,mapping_quality,cost_applicability_status,source_record_id,source_record_ids_json,route_franchise_scope_status,unresolved_reason,transfer_concession_hkd,transfer_concession_status
available_nonzero_operator_1,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified_before_unmodelled_concessions,7.4,7.4,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_service_class_and_effective_period_unspecified,gtfs:fare_rules:614834;fare_attributes:614834;fare_id:1000001-1-17-18,"[{""fare_attribute_line"":614834,""fare_id"":""1000001-1-17-18"",""fare_rule_line"":614834}]",confirmed_franchised_route,,,not_modelled
available_nonzero_operator_2,bus,line_bus_1000006,bus_1000006_1,1000006,1,120,122,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified_before_unmodelled_concessions,4.8,4.8,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_service_class_and_effective_period_unspecified,gtfs:fare_rules:615371;fare_attributes:615371;fare_id:1000006-1-8-10,"[{""fare_attribute_line"":615371,""fare_id"":""1000006-1-8-10"",""fare_rule_line"":615371}]",confirmed_franchised_route,,,not_modelled
available_joint_operator,bus,line_bus_1000010,bus_1000010_1,1000010,1,12385,12922,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified_before_unmodelled_concessions,24.4,24.4,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_service_class_and_effective_period_unspecified,gtfs:fare_rules:616312;fare_attributes:616312;fare_id:1000010-1-2-8,"[{""fare_attribute_line"":616312,""fare_id"":""1000010-1-2-8"",""fare_rule_line"":616312}]",confirmed_franchised_route,,,not_modelled
available_unique_zero,bus,line_bus_1000001,bus_1000001_2,1000001,2,13379,12418,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified_before_unmodelled_concessions,0.0,0.0,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_service_class_and_effective_period_unspecified,gtfs:fare_rules:614982;fare_attributes:614982;fare_id:1000001-2-8-21,"[{""fare_attribute_line"":614982,""fare_id"":""1000001-2-8-21"",""fare_rule_line"":614982}]",confirmed_franchised_route,,,not_modelled
confirmed_duplicate,bus,line_bus_1000021,bus_1000021_1,1000021,1,10281,13142,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,confirmed_route_duplicate_identical,,not_modelled
confirmed_conflict,bus,line_bus_1000001,bus_1000001_1,1000001,1,12408,13183,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,confirmed_route_conflicting_amounts,,not_modelled
franchise_scope_unresolved_unique,bus,line_bus_1000690,bus_1000690_1,1000690,1,10000219,10000220,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],franchise_route_scope_unresolved,franchise_route_scope_unresolved,,not_modelled
other_bus_service,bus,line_bus_1000066,bus_1000066_1,1000066,1,10000039,12384,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],other_bus_service,other_bus_service,,not_modelled
known_unmatched_route,bus,line_bus_1000004,bus_1000004_1,1000004,,,,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],operator_scope_unresolved,route_scope_unresolved_no_official_direction_or_stop_pair,,not_modelled
same_direction_reverse_not_substituted,bus,line_bus_1000001,bus_1000001_1,1000001,1,12406,10000016,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,ordered_stop_pair_not_available_no_reverse_fallback,,not_modelled
independent_reverse_route_available,bus,line_bus_1000001,bus_1000001_2,1000001,2,10000018,12418,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified_before_unmodelled_concessions,10.4,10.4,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_service_class_and_effective_period_unspecified,gtfs:fare_rules:614937;fare_attributes:614937;fare_id:1000001-2-5-21,"[{""fare_attribute_line"":614937,""fare_id"":""1000001-2-5-21"",""fare_rule_line"":614937}]",confirmed_franchised_route,,,not_modelled
official_route_mismatch,bus,line_bus_1000001,bus_1000001_1,999999999,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,official_route_id_mismatch,,not_modelled
line_route_mismatch,bus,line_bus_1000006,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,matsim_line_route_combination_mismatch,,not_modelled
direction_unspecified,bus,line_bus_1000001,bus_1000001_1,1000001,unspecified,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,official_direction_must_be_exact,,not_modelled
direction_wrong,bus,line_bus_1000001,bus_1000001_1,1000001,999,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,official_direction_mismatch,,not_modelled
boarding_unknown,bus,line_bus_1000001,bus_1000001_1,1000001,1,999999999,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,boarding_stop_not_in_route,,not_modelled
