matsim_line_id,matsim_route_id,official_operator,official_operator_components_json,official_route_id,official_route_sequence,operator_scope_status,route_franchise_scope_status,json_direction_status,json_route_key,csdi_route_key,csdi_exact_key_match,csdi_candidate_count,csdi_object_ids_json,csdi_source_feature_indices_json,csdi_key_multiplicity_status,matsim_route_suffix,matsim_route_suffix_used_as_scope_evidence,scope_evidence_method,scope_evidence_source_file,scope_evidence_sha256,mapping_quality,unresolved_reason
line_bus_1000004,bus_1000004_1,,[],1000004,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,1,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
line_bus_1000004,bus_1000004_2,,[],1000004,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,2,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
line_bus_1000611,bus_1000611_1,,[],1000611,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,1,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
line_bus_1000690,bus_1000690_1,CTB,"[""CTB""]",1000690,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,CTB|1000690|1,CTB|1000690|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000691,bus_1000691_1,CTB,"[""CTB""]",1000691,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,CTB|1000691|1,CTB|1000691|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000692,bus_1000692_1,CTB,"[""CTB""]",1000692,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,CTB|1000692|1,CTB|1000692|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000693,bus_1000693_1,CTB,"[""CTB""]",1000693,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,CTB|1000693|1,CTB|1000693|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000695,bus_1000695_1,CTB,"[""CTB""]",1000695,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,CTB|1000695|1,CTB|1000695|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000695,bus_1000695_2,CTB,"[""CTB""]",1000695,2,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,CTB|1000695|2,CTB|1000695|2,False,0,[],[],no_exact_key,2,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000697,bus_1000697_1,LWB,"[""LWB""]",1000697,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,LWB|1000697|1,LWB|1000697|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_1000698,bus_1000698_1,LWB,"[""LWB""]",1000698,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,LWB|1000698|1,LWB|1000698|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_8263,bus_8263_1,KMB,"[""KMB""]",8263,1,confirmed_franchised_operator,franchise_route_scope_unresolved,exact,KMB|8263|1,KMB|8263|1,False,0,[],[],no_exact_key,1,False,exact_CSDI_route_key_absence_after_complete_key_inventory,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,B,operator_and_JSON_direction_confirmed_but_exact_CSDI_route_key_absent
line_bus_8780,bus_8780_1,,[],8780,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,1,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
line_bus_8780,bus_8780_2,,[],8780,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,2,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
