matsim_line_id,matsim_route_id,official_route_id,official_operator,official_operator_components_json,json_route_id,json_route_sequence,matsim_route_suffix,matsim_route_suffix_used_as_direction_evidence,matsim_stop_ids_json,official_json_stop_ids_json,candidate_count,operator_relationship_consistent,prior_direction_status,current_direction_status,direction_evidence,upgrade_reason,matching_method,mapping_status,mapping_quality,unresolved_reason
line_bus_1000001,bus_1000001_1,1000001,KMB,"[""KMB""]",1000001,1,1,False,"[""9571"",""9573"",""9576"",""12749"",""9581"",""9586"",""9588"",""9570"",""9590"",""9592"",""9594"",""9597"",""13380"",""9599"",""6111"",""6113"",""10000016"",""12406"",""12407"",""12408"",""13183""]","[""9571"",""9573"",""9576"",""12749"",""9581"",""9586"",""9588"",""9570"",""9590"",""9592"",""9594"",""9597"",""13380"",""9599"",""6111"",""6113"",""10000016"",""12406"",""12407"",""12408"",""13183""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000001,bus_1000001_2,1000001,KMB,"[""KMB""]",1000001,2,2,False,"[""12408"",""13183"",""12401"",""12402"",""10000018"",""6114"",""721"",""13379"",""9598"",""9596"",""9595"",""9591"",""9569"",""9572"",""9587"",""9580"",""9579"",""9578"",""9577"",""9574"",""12418"",""9571""]","[""12408"",""13183"",""12401"",""12402"",""10000018"",""6114"",""721"",""13379"",""9598"",""9596"",""9595"",""9591"",""9569"",""9572"",""9587"",""9580"",""9579"",""9578"",""9577"",""9574"",""12418"",""9571""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000002,bus_1000002_1,1000002,KMB,"[""KMB""]",1000002,1,1,False,"[""13183"",""13089"",""13090"",""12401"",""12402"",""10000018"",""884"",""4144"",""4084"",""8318"",""1151"",""1152"",""712"",""4089"",""10260"",""13387""]","[""13183"",""13089"",""13090"",""12401"",""12402"",""10000018"",""884"",""4144"",""4084"",""8318"",""1151"",""1152"",""712"",""4089"",""10260"",""13387""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000004,bus_1000004_1,1000004,,[],,,1,False,"["""",""""]",,0,False,direction_not_encoded,unresolved,unspecified_in_source,,no_official_pattern_match,unresolved,U,official_direction_pattern_not_found
line_bus_1000004,bus_1000004_2,1000004,,[],,,2,False,"["""",""""]",,0,False,direction_not_encoded,unresolved,unspecified_in_source,,no_official_pattern_match,unresolved,U,official_direction_pattern_not_found
line_bus_1000006,bus_1000006_1,1000006,CTB,"[""CTB""]",1000006,1,1,False,"[""635"",""636"",""3033"",""586"",""3034"",""1504"",""587"",""120"",""318"",""122"",""319"",""22"",""24"",""621"",""3024"",""623"",""624"",""625"",""626"",""627"",""628"",""629"",""393"",""394"",""644"",""645"",""646"",""638"",""12536""]","[""635"",""636"",""3033"",""586"",""3034"",""1504"",""587"",""120"",""318"",""122"",""319"",""22"",""24"",""621"",""3024"",""623"",""624"",""625"",""626"",""627"",""628"",""629"",""393"",""394"",""644"",""645"",""646"",""638"",""12536""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000007,bus_1000007_1,1000007,KMB,"[""KMB""]",1000007,1,1,False,"[""1027"",""8180"",""1029"",""1030"",""1031"",""8201"",""1368"",""1058"",""1064"",""1084"",""8224"",""8334"",""12885"",""1310"",""723"",""1286"",""12352"",""1289"",""12365"",""4246""]","[""1027"",""8180"",""1029"",""1030"",""1031"",""8201"",""1368"",""1058"",""1064"",""1084"",""8224"",""8334"",""12885"",""1310"",""723"",""1286"",""12352"",""1289"",""12365"",""4246""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000008,bus_1000008_1,1000008,KMB,"[""KMB""]",1000008,1,1,False,"[""1162"",""724"",""9002"",""968"",""4028"",""194"",""751"",""12367"",""1385"",""4186"",""1387"",""4187"",""4188"",""4189"",""4190"",""4191"",""4192"",""1407"",""1408""]","[""1162"",""724"",""9002"",""968"",""4028"",""194"",""751"",""12367"",""1385"",""4186"",""1387"",""4187"",""4188"",""4189"",""4190"",""4191"",""4192"",""1407"",""1408""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000009,bus_1000009_1,1000009,CTB,"[""CTB""]",1000009,1,1,False,"[""12963"",""12591"",""13333"",""10000109"",""12998"",""12590"",""1233"",""1234"",""1235"",""1237"",""9727"",""1238"",""1196"",""13334"",""911"",""10000060"",""1195"",""647"",""401"",""131"",""132"",""3131"",""276"",""277"",""12584"",""481""]","[""12963"",""12591"",""13333"",""10000109"",""12998"",""12590"",""1233"",""1234"",""1235"",""1237"",""9727"",""1238"",""1196"",""13334"",""911"",""10000060"",""1195"",""647"",""401"",""131"",""132"",""3131"",""276"",""277"",""12584"",""481""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
line_bus_1000010,bus_1000010_1,1000010,KMB+CTB,"[""KMB"",""CTB""]",1000010,1,1,False,"[""9434"",""12385"",""9440"",""9437"",""953"",""9461"",""9459"",""12922"",""9425"",""9451"",""9449"",""9447"",""9446"",""9455"",""9453"",""9418"",""9419"",""3274"",""146"",""12982"",""149""]","[""9434"",""12385"",""9440"",""9437"",""953"",""9461"",""9459"",""12922"",""9425"",""9451"",""9449"",""9447"",""9446"",""9455"",""9453"",""9418"",""9419"",""3274"",""146"",""12982"",""149""]",1,True,direction_not_encoded,exact,unique_complete_official_routeId_routeSeq_stopSeq_pattern,complete_schedule_stop_sequence_uniquely_matches_official_JSON_pattern,route_id_plus_unique_complete_official_ordered_stop_pattern,exact,A,
