matsim_line_id,matsim_route_id,service_scope,operator_scope_status,official_operator,official_operator_components_json,official_route_id,official_route_sequence,official_direction,boarding_stop_id,alighting_stop_id,candidate_count,distinct_amount_count,candidate_fare_ids_json,candidate_amounts_hkd_json,candidate_record_ids_json,candidate_records_json,explicit_raw_zero_candidate_record_count,contains_explicit_raw_zero_candidate,record_status,fare_amount_role,passenger_type,payment_medium,day_type,time_period,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,source_file,source_sha256,matching_method,mapping_status,mapping_quality,selection_performed,production_cost_created,unresolved_reason
line_bus_1000001,bus_1000001_1,confirmed_franchised_bus,confirmed_franchised_bus,KMB,"[""KMB""]",1000001,1,1,12408,13183,2,2,"[""1000001-1-20-21"",""1000001-2-1-2""]","[7.4,10.4]","[""gtfs:fare_rules:614843;fare_attributes:614843"",""gtfs:fare_rules:614844;fare_attributes:614844""]","[{""currency"":""HKD"",""destination_id"":""13183"",""fare_attribute_line"":614843,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000001-1-20-21"",""fare_rule_line"":614843,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""12408"",""price"":7.4,""route_id"":""1000001"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""13183"",""fare_attribute_line"":614844,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000001-2-1-2"",""fare_rule_line"":614844,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""12408"",""price"":10.4,""route_id"":""1000001"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000001,bus_1000001_2,confirmed_franchised_bus,confirmed_franchised_bus,KMB,"[""KMB""]",1000001,2,2,12408,13183,2,2,"[""1000001-1-20-21"",""1000001-2-1-2""]","[7.4,10.4]","[""gtfs:fare_rules:614843;fare_attributes:614843"",""gtfs:fare_rules:614844;fare_attributes:614844""]","[{""currency"":""HKD"",""destination_id"":""13183"",""fare_attribute_line"":614843,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000001-1-20-21"",""fare_rule_line"":614843,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""12408"",""price"":7.4,""route_id"":""1000001"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""13183"",""fare_attribute_line"":614844,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000001-2-1-2"",""fare_rule_line"":614844,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""12408"",""price"":10.4,""route_id"":""1000001"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000023,bus_1000023_1,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000023,1,1,13309,13304,2,2,"[""1000023-1-23-24"",""1000023-2-2-3""]","[19.8,29.0]","[""gtfs:fare_rules:619541;fare_attributes:619541"",""gtfs:fare_rules:619570;fare_attributes:619570""]","[{""currency"":""HKD"",""destination_id"":""13304"",""fare_attribute_line"":619541,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000023-1-23-24"",""fare_rule_line"":619541,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13309"",""price"":19.8,""route_id"":""1000023"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""13304"",""fare_attribute_line"":619570,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000023-2-2-3"",""fare_rule_line"":619570,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13309"",""price"":29.0,""route_id"":""1000023"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000023,bus_1000023_2,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000023,2,2,13309,13304,2,2,"[""1000023-1-23-24"",""1000023-2-2-3""]","[19.8,29.0]","[""gtfs:fare_rules:619541;fare_attributes:619541"",""gtfs:fare_rules:619570;fare_attributes:619570""]","[{""currency"":""HKD"",""destination_id"":""13304"",""fare_attribute_line"":619541,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000023-1-23-24"",""fare_rule_line"":619541,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13309"",""price"":19.8,""route_id"":""1000023"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""13304"",""fare_attribute_line"":619570,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000023-2-2-3"",""fare_rule_line"":619570,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13309"",""price"":29.0,""route_id"":""1000023"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000026,bus_1000026_1,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000026,1,1,10339,943,2,2,"[""1000026-1-22-23"",""1000026-2-4-5""]","[3.8,14.4]","[""gtfs:fare_rules:620822;fare_attributes:620822"",""gtfs:fare_rules:620897;fare_attributes:620897""]","[{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620822,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-1-22-23"",""fare_rule_line"":620822,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""10339"",""price"":3.8,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620897,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-2-4-5"",""fare_rule_line"":620897,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""10339"",""price"":14.4,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000026,bus_1000026_1,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000026,1,1,13347,10339,2,2,"[""1000026-1-21-22"",""1000026-2-3-4""]","[3.8,14.4]","[""gtfs:fare_rules:620818;fare_attributes:620818"",""gtfs:fare_rules:620875;fare_attributes:620875""]","[{""currency"":""HKD"",""destination_id"":""10339"",""fare_attribute_line"":620818,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-1-21-22"",""fare_rule_line"":620818,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":3.8,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""10339"",""fare_attribute_line"":620875,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-2-3-4"",""fare_rule_line"":620875,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":14.4,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000026,bus_1000026_1,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000026,1,1,13347,943,2,2,"[""1000026-1-21-23"",""1000026-2-3-5""]","[3.8,14.4]","[""gtfs:fare_rules:620819;fare_attributes:620819"",""gtfs:fare_rules:620876;fare_attributes:620876""]","[{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620819,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-1-21-23"",""fare_rule_line"":620819,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":3.8,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620876,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-2-3-5"",""fare_rule_line"":620876,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":14.4,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000026,bus_1000026_2,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000026,2,2,10339,943,2,2,"[""1000026-1-22-23"",""1000026-2-4-5""]","[3.8,14.4]","[""gtfs:fare_rules:620822;fare_attributes:620822"",""gtfs:fare_rules:620897;fare_attributes:620897""]","[{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620822,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-1-22-23"",""fare_rule_line"":620822,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""10339"",""price"":3.8,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620897,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-2-4-5"",""fare_rule_line"":620897,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""10339"",""price"":14.4,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000026,bus_1000026_2,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000026,2,2,13347,10339,2,2,"[""1000026-1-21-22"",""1000026-2-3-4""]","[3.8,14.4]","[""gtfs:fare_rules:620818;fare_attributes:620818"",""gtfs:fare_rules:620875;fare_attributes:620875""]","[{""currency"":""HKD"",""destination_id"":""10339"",""fare_attribute_line"":620818,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-1-21-22"",""fare_rule_line"":620818,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":3.8,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""10339"",""fare_attribute_line"":620875,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-2-3-4"",""fare_rule_line"":620875,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":14.4,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
line_bus_1000026,bus_1000026_2,confirmed_franchised_bus,confirmed_franchised_bus,LWB,"[""LWB""]",1000026,2,2,13347,943,2,2,"[""1000026-1-21-23"",""1000026-2-3-5""]","[3.8,14.4]","[""gtfs:fare_rules:620819;fare_attributes:620819"",""gtfs:fare_rules:620876;fare_attributes:620876""]","[{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620819,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-1-21-23"",""fare_rule_line"":620819,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":3.8,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""},{""currency"":""HKD"",""destination_id"":""943"",""fare_attribute_line"":620876,""fare_attributes_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt"",""fare_id"":""1000026-2-3-5"",""fare_rule_line"":620876,""fare_rules_source_file"":""data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt"",""origin_id"":""13347"",""price"":14.4,""route_id"":""1000026"",""source_sha256"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06""}]",0,False,conflicting_amounts,published_fare_candidate_passenger_and_payment_basis_unspecified,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,exact_route_id_and_ordered_stop_od_candidate_audit,exact,A,False,False,multiple_raw_candidates_with_different_amounts
