matsim_line_id,matsim_route_id,service_scope,operator_scope_status,route_franchise_scope_status,official_operator,official_operator_components_json,official_route_id,official_route_sequence,route_identifier_status,direction_status,stop_mapping_status,required_forward_pair_count,unique_candidate_pair_count,duplicate_pair_count,conflict_pair_count,missing_pair_count,forward_candidate_coverage,fare_readiness,mapping_status,mapping_quality,unresolved_reason
line_bus_1000001,bus_1000001_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000001,1,exact_official_route_id,exact,exact,210,209,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000001,bus_1000001_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000001,2,exact_official_route_id,exact,exact,231,230,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000002,bus_1000002_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000002,1,exact_official_route_id,exact,exact,120,120,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000004,bus_1000004_1,operator_scope_unresolved,operator_scope_unresolved,operator_scope_unresolved,,[],1000004,,route_unresolved,unresolved,unresolved,0,0,0,0,0,0.0,operator_scope_unresolved,unresolved,U,known_schedule_proxy_route_without_official_operator_stop_or_fare_evidence
line_bus_1000004,bus_1000004_2,operator_scope_unresolved,operator_scope_unresolved,operator_scope_unresolved,,[],1000004,,route_unresolved,unresolved,unresolved,0,0,0,0,0,0.0,operator_scope_unresolved,unresolved,U,known_schedule_proxy_route_without_official_operator_stop_or_fare_evidence
line_bus_1000006,bus_1000006_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000006,1,exact_official_route_id,exact,exact,406,406,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000007,bus_1000007_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000007,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000008,bus_1000008_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000008,1,exact_official_route_id,exact,exact,171,171,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000009,bus_1000009_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000009,1,exact_official_route_id,exact,exact,325,325,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000010,bus_1000010_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB+CTB,"[""KMB"",""CTB""]",1000010,1,exact_official_route_id,exact,exact,210,210,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000010,bus_1000010_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB+CTB,"[""KMB"",""CTB""]",1000010,2,exact_official_route_id,exact,exact,231,231,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000011,bus_1000011_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000011,1,exact_official_route_id,exact,exact,105,105,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000013,bus_1000013_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000013,1,exact_official_route_id,exact,exact,105,105,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000013,bus_1000013_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000013,2,exact_official_route_id,exact,exact,105,105,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000014,bus_1000014_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000014,1,exact_official_route_id,exact,exact,300,300,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000014,bus_1000014_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000014,2,exact_official_route_id,exact,exact,300,300,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000015,bus_1000015_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000015,1,exact_official_route_id,exact,exact,351,351,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000016,bus_1000016_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000016,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000016,bus_1000016_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000016,2,exact_official_route_id,exact,exact,231,231,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000021,bus_1000021_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000021,1,exact_official_route_id,exact,exact,294,290,4,0,0,1.0,partial_duplicate_records,exact,A,partial_duplicate_records
line_bus_1000022,bus_1000022_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000022,1,exact_official_route_id,exact,exact,276,276,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000022,bus_1000022_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000022,2,exact_official_route_id,exact,exact,231,231,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000023,bus_1000023_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000023,1,exact_official_route_id,exact,exact,325,324,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000023,bus_1000023_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000023,2,exact_official_route_id,exact,exact,276,275,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000024,bus_1000024_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000024,1,exact_official_route_id,exact,exact,55,55,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000025,bus_1000025_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000025,1,exact_official_route_id,exact,exact,325,325,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000025,bus_1000025_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000025,2,exact_official_route_id,exact,exact,325,325,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000026,bus_1000026_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000026,1,exact_official_route_id,exact,exact,300,297,0,3,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000026,bus_1000026_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000026,2,exact_official_route_id,exact,exact,300,297,0,3,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000027,bus_1000027_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000027,1,exact_official_route_id,exact,exact,741,741,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000027,bus_1000027_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000027,2,exact_official_route_id,exact,exact,703,703,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000028,bus_1000028_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000028,1,exact_official_route_id,exact,exact,325,325,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000028,bus_1000028_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000028,2,exact_official_route_id,exact,exact,325,325,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000029,bus_1000029_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000029,1,exact_official_route_id,exact,exact,231,231,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000029,bus_1000029_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000029,2,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000031,bus_1000031_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000031,1,exact_official_route_id,exact,exact,210,210,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000033,bus_1000033_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000033,1,exact_official_route_id,exact,exact,153,153,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000035,bus_1000035_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000035,1,exact_official_route_id,exact,exact,153,153,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000037,bus_1000037_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000037,1,exact_official_route_id,exact,exact,595,595,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000044,bus_1000044_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000044,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000044,bus_1000044_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000044,2,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000045,bus_1000045_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000045,1,exact_official_route_id,exact,exact,105,105,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000045,bus_1000045_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000045,2,exact_official_route_id,exact,exact,91,91,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000046,bus_1000046_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000046,1,exact_official_route_id,exact,exact,136,136,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000047,bus_1000047_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000047,1,exact_official_route_id,exact,exact,595,594,1,0,0,1.0,partial_duplicate_records,exact,A,partial_duplicate_records
line_bus_1000047,bus_1000047_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000047,2,exact_official_route_id,exact,exact,465,464,1,0,0,1.0,partial_duplicate_records,exact,A,partial_duplicate_records
line_bus_1000048,bus_1000048_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000048,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000049,bus_1000049_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000049,1,exact_official_route_id,exact,exact,300,300,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000051,bus_1000051_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000051,1,exact_official_route_id,exact,exact,45,45,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000052,bus_1000052_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000052,1,exact_official_route_id,exact,exact,78,78,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000053,bus_1000053_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000053,1,exact_official_route_id,exact,exact,276,276,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000054,bus_1000054_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000054,1,exact_official_route_id,exact,exact,528,528,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000055,bus_1000055_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000055,1,exact_official_route_id,exact,exact,406,406,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000059,bus_1000059_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000059,1,exact_official_route_id,exact,exact,253,253,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000059,bus_1000059_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000059,2,exact_official_route_id,exact,exact,253,253,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000061,bus_1000061_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000061,1,exact_official_route_id,exact,exact,210,210,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000063,bus_1000063_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000063,1,exact_official_route_id,exact,exact,780,779,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000063,bus_1000063_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000063,2,exact_official_route_id,exact,exact,903,902,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000064,bus_1000064_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000064,1,exact_official_route_id,exact,exact,666,666,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000065,bus_1000065_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000065,1,exact_official_route_id,exact,exact,171,171,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000065,bus_1000065_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000065,2,exact_official_route_id,exact,exact,153,153,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000066,bus_1000066_1,other_bus_service,other_bus_operator,other_bus_service,LRTFeeder,"[""LRTFeeder""]",1000066,1,exact_official_route_id,exact,exact,10,10,0,0,0,1.0,other_bus_service_not_in_franchised_core,exact,A,other_bus_service_not_in_franchised_core
line_bus_1000066,bus_1000066_2,other_bus_service,other_bus_operator,other_bus_service,LRTFeeder,"[""LRTFeeder""]",1000066,2,exact_official_route_id,exact,exact,10,10,0,0,0,1.0,other_bus_service_not_in_franchised_core,exact,A,other_bus_service_not_in_franchised_core
line_bus_1000067,bus_1000067_1,other_bus_service,other_bus_operator,other_bus_service,LRTFeeder,"[""LRTFeeder""]",1000067,1,exact_official_route_id,exact,exact,153,153,0,0,0,1.0,other_bus_service_not_in_franchised_core,exact,A,other_bus_service_not_in_franchised_core
line_bus_1000068,bus_1000068_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000068,1,exact_official_route_id,exact,exact,120,120,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000069,bus_1000069_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,NLB,"[""NLB""]",1000069,1,exact_official_route_id,exact,exact,630,630,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000070,bus_1000070_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,NLB,"[""NLB""]",1000070,1,exact_official_route_id,exact,exact,703,703,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000071,bus_1000071_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000071,1,exact_official_route_id,exact,exact,528,528,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000073,bus_1000073_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000073,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000074,bus_1000074_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000074,1,exact_official_route_id,exact,exact,406,384,0,22,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000074,bus_1000074_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000074,2,exact_official_route_id,exact,exact,406,384,0,22,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000075,bus_1000075_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000075,1,exact_official_route_id,exact,exact,210,210,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000076,bus_1000076_1,other_bus_service,other_bus_operator,other_bus_service,LRTFeeder,"[""LRTFeeder""]",1000076,1,exact_official_route_id,exact,exact,171,171,0,0,0,1.0,other_bus_service_not_in_franchised_core,exact,A,other_bus_service_not_in_franchised_core
line_bus_1000076,bus_1000076_2,other_bus_service,other_bus_operator,other_bus_service,LRTFeeder,"[""LRTFeeder""]",1000076,2,exact_official_route_id,exact,exact,171,171,0,0,0,1.0,other_bus_service_not_in_franchised_core,exact,A,other_bus_service_not_in_franchised_core
line_bus_1000077,bus_1000077_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000077,1,exact_official_route_id,exact,exact,465,465,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000079,bus_1000079_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000079,1,exact_official_route_id,exact,exact,253,252,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000079,bus_1000079_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000079,2,exact_official_route_id,exact,exact,276,275,0,1,0,1.0,partial_conflicting_amounts,exact,A,partial_conflicting_amounts
line_bus_1000081,bus_1000081_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000081,1,exact_official_route_id,exact,exact,35,35,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000082,bus_1000082_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000082,1,exact_official_route_id,exact,exact,666,666,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000083,bus_1000083_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000083,1,exact_official_route_id,exact,exact,465,465,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000084,bus_1000084_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000084,1,exact_official_route_id,exact,exact,496,496,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000085,bus_1000085_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000085,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000085,bus_1000085_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000085,2,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000086,bus_1000086_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000086,1,exact_official_route_id,exact,exact,231,231,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000088,bus_1000088_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000088,1,exact_official_route_id,exact,exact,171,170,1,0,0,1.0,partial_duplicate_records,exact,A,partial_duplicate_records
line_bus_1000088,bus_1000088_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,LWB,"[""LWB""]",1000088,2,exact_official_route_id,exact,exact,136,135,1,0,0,1.0,partial_duplicate_records,exact,A,partial_duplicate_records
line_bus_1000089,bus_1000089_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000089,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000089,bus_1000089_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000089,2,exact_official_route_id,exact,exact,253,253,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000090,bus_1000090_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000090,1,exact_official_route_id,exact,exact,351,351,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000091,bus_1000091_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000091,1,exact_official_route_id,exact,exact,15,15,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000091,bus_1000091_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000091,2,exact_official_route_id,exact,exact,10,10,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000093,bus_1000093_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000093,1,exact_official_route_id,exact,exact,15,15,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000093,bus_1000093_2,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000093,2,exact_official_route_id,exact,exact,15,15,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000094,bus_1000094_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,CTB,"[""CTB""]",1000094,1,exact_official_route_id,exact,exact,15,15,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000095,bus_1000095_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000095,1,exact_official_route_id,exact,exact,28,28,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000096,bus_1000096_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000096,1,exact_official_route_id,exact,exact,55,55,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000097,bus_1000097_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000097,1,exact_official_route_id,exact,exact,153,153,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000099,bus_1000099_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000099,1,exact_official_route_id,exact,exact,120,120,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000100,bus_1000100_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000100,1,exact_official_route_id,exact,exact,618,608,10,0,0,1.0,partial_duplicate_records,exact,A,partial_duplicate_records
line_bus_1000102,bus_1000102_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000102,1,exact_official_route_id,exact,exact,55,55,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000103,bus_1000103_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000103,1,exact_official_route_id,exact,exact,55,55,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000104,bus_1000104_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000104,1,exact_official_route_id,exact,exact,104,104,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000105,bus_1000105_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000105,1,exact_official_route_id,exact,exact,36,36,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000106,bus_1000106_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000106,1,exact_official_route_id,exact,exact,15,15,0,0,0,1.0,ready_all_pairs_unique,exact,A,
line_bus_1000116,bus_1000116_1,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,KMB,"[""KMB""]",1000116,1,exact_official_route_id,exact,exact,190,190,0,0,0,1.0,ready_all_pairs_unique,exact,A,
