matsim_line_id,matsim_route_id,official_operator,official_operator_components_json,official_route_id,official_route_sequence,operator_scope_status,route_franchise_scope_status,json_direction_status,json_route_key,csdi_route_key,csdi_exact_key_match,csdi_candidate_count,csdi_object_ids_json,csdi_source_feature_indices_json,csdi_key_multiplicity_status,matsim_route_suffix,matsim_route_suffix_used_as_scope_evidence,scope_evidence_method,scope_evidence_source_file,scope_evidence_sha256,mapping_quality,unresolved_reason
line_bus_1000001,bus_1000001_1,KMB,"[""KMB""]",1000001,1,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB|1000001|1,KMB|1000001|1,True,1,[1696],[1695],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000001,bus_1000001_2,KMB,"[""KMB""]",1000001,2,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB|1000001|2,KMB|1000001|2,True,1,[1697],[1696],unique_feature,2,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000002,bus_1000002_1,KMB,"[""KMB""]",1000002,1,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB|1000002|1,KMB|1000002|1,True,1,[1698],[1697],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000004,bus_1000004_1,,[],1000004,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,1,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
line_bus_1000004,bus_1000004_2,,[],1000004,,operator_scope_unresolved,operator_scope_unresolved,unresolved,,,False,0,[],[],no_exact_key,2,False,no_JSON_company_route_sequence_key_available,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,U,official_operator_and_JSON_direction_unresolved
line_bus_1000006,bus_1000006_1,CTB,"[""CTB""]",1000006,1,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000006|1,CTB|1000006|1,True,1,[1701],[1700],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000007,bus_1000007_1,KMB,"[""KMB""]",1000007,1,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB|1000007|1,KMB|1000007|1,True,1,[1702],[1701],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000008,bus_1000008_1,KMB,"[""KMB""]",1000008,1,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB|1000008|1,KMB|1000008|1,True,1,[1703],[1702],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000009,bus_1000009_1,CTB,"[""CTB""]",1000009,1,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000009|1,CTB|1000009|1,True,1,[1704],[1703],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000010,bus_1000010_1,KMB+CTB,"[""KMB"",""CTB""]",1000010,1,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB+CTB|1000010|1,KMB+CTB|1000010|1,True,1,[1705],[1704],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000010,bus_1000010_2,KMB+CTB,"[""KMB"",""CTB""]",1000010,2,confirmed_franchised_operator,confirmed_franchised_route,exact,KMB+CTB|1000010|2,KMB+CTB|1000010|2,True,1,[1706],[1705],unique_feature,2,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000011,bus_1000011_1,LWB,"[""LWB""]",1000011,1,confirmed_franchised_operator,confirmed_franchised_route,exact,LWB|1000011|1,LWB|1000011|1,True,1,[1707],[1706],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000013,bus_1000013_1,CTB,"[""CTB""]",1000013,1,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000013|1,CTB|1000013|1,True,1,[1708],[1707],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000013,bus_1000013_2,CTB,"[""CTB""]",1000013,2,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000013|2,CTB|1000013|2,True,1,[1709],[1708],unique_feature,2,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000014,bus_1000014_1,CTB,"[""CTB""]",1000014,1,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000014|1,CTB|1000014|1,True,1,[1710],[1709],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000014,bus_1000014_2,CTB,"[""CTB""]",1000014,2,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000014|2,CTB|1000014|2,True,1,[1711],[1710],unique_feature,2,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
line_bus_1000015,bus_1000015_1,CTB,"[""CTB""]",1000015,1,confirmed_franchised_operator,confirmed_franchised_route,exact,CTB|1000015|1,CTB|1000015|1,True,1,[1712],[1711],unique_feature,1,False,exact_companyCode_routeId_routeSeq_key_in_CSDI_franchised_bus_geometry,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417,A,
