official_operator,official_operator_components_json,official_route_id,official_route_sequence,official_direction,full_fare_hkd,currency,official_stop_pattern_json,gtfs_candidate_record_count,gtfs_price_equal_full_fare_count,gtfs_price_different_full_fare_count,eligible_for_default_quote,eligibility_status,source_record_id,source_feature_json,source_file,source_sha256,source_revision_cutoff_date,source_download_date,cost_effective_date,cost_effective_date_status
KMB,"[""KMB""]",1001,1,1,6.7,HKD,"[""4001"",""4002"",""4003"",""4004"",""4005"",""4006"",""8090"",""4008"",""4009"",""4010"",""4011"",""4012"",""4013"",""4014"",""4015"",""4016"",""7036"",""4018"",""4020"",""4021"",""4022"",""7041"",""4024"",""7006"",""4025""]",300,264,36,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,"{""companyCode"":""KMB"",""district"":"""",""fullFare"":6.7,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-cn"",""journeyTime"":44,""lastUpdateDate"":""2026-05-22T00:00:00"",""locEndNameC"":""尖沙咀碼頭"",""locEndNameE"":""STAR FERRY"",""locEndNameS"":""尖沙咀码头"",""locStartNameC"":""竹園邨"",""locStartNameE"":""CHUK YUEN ESTATE"",""locStartNameS"":""竹园邨"",""routeId"":1001,""routeNameC"":""1"",""routeNameE"":""1"",""routeNameS"":""1"",""routeSeq"":1,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":4001,""stopNameC"":""竹園邨總站"",""stopNameE"":""CHUK YUEN ESTATE BUS TERMINUS"",""stopNameS"":""竹园邨总站"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB,"[""KMB""]",1001,2,2,6.7,HKD,"[""4025"",""965"",""4076"",""4027"",""9009"",""193"",""10000343"",""751"",""4032"",""4033"",""4034"",""4035"",""4077"",""4055"",""4037"",""4038"",""4039"",""4040"",""8091"",""8089"",""12364"",""4043"",""1012"",""793"",""4001""]",300,164,136,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49,"{""companyCode"":""KMB"",""district"":"""",""fullFare"":6.7,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-cn"",""journeyTime"":44,""lastUpdateDate"":""2026-05-22T00:00:00"",""locEndNameC"":""尖沙咀碼頭"",""locEndNameE"":""STAR FERRY"",""locEndNameS"":""尖沙咀码头"",""locStartNameC"":""竹園邨"",""locStartNameE"":""CHUK YUEN ESTATE"",""locStartNameS"":""竹园邨"",""routeId"":1001,""routeNameC"":""1"",""routeNameE"":""1"",""routeNameS"":""1"",""routeSeq"":2,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":4025,""stopNameC"":""尖沙咀碼頭,海港城"",""stopNameE"":""STAR FERRY, HARBOUR CITY"",""stopNameS"":""尖沙咀码头,海港城"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB,"[""KMB""]",1002,1,1,5.6,HKD,"[""1074"",""1075"",""1142"",""8337"",""1415"",""1147"",""7025"",""10244"",""8088"",""4006"",""8090"",""4008"",""9131"",""9146"",""9135"",""4225"",""4226"",""4227"",""4228"",""4229"",""4230"",""13129"",""10237"",""9040"",""9049"",""9089"",""9081"",""12367"",""7050"",""783"",""9121"",""9144"",""9142"",""9147"",""8098"",""8099"",""8094"",""13070"",""8085"",""13405"",""1387"",""1167"",""995"",""1358"",""1090"",""1091"",""1073"",""1074""]",1127,1127,0,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97,"{""companyCode"":""KMB"",""district"":"""",""fullFare"":5.6,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-cn"",""journeyTime"":58,""lastUpdateDate"":""2026-04-30T00:00:00"",""locEndNameC"":""大角咀(循環線)"",""locEndNameE"":""TAI KOK TSUI (CIRCULAR)"",""locEndNameS"":""大角咀(循环线)"",""locStartNameC"":""彩雲"",""locStartNameE"":""CHOI WAN"",""locStartNameS"":""彩云"",""routeId"":1002,""routeNameC"":""10"",""routeNameE"":""10"",""routeNameS"":""10"",""routeSeq"":1,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":1074,""stopNameC"":""彩雲總站"",""stopNameE"":""CHOI WAN BUS TERMINUS"",""stopNameS"":""彩云总站"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB+CTB,"[""KMB"",""CTB""]",1006,1,1,12.9,HKD,"[""550"",""747"",""12458"",""101"",""102"",""173"",""748"",""104"",""105"",""749"",""108"",""110"",""111"",""112"",""9015"",""9011"",""970"",""9052"",""9054"",""10225"",""9218"",""756"",""9228"",""758"",""760"",""739""]",325,234,91,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123,"{""companyCode"":""KMB+CTB"",""district"":"""",""fullFare"":12.9,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-cn"",""journeyTime"":64,""lastUpdateDate"":""2025-01-05T00:00:00"",""locEndNameC"":""美孚"",""locEndNameE"":""MEI FOO"",""locEndNameS"":""美孚"",""locStartNameC"":""筲箕灣"",""locStartNameE"":""SHAU KEI WAN"",""locStartNameS"":""筲箕湾"",""routeId"":1006,""routeNameC"":""102P"",""routeNameE"":""102P"",""routeNameS"":""102P"",""routeSeq"":1,""routeType"":1,""serviceMode"":""T"",""specialType"":1,""stopId"":550,""stopNameC"":""筲箕灣巴士總站/<br>筲箕灣"",""stopNameE"":""SHAU KEI WAN BUS TERMINUS/<br>Shau Kei Wan"",""stopNameS"":""筲箕湾巴士总站/<br>筲箕湾"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB+CTB,"[""KMB"",""CTB""]",1006,2,2,12.9,HKD,"[""739"",""956"",""740"",""9225"",""9226"",""743"",""9217"",""9219"",""211"",""212"",""7036"",""744"",""745"",""9012"",""775"",""9014"",""3274"",""146"",""147"",""148"",""180"",""151"",""152"",""3001"",""12470"",""550""]",325,172,153,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149,"{""companyCode"":""KMB+CTB"",""district"":"""",""fullFare"":12.9,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-cn"",""journeyTime"":64,""lastUpdateDate"":""2025-01-05T00:00:00"",""locEndNameC"":""美孚"",""locEndNameE"":""MEI FOO"",""locEndNameS"":""美孚"",""locStartNameC"":""筲箕灣"",""locStartNameE"":""SHAU KEI WAN"",""locStartNameS"":""筲箕湾"",""routeId"":1006,""routeNameC"":""102P"",""routeNameE"":""102P"",""routeNameS"":""102P"",""routeSeq"":2,""routeType"":1,""serviceMode"":""T"",""specialType"":1,""stopId"":739,""stopNameC"":""美孚巴士總站/<br>美孚"",""stopNameE"":""MEI FOO BUS TERMINUS/<br>Mei Foo"",""stopNameS"":""美孚巴士总站/<br>美孚"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB+CTB,"[""KMB"",""CTB""]",1008,1,1,12.9,HKD,"[""4001"",""4002"",""4003"",""1373"",""4218"",""4221"",""4223"",""768"",""4224"",""770"",""4227"",""4228"",""773"",""774"",""775"",""9014"",""3021"",""15"",""16"",""1268"",""776"",""3173"",""616"",""244"",""245"",""246"",""247"",""248"",""249"",""265"",""266"",""380"",""381"",""328"",""329"",""330""]",630,279,351,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185,"{""companyCode"":""KMB+CTB"",""district"":"""",""fullFare"":12.9,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn"",""journeyTime"":65,""lastUpdateDate"":""2025-01-05T00:00:00"",""locEndNameC"":""蒲飛路"",""locEndNameE"":""POKFIELD RD"",""locEndNameS"":""蒲飞路"",""locStartNameC"":""竹園邨"",""locStartNameE"":""CHUK YUEN ESTATE"",""locStartNameS"":""竹园邨"",""routeId"":1008,""routeNameC"":""103"",""routeNameE"":""103"",""routeNameS"":""103"",""routeSeq"":1,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":4001,""stopNameC"":""竹園邨總站/<br>竹園邨"",""stopNameE"":""CHUK YUEN ESTATE BUS TERMINUS/<br>Chuk Yuen Estate"",""stopNameS"":""竹园邨总站/<br>竹园邨"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB+CTB,"[""KMB"",""CTB""]",1008,2,2,12.9,HKD,"[""330"",""348"",""349"",""3116"",""377"",""378"",""673"",""471"",""472"",""473"",""474"",""674"",""777"",""256"",""8051"",""131"",""8053"",""133"",""3131"",""276"",""277"",""137"",""297"",""658"",""9015"",""779"",""780"",""781"",""782"",""783"",""4238"",""785"",""786"",""787"",""788"",""4244"",""790"",""4218"",""1012"",""793"",""4001""]",820,495,325,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226,"{""companyCode"":""KMB+CTB"",""district"":"""",""fullFare"":12.9,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn"",""journeyTime"":65,""lastUpdateDate"":""2025-01-05T00:00:00"",""locEndNameC"":""蒲飛路"",""locEndNameE"":""POKFIELD RD"",""locEndNameS"":""蒲飞路"",""locStartNameC"":""竹園邨"",""locStartNameE"":""CHUK YUEN ESTATE"",""locStartNameS"":""竹园邨"",""routeId"":1008,""routeNameC"":""103"",""routeNameE"":""103"",""routeNameS"":""103"",""routeSeq"":2,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":330,""stopNameC"":""蒲飛路巴士總站/<br>蒲飛路"",""stopNameE"":""POKFIELD ROAD BUS TERMINUS/<br>Pokfield Road"",""stopNameS"":""蒲飞路巴士总站/<br>蒲飞路"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB+CTB,"[""KMB"",""CTB""]",1010,1,1,12.9,HKD,"[""7026"",""10000047"",""4161"",""8097"",""4162"",""13143"",""4164"",""4165"",""4166"",""9032"",""9030"",""4169"",""1394"",""1395"",""9022"",""9014"",""746"",""137"",""3178"",""139"",""140"",""141"",""143"",""144"",""10000202"",""146"",""147"",""148"",""149"",""151"",""152"",""3001"",""3268"",""33"",""3002"",""35"",""36"",""3253"",""155"",""1560"",""3246"",""40"",""1549"",""43"",""1551"",""12983"",""1568"",""1546""]",1128,182,946,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274,"{""companyCode"":""KMB+CTB"",""district"":"""",""fullFare"":12.9,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-cn"",""journeyTime"":86,""lastUpdateDate"":""2026-07-06T00:00:00"",""locEndNameC"":""小西灣(藍灣半島)"",""locEndNameE"":""Siu Sai Wan (Island Resort)"",""locEndNameS"":""小西湾(蓝湾半岛)"",""locStartNameC"":""黃大仙"",""locStartNameE"":""Wong Tai Sin"",""locStartNameS"":""黄大仙"",""routeId"":1010,""routeNameC"":""106"",""routeNameE"":""106"",""routeNameS"":""106"",""routeSeq"":1,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":7026,""stopNameC"":""黃大仙總站/<br>黃大仙"",""stopNameE"":""WONG TAI SIN BUS TERMINUS/<br>Wong Tai Sin"",""stopNameS"":""黄大仙总站/<br>黄大仙"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB+CTB,"[""KMB"",""CTB""]",1010,2,2,12.9,HKD,"[""1546"",""7125"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""100"",""101"",""102"",""173"",""748"",""104"",""105"",""749"",""108"",""110"",""111"",""59"",""228"",""62"",""63"",""297"",""658"",""9015"",""4260"",""9028"",""12371"",""4179"",""4180"",""10000150"",""9034"",""4183"",""1323"",""4185"",""820"",""8085"",""7059"",""7060"",""7026""]",1081,828,253,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321,"{""companyCode"":""KMB+CTB"",""district"":"""",""fullFare"":12.9,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-cn"",""journeyTime"":86,""lastUpdateDate"":""2026-07-06T00:00:00"",""locEndNameC"":""小西灣(藍灣半島)"",""locEndNameE"":""Siu Sai Wan (Island Resort)"",""locEndNameS"":""小西湾(蓝湾半岛)"",""locStartNameC"":""黃大仙"",""locStartNameE"":""Wong Tai Sin"",""locStartNameS"":""黄大仙"",""routeId"":1010,""routeNameC"":""106"",""routeNameE"":""106"",""routeNameS"":""106"",""routeSeq"":2,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":1546,""stopNameC"":""藍灣半島巴士總站/<br>小西灣 (藍灣半島)"",""stopNameE"":""ISLAND RESORT BUS TERMINUS/<br>Siu Sai Wan (Island Resort)"",""stopNameS"":""蓝湾半岛巴士总站/<br>小西湾 (蓝湾半岛)"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
KMB,"[""KMB""]",1014,1,1,12.4,HKD,"[""10000052"",""798"",""8336"",""13133"",""10000223"",""13104"",""13105"",""10000228"",""4072"",""8097"",""10000119"",""9025"",""4122"",""806"",""807"",""808"",""9014"",""3214"",""836"",""238"",""3216"",""12584"",""279"",""280"",""1513"",""282"",""283"",""53"",""54"",""55"",""289"",""57""]",496,265,231,False,reference_only_unconditional_flat_fare_not_proven,json:feature_indices:322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353,"{""companyCode"":""KMB"",""district"":"""",""fullFare"":12.4,""hyperlinkC"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-hk"",""hyperlinkE"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=en"",""hyperlinkS"":""https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-cn"",""journeyTime"":54,""lastUpdateDate"":""2025-01-05T00:00:00"",""locEndNameC"":""寶馬山"",""locEndNameE"":""BRAEMAR HILL"",""locEndNameS"":""宝马山"",""locStartNameC"":""啟業"",""locStartNameE"":""KAI YIP"",""locStartNameS"":""启业"",""routeId"":1014,""routeNameC"":""108"",""routeNameE"":""108"",""routeNameS"":""108"",""routeSeq"":1,""routeType"":1,""serviceMode"":""R"",""specialType"":0,""stopId"":10000052,""stopNameC"":""啟業總站"",""stopNameE"":""KAI YIP BUS TERMINUS"",""stopNameS"":""启业总站"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only
