matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_operator,official_operator_components_json,joint_operation,service_scope,operator_scope_status,route_franchise_scope_status,route_identifier_status,json_pattern_candidate_count,known_unmatched_route,scope_evidence,unresolved_reason
line_bus_1000001,bus_1000001_1,1000001,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000001,bus_1000001_2,1000001,2,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000002,bus_1000002_1,1000002,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000004,bus_1000004_1,1000004,,,[],False,operator_scope_unresolved,operator_scope_unresolved,operator_scope_unresolved,route_unresolved,0,True,no_exact_official_bus_JSON_route_pattern,official_route_operator_and_stop_pattern_not_found
line_bus_1000004,bus_1000004_2,1000004,,,[],False,operator_scope_unresolved,operator_scope_unresolved,operator_scope_unresolved,route_unresolved,0,True,no_exact_official_bus_JSON_route_pattern,official_route_operator_and_stop_pattern_not_found
line_bus_1000006,bus_1000006_1,1000006,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000007,bus_1000007_1,1000007,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000008,bus_1000008_1,1000008,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000009,bus_1000009_1,1000009,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000010,bus_1000010_1,1000010,1,KMB+CTB,"[""KMB"",""CTB""]",True,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
