source_table,field_name,field_present,distinct_nonblank_sample_count,audited_meaning,semantic_status,limitation
agency.txt,agency_id,True,14,source_identification_description_or_provenance,reference_only,
agency.txt,agency_lang,True,2,source_identification_description_or_provenance,reference_only,
agency.txt,agency_name,True,14,source_identification_description_or_provenance,reference_only,
agency.txt,agency_timezone,True,1,source_identification_description_or_provenance,reference_only,
agency.txt,agency_url,True,14,source_identification_description_or_provenance,reference_only,
routes.txt,agency_id,True,10,source_identification_description_or_provenance,reference_only,
routes.txt,route_id,True,1000,source_identification_description_or_provenance,reference_only,
routes.txt,route_long_name,True,949,source_identification_description_or_provenance,reference_only,
routes.txt,route_short_name,True,750,source_identification_description_or_provenance,reference_only,
routes.txt,route_type,True,1,source_identification_description_or_provenance,reference_only,
routes.txt,route_url,True,783,source_identification_description_or_provenance,reference_only,
stops.txt,location_type,True,1,source_identification_description_or_provenance,reference_only,
stops.txt,stop_id,True,1000,source_identification_description_or_provenance,reference_only,
stops.txt,stop_lat,True,955,source_identification_description_or_provenance,reference_only,
stops.txt,stop_lon,True,958,source_identification_description_or_provenance,reference_only,
stops.txt,stop_name,True,900,source_identification_description_or_provenance,reference_only,
stops.txt,stop_timezone,True,1,source_identification_description_or_provenance,reference_only,
stops.txt,zone_id,True,1000,source_identification_description_or_provenance,reference_only,
fare_attributes.txt,agency_id,True,1,source_identification_description_or_provenance,reference_only,
fare_attributes.txt,currency_type,True,1,source_identification_description_or_provenance,reference_only,
fare_attributes.txt,fare_id,True,1000,source_identification_description_or_provenance,reference_only,
fare_attributes.txt,payment_method,True,1,GTFS_payment_timing_code_not_payment_medium,unspecified_in_source,does not identify cash or Octopus
fare_attributes.txt,price,True,4,published_numeric_amount_only,unspecified_in_source,"adult/child, cash/Octopus, ticket type, full/sectional scope not encoded"
fare_attributes.txt,transfers,True,1,source_identification_description_or_provenance,reference_only,
fare_rules.txt,destination_id,True,92,ordered_alighting_stop_id,encoded,
fare_rules.txt,fare_id,True,1000,source_identification_description_or_provenance,reference_only,
fare_rules.txt,origin_id,True,57,ordered_boarding_stop_id,encoded,
fare_rules.txt,route_id,True,2,official_route_identifier_without_direction,encoded,
bus_route_stop_points.json,companyCode,True,2,official_operator_code,encoded,joint operation is retained in the complete plus-delimited code
bus_route_stop_points.json,district,True,0,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,fullFare,True,7,route_sequence_full_fare_reference_only,reference_only,"flat-fare, passenger, payment, and effective-period conditions not proven"
bus_route_stop_points.json,hyperlinkC,True,21,source_identification_description_or_provenance,reference_only,
