matsim_stop_facility_id,official_stop_id,gtfs_stop_exists,bus_json_stop_exists,route_usage_count,matsim_route_ids_json,official_operators_json,candidate_count,mapping_status,mapping_quality,matching_method,evidence,unresolved_reason
pt_bus_10000001_4556fe5dbb__eea781c91f_015,10000001,True,True,1,"[""bus_8229_2""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__008e89d206_021,10000001,True,True,1,"[""bus_8195_2""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__1672c71972_008,10000001,True,True,1,"[""bus_8509_1""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__299e12b796_010,10000001,True,True,1,"[""bus_1000294_1""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__351dd4fe2f_010,10000001,True,True,1,"[""bus_8787_1""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__69cc25171d_027,10000001,True,True,1,"[""bus_1350_2""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__78e56e4aeb_002,10000001,True,True,1,"[""bus_1000420_1""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__99927093b2_003,10000001,True,True,1,"[""bus_8788_1""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__afde6b1546_002,10000001,True,True,1,"[""bus_1000421_1""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
pt_bus_10000001_9972d35a87__b6201950a0_029,10000001,True,True,1,"[""bus_8459_2""]","[""KMB""]",1,exact,A,official_stop_id_explicitly_encoded_in_facility_id,facility_token_equals_GTFS_stop_id_and_bus_JSON_stopId,
