quote_id,actual_transport_mode,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,vessel_service_type,travel_date,day_type,temporal_basis,transfer_concession_requested,expected_result
exact_available,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,available
reverse_direction_available,ferry,ferry_7000003_df79e09f46,7000003,2,101114,101113,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,available
reverse_within_same_direction_unresolved,ferry,ferry_7000003_1911228024,7000003,1,101114,101113,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
partial_direction_unspecified_available,ferry,ferry_7000037_2a0259cc3f,7000037,unspecified,80000003,80000025,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,available
partial_specific_direction_unresolved,ferry,ferry_7000037_2a0259cc3f,7000037,1,80000003,80000025,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unknown_route,ferry,ferry_7000003_1911228024,999999999,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
matsim_official_route_mismatch,ferry,ferry_7000037_2a0259cc3f,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unknown_boarding,ferry,ferry_7000003_1911228024,7000003,1,UNKNOWN,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unknown_alighting,ferry,ferry_7000003_1911228024,7000003,1,101113,UNKNOWN,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
route_od_mismatch,ferry,ferry_7000037_2a0259cc3f,7000037,unspecified,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
passenger_type_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,adult,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
octopus_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,Octopus,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
cash_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,cash,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
service_class_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,standard,unspecified,,unspecified,source_snapshot_only,false,unresolved
vessel_type_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,ordinary,,unspecified,source_snapshot_only,false,unresolved
day_type_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,weekday,source_snapshot_only,false,unresolved
full_fare_reference_not_fallback,ferry,ferry_7000003_1911228024,7000003,1,101113,101113,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
temporal_basis_missing,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,,false,unresolved
temporal_basis_wrong,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,travel_date_applicability,false,unresolved
nonempty_travel_date,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,2026-07-14,unspecified,source_snapshot_only,false,unresolved
transfer_concession_requested,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,true,available
generic_pt_mode,pt,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
