quote_id,actual_transport_mode,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,vessel_service_type,travel_date,day_type,temporal_basis,cost_component,fare_amount_role,published_fare_hkd,cost_hkd,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,cost_quality,mapping_status,mapping_quality,cost_applicability_status,source_record_id,unresolved_reason,transfer_concession_hkd,transfer_concession_status
exact_available,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified,16.2,16.2,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,gtfs:fare_rules.txt:872552|fare_attributes.txt:872552|fare_id:7000003-1-1-2,,,not_modelled
reverse_direction_available,ferry,ferry_7000003_df79e09f46,7000003,2,101114,101113,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified,16.2,16.2,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,gtfs:fare_rules.txt:872553|fare_attributes.txt:872553|fare_id:7000003-2-1-2,,,not_modelled
reverse_within_same_direction_unresolved,ferry,ferry_7000003_1911228024,7000003,1,101114,101113,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,ordered_stop_od_rule_missing_full_fare_reference_not_used,,not_modelled
partial_direction_unspecified_available,ferry,ferry_7000037_2a0259cc3f,7000037,unspecified,80000003,80000025,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified,20.0,20.0,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,C,partial,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,gtfs:fare_rules.txt:872668|fare_attributes.txt:872695|fare_id:7000037-1-1-2,,,not_modelled
partial_specific_direction_unresolved,ferry,ferry_7000037_2a0259cc3f,7000037,1,80000003,80000025,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,official_direction_not_encoded_input_must_be_unspecified,,not_modelled
unknown_route,ferry,ferry_7000003_1911228024,999999999,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,unknown_official_route_id,,not_modelled
matsim_official_route_mismatch,ferry,ferry_7000037_2a0259cc3f,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,matsim_route_and_official_route_mismatch,,not_modelled
unknown_boarding,ferry,ferry_7000003_1911228024,7000003,1,UNKNOWN,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,unknown_boarding_stop_for_route,,not_modelled
unknown_alighting,ferry,ferry_7000003_1911228024,7000003,1,101113,UNKNOWN,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,unknown_alighting_stop_for_route,,not_modelled
route_od_mismatch,ferry,ferry_7000037_2a0259cc3f,7000037,unspecified,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,unknown_boarding_stop_for_route,,not_modelled
