fare_scope,operator,matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,vessel_service_type,day_type,time_period,published_fare_hkd,currency,fare_amount_role,cost_component,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,source_record_id,source_file,source_sha256,record_status,candidate_records_json,mapping_status,mapping_quality,cost_quality,cost_applicability_status,matching_method,unresolved_reason
exact_route_direction_stop_od,FERRY,ferry_line_7000003,ferry_7000003_1911228024,7000003,1,1,101113,101114,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,16.2,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872552|fare_attributes.txt:872552|fare_id:7000003-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872552,""fare_id"":""7000003-1-1-2"",""fare_rule_line"":872552,""price"":16.2}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000003,ferry_7000003_df79e09f46,7000003,2,2,101114,101113,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,16.2,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872553|fare_attributes.txt:872553|fare_id:7000003-2-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872553,""fare_id"":""7000003-2-1-2"",""fare_rule_line"":872553,""price"":16.2}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000023,ferry_7000023_125ab37000,7000023,2,2,101127,101337,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,55.8,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872632|fare_attributes.txt:872632|fare_id:7000023-2-2-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872632,""fare_id"":""7000023-2-2-3"",""fare_rule_line"":872632,""price"":55.8}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000023,ferry_7000023_125ab37000,7000023,2,2,80000019,101127,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,55.8,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872630|fare_attributes.txt:872630|fare_id:7000023-2-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872630,""fare_id"":""7000023-2-1-2"",""fare_rule_line"":872630,""price"":55.8}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000023,ferry_7000023_125ab37000,7000023,2,2,80000019,101337,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,55.8,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872631|fare_attributes.txt:872631|fare_id:7000023-2-1-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872631,""fare_id"":""7000023-2-1-3"",""fare_rule_line"":872631,""price"":55.8}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000023,ferry_7000023_7f1ec10dea,7000023,1,1,101127,80000019,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,55.8,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872629|fare_attributes.txt:872629|fare_id:7000023-1-2-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872629,""fare_id"":""7000023-1-2-3"",""fare_rule_line"":872629,""price"":55.8}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000023,ferry_7000023_7f1ec10dea,7000023,1,1,101337,101127,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,55.8,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872627|fare_attributes.txt:872627|fare_id:7000023-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872627,""fare_id"":""7000023-1-1-2"",""fare_rule_line"":872627,""price"":55.8}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
exact_route_direction_stop_od,FERRY,ferry_line_7000023,ferry_7000023_7f1ec10dea,7000023,1,1,101337,80000019,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,55.8,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872628|fare_attributes.txt:872628|fare_id:7000023-1-1-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872628,""fare_id"":""7000023-1-1-3"",""fare_rule_line"":872628,""price"":55.8}]",exact,A,B,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_direction_exact_json_pattern_plus_ordered_gtfs_stop_od,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000037,ferry_7000037_2a0259cc3f,7000037,unspecified_in_source,unspecified_in_source,80000003,80000025,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,20.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872668|fare_attributes.txt:872695|fare_id:7000037-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872695,""fare_id"":""7000037-1-1-2"",""fare_rule_line"":872668,""price"":20.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000037,ferry_7000037_cca44a1ad0,7000037,unspecified_in_source,unspecified_in_source,80000025,80000003,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,20.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872669|fare_attributes.txt:872696|fare_id:7000037-2-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872696,""fare_id"":""7000037-2-1-2"",""fare_rule_line"":872669,""price"":20.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000038,ferry_7000038_a831b0dd3b,7000038,unspecified_in_source,unspecified_in_source,80000002,80000025,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872670|fare_attributes.txt:872697|fare_id:7000038-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872697,""fare_id"":""7000038-1-1-2"",""fare_rule_line"":872670,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
