matsim_line_id,matsim_route_id,operator,official_route_id,official_route_sequence,official_direction,scheduled_stop_count,mapped_stop_count,stop_id_coverage,candidate_count,candidate_cardinality,direction_status,official_pattern_status,required_forward_pair_count,matched_fare_pair_count,forward_pair_coverage,gtfs_fare_id_count,distinct_fare_count,full_fare_record_count,fare_condition_completeness,mapping_status,mapping_quality,fare_readiness,matching_method,evidence,unresolved_reason
ferry_line_7000003,ferry_7000003_1911228024,FERRY,7000003,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101113"",""101114""]}",
ferry_line_7000003,ferry_7000003_df79e09f46,FERRY,7000003,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101114"",""101113""]}",
ferry_line_7000023,ferry_7000023_125ab37000,FERRY,7000023,2,2,3,3,1.0,1,one,explicit_direction_exact,exact_complete_pattern,3,3,1.0,3,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":3,""official_stop_ids"":[""80000019"",""101127"",""101337""]}",
ferry_line_7000023,ferry_7000023_7f1ec10dea,FERRY,7000023,1,1,3,3,1.0,1,one,explicit_direction_exact,exact_complete_pattern,3,3,1.0,3,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":3,""official_stop_ids"":[""101337"",""101127"",""80000019""]}",
ferry_line_7000037,ferry_7000037_2a0259cc3f,FERRY,7000037,,,2,2,1.0,0,none,direction_pattern_not_available,not_available,1,1,1.0,1,1,0,passenger_payment_class_vessel_day_unspecified_in_source,partial,C,partial_direction_not_encoded_with_unique_ordered_od_fares,explicit_facility_stop_ids_plus_gtfs_od_without_direction_pattern,"{""json_pattern_candidate_count"":0,""matched_forward_pairs"":1,""official_stop_ids"":[""80000003"",""80000025""]}",official_direction_stop_pattern_not_available
ferry_line_7000037,ferry_7000037_cca44a1ad0,FERRY,7000037,,,2,2,1.0,0,none,direction_pattern_not_available,not_available,1,1,1.0,1,1,0,passenger_payment_class_vessel_day_unspecified_in_source,partial,C,partial_direction_not_encoded_with_unique_ordered_od_fares,explicit_facility_stop_ids_plus_gtfs_od_without_direction_pattern,"{""json_pattern_candidate_count"":0,""matched_forward_pairs"":1,""official_stop_ids"":[""80000025"",""80000003""]}",official_direction_stop_pattern_not_available
ferry_line_7000038,ferry_7000038_a831b0dd3b,FERRY,7000038,,,2,2,1.0,0,none,direction_pattern_not_available,not_available,1,1,1.0,1,1,0,passenger_payment_class_vessel_day_unspecified_in_source,partial,C,partial_direction_not_encoded_with_unique_ordered_od_fares,explicit_facility_stop_ids_plus_gtfs_od_without_direction_pattern,"{""json_pattern_candidate_count"":0,""matched_forward_pairs"":1,""official_stop_ids"":[""80000002"",""80000025""]}",official_direction_stop_pattern_not_available
ferry_line_7000039,ferry_7000039_2a94f9877e,FERRY,7000039,,,4,4,1.0,0,none,direction_pattern_not_available,not_available,6,6,1.0,6,2,0,passenger_payment_class_vessel_day_unspecified_in_source,partial,C,partial_direction_not_encoded_with_unique_ordered_od_fares,explicit_facility_stop_ids_plus_gtfs_od_without_direction_pattern,"{""json_pattern_candidate_count"":0,""matched_forward_pairs"":6,""official_stop_ids"":[""80000025"",""80000002"",""80000015"",""80000003""]}",official_direction_stop_pattern_not_available
ferry_line_7000040,ferry_7000040_86521027fc,FERRY,7000040,,,3,3,1.0,0,none,direction_pattern_not_available,not_available,3,3,1.0,3,1,0,passenger_payment_class_vessel_day_unspecified_in_source,partial,C,partial_direction_not_encoded_with_unique_ordered_od_fares,explicit_facility_stop_ids_plus_gtfs_od_without_direction_pattern,"{""json_pattern_candidate_count"":0,""matched_forward_pairs"":3,""official_stop_ids"":[""80000003"",""80000015"",""80000002""]}",official_direction_stop_pattern_not_available
ferry_line_7006,ferry_7006_177d80ab26,FERRY,7006,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101108"",""101107""]}",
