fare_scope,operator,official_route_id,official_route_sequence,official_direction,official_stop_ids_json,route_name,full_fare_hkd,currency,passenger_type,payment_medium,service_class,vessel_service_type,day_type,fare_amount_role,eligible_for_default_quote,in_current_schedule_exact_scope,gtfs_rule_count,gtfs_distinct_price_count,gtfs_price_equal_full_fare_count,gtfs_full_fare_correspondence,source_record_last_update,source_record_id,source_file,source_sha256,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,unresolved_reason
route_level_full_fare_reference_only,FERRY,7001,1,1,"[""101326"",""101336"",""101125""]",Po Toi Island - Aberdeen/Stanley,30.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,1,3,all_equal,2024-09-02T00:00:00,json:feature_indices:0;1;2,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7003,1,1,"[""101125"",""101323"",""101124""]",Aberdeen - Sok Kwu Wan,22.4,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,2,0,none_equal,2025-09-19T00:00:00,json:feature_indices:3;4;5,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7003,2,2,"[""101124"",""101323"",""101125""]",Aberdeen - Sok Kwu Wan,22.4,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,2,0,none_equal,2025-09-19T00:00:00,json:feature_indices:6;7;8,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7004,1,1,"[""101125"",""101122"",""101123""]",Aberdeen - Yung Shue Wan,21.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,2,0,none_equal,2022-12-16T00:00:00,json:feature_indices:9;10;11,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7004,2,2,"[""101123"",""101122"",""101125""]",Aberdeen - Yung Shue Wan,21.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,2,0,none_equal,2022-12-16T00:00:00,json:feature_indices:12;13;14,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7005,1,1,"[""101102"",""101101""]",Central - Cheung Chau,24.8,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,0,none_equal,2026-03-31T00:00:00,json:feature_indices:15;16,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7005,2,2,"[""101101"",""101102""]",Central - Cheung Chau,24.8,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,0,none_equal,2026-03-31T00:00:00,json:feature_indices:17;18,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7006,1,1,"[""101108"",""101107""]",Central - Mui Wo,48.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,0,none_equal,2026-04-15T00:00:00,json:feature_indices:19;20,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7006,2,2,"[""101107"",""101108""]",Central - Mui Wo,48.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,0,none_equal,2026-04-15T00:00:00,json:feature_indices:21;22,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7007,1,1,"[""101108"",""101109""]",Central - Peng Chau,46.6,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,0,none_equal,2026-04-15T00:00:00,json:feature_indices:23;24,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7007,2,2,"[""101109"",""101108""]",Central - Peng Chau,46.6,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,0,none_equal,2026-04-15T00:00:00,json:feature_indices:25;26,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7008,1,1,"[""101126"",""101348""]",Central - Sok Kwu Wan,43.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,1,1,0,none_equal,2026-03-31T00:00:00,json:feature_indices:27;28,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
