source_id,source_file,table_or_object,field_name,field_type,non_null_count,unique_count,sample_values_json,semantic_interpretation,semantic_evidence,machine_usable,required_for_pricing,ambiguity_status,unresolved_reason
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_id,string,1,1,"[""FERRY""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_lang,string,1,1,"[""en""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_name,string,1,1,"[""Ferry Services""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_timezone,string,1,1,"[""Asia/Hong_Kong""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_url,string,1,1,"[""https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/ferries""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,agency_id,string,59,1,"[""FERRY""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_id,integer,59,59,"[""7001"",""7003"",""7004"",""7005"",""7006"",""7007"",""7008"",""7009""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_long_name,string,59,59,"[""CENTRAL - MUI WO"",""MA WAN - CENTRAL"",""TUEN MUN - TAI O"",""CENTRAL - HUNG HOM"",""MA WAN - TSUEN WAN"",""PENG CHAU - MUI WO"",""TUNG CHUNG - TAI O"",""CENTRAL - PENG CHAU""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_short_name,null,0,0,[],"Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_type,integer,59,1,"[""4""]","Source field retained for identification, description, or provenance.",field name and source values,true,false,resolved_for_reference,
