fare_scope,operator,matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,vessel_service_type,day_type,time_period,published_fare_hkd,currency,fare_amount_role,cost_component,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,source_record_id,source_file,source_sha256,record_status,candidate_records_json,mapping_status,mapping_quality,cost_quality,cost_applicability_status,matching_method,unresolved_reason
unresolved,FERRY,,,7000025,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,40.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872639|fare_id:7000025-2-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000025-2-1-2"",""price"":40.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000025,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,40.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872640|fare_id:7000025-2-1-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000025-2-1-3"",""price"":40.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000025,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,40.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872641|fare_id:7000025-2-1-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000025-2-1-4"",""price"":40.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000025,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,40.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872642|fare_id:7000025-2-2-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000025-2-2-3"",""price"":40.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000025,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,40.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872643|fare_id:7000025-2-2-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000025-2-2-4"",""price"":40.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000025,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,40.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872644|fare_id:7000025-2-3-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000025-2-3-4"",""price"":40.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000029,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,60.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872659|fare_id:7000029-2-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000029-2-1-2"",""price"":60.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000029,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,60.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872660|fare_id:7000029-2-1-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000029-2-1-3"",""price"":60.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000029,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,60.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872661|fare_id:7000029-2-1-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000029-2-1-4"",""price"":60.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
unresolved,FERRY,,,7000029,2,,,,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,60.0,HKD,unresolved_fare_attribute_without_stop_od_rule,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_attributes.txt:872662|fare_id:7000029-2-1-5,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,unresolved,"[{""fare_id"":""7000029-2-1-5"",""price"":60.0}]",unresolved,U,U,unresolved,fare_attribute_left_anti_join_fare_rules,fare_attribute_has_no_fare_rule_origin_destination
