matsim_line_id,matsim_route_id,official_route_id,matsim_route_suffix,official_json_route_sequence,schedule_stop_count,official_pattern_stop_count,candidate_count,candidate_cardinality,complete_stop_sequence_exact,route_suffix_matches_routeSeq,route_suffix_used_as_evidence,direction_status,prior_direction_status,prior_mapping_status,prior_mapping_quality,current_mapping_status,current_mapping_quality,upgrade_status,matching_method,evidence,unresolved_reason
line_gmb_2000410,gmb_2000410_1,2000410,1,1,43,43,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20002493"",""20000369"",""20007449"",""20002494"",""20002391"",""20006936"",""20000239"",""20000240"",""20002495"",""20000378"",""20000211"",""20005085"",""20005086"",""20000215"",""20002787"",""20005087"",""20005088"",""20005089"",""20005090"",""20002501"",""20004116"",""20003457"",""20003075"",""20004583"",""20002502"",""20003110"",""20000267"",""20020920"",""20000057"",""20002735"",""20000361"",""20000169"",""20000328"",""20000329"",""20004117"",""20004118"",""20003338"",""20003337""],""schedule_stop_ids"":[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20002493"",""20000369"",""20007449"",""20002494"",""20002391"",""20006936"",""20000239"",""20000240"",""20002495"",""20000378"",""20000211"",""20005085"",""20005086"",""20000215"",""20002787"",""20005087"",""20005088"",""20005089"",""20005090"",""20002501"",""20004116"",""20003457"",""20003075"",""20004583"",""20002502"",""20003110"",""20000267"",""20020920"",""20000057"",""20002735"",""20000361"",""20000169"",""20000328"",""20000329"",""20004117"",""20004118"",""20003338"",""20003337""]}",
line_gmb_2000511,gmb_2000511_1,2000511,1,1,15,15,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20002493"",""20000369"",""20007449"",""20002494"",""20002391"",""20002495"",""20000048"",""20000049"",""20000021"",""20006944""],""schedule_stop_ids"":[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20002493"",""20000369"",""20007449"",""20002494"",""20002391"",""20002495"",""20000048"",""20000049"",""20000021"",""20006944""]}",
line_gmb_2000511,gmb_2000511_2,2000511,2,2,8,8,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20006944"",""20000361"",""20000169"",""20000328"",""20000329"",""20004118"",""20003338"",""20003337""],""schedule_stop_ids"":[""20006944"",""20000361"",""20000169"",""20000328"",""20000329"",""20004118"",""20003338"",""20003337""]}",
line_gmb_2000819,gmb_2000819_1,2000819,1,1,10,10,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20003337"",""20002491"",""20002492"",""20004115"",""20007448"",""20000369"",""20007449"",""20002494"",""20011613"",""20011235""],""schedule_stop_ids"":[""20003337"",""20002491"",""20002492"",""20004115"",""20007448"",""20000369"",""20007449"",""20002494"",""20011613"",""20011235""]}",
line_gmb_2000819,gmb_2000819_2,2000819,2,2,12,12,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20011235"",""20015542"",""20020921"",""20000169"",""20007450"",""20000329"",""20002790"",""20007451"",""20004117"",""20004118"",""20003338"",""20003337""],""schedule_stop_ids"":[""20011235"",""20015542"",""20020921"",""20000169"",""20007450"",""20000329"",""20002790"",""20007451"",""20004117"",""20004118"",""20003338"",""20003337""]}",
line_gmb_2000961,gmb_2000961_1,2000961,1,1,15,15,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20000177"",""20000369"",""20007449"",""20002494"",""20002391"",""20002495"",""20000048"",""20000049"",""20000021"",""20006944""],""schedule_stop_ids"":[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20000177"",""20000369"",""20007449"",""20002494"",""20002391"",""20002495"",""20000048"",""20000049"",""20000021"",""20006944""]}",
line_gmb_2000961,gmb_2000961_2,2000961,2,2,10,10,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20006944"",""20000057"",""20000361"",""20000169"",""20000328"",""20000329"",""20000363"",""20004118"",""20003338"",""20003337""],""schedule_stop_ids"":[""20006944"",""20000057"",""20000361"",""20000169"",""20000328"",""20000329"",""20000363"",""20004118"",""20003338"",""20003337""]}",
line_gmb_2000964,gmb_2000964_1,2000964,1,1,7,7,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20007153"",""20007154"",""20007155"",""20007156"",""20001872"",""20001873"",""20001661""],""schedule_stop_ids"":[""20007153"",""20007154"",""20007155"",""20007156"",""20001872"",""20001873"",""20001661""]}",
line_gmb_2000964,gmb_2000964_2,2000964,2,2,4,4,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001661"",""20001942"",""20007223"",""20007153""],""schedule_stop_ids"":[""20001661"",""20001942"",""20007223"",""20007153""]}",
line_gmb_2000967,gmb_2000967_1,2000967,1,1,7,7,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000093"",""20000311"",""20000121"",""20000124"",""20000123"",""20000122"",""20000093""],""schedule_stop_ids"":[""20000093"",""20000311"",""20000121"",""20000124"",""20000123"",""20000122"",""20000093""]}",
