quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,travel_date,day_type,temporal_basis,transfer_concession_requested,expected_result
available_ordered_od,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,available
independent_reverse_od,gmb,line_gmb_2000511,gmb_2000511_2,2000511,2,20006944,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,false,available
reverse_within_same_direction,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20006944,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unspecified_direction_on_exact_route,gmb,line_gmb_2000511,gmb_2000511_1,2000511,unspecified,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
concrete_wrong_direction,gmb,line_gmb_2000511,gmb_2000511_1,2000511,2,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unknown_official_route,gmb,line_gmb_2000511,gmb_2000511_1,999999999,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
matsim_official_route_mismatch,gmb,line_gmb_2000511,gmb_2000410_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
matsim_line_route_mismatch,gmb,line_gmb_2000410,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unknown_boarding,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,UNKNOWN,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
unknown_alighting,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,UNKNOWN,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
passenger_adult_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,adult,unspecified,,unspecified,source_snapshot_only,false,unresolved
octopus_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,Octopus,,unspecified,source_snapshot_only,false,unresolved
cash_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,cash,,unspecified,source_snapshot_only,false,unresolved
day_type_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,weekday,source_snapshot_only,false,unresolved
temporal_basis_missing,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,,false,unresolved
temporal_basis_wrong,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,travel_date_applicability,false,unresolved
nonempty_travel_date,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,2026-07-14,unspecified,source_snapshot_only,false,unresolved
generic_pt_mode,pt,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
route_od_mismatch,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20006944,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
fullfare_not_fallback,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
real_conflicting_amounts,gmb,line_gmb_2001194,gmb_2001194_1,2001194,1,20002474,20022867,unspecified,unspecified,,unspecified,source_snapshot_only,false,ambiguous
real_duplicate_identical_records,gmb,line_gmb_2000993,gmb_2000993_1,2000993,1,20001162,20001163,unspecified,unspecified,,unspecified,source_snapshot_only,false,unresolved
real_official_zero_amount,gmb,line_gmb_2006612,gmb_2006612_1,2006612,1,20001164,20001149,unspecified,unspecified,,unspecified,source_snapshot_only,false,available
transfer_concession_requested,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,true,available
