quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,travel_date,day_type,temporal_basis,cost_component,fare_amount_role,published_fare_hkd,cost_hkd,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,cost_quality,mapping_status,mapping_quality,cost_applicability_status,source_record_id,source_record_ids_json,unresolved_reason,transfer_concession_hkd,transfer_concession_status
available_ordered_od,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified,12.5,12.5,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_and_effective_period_unspecified,gtfs:fare_rules.txt:775069|fare_attributes.txt:774628|fare_id:2000511-1-1-15,"[""gtfs:fare_rules.txt:775069|fare_attributes.txt:774628|fare_id:2000511-1-1-15""]",,,not_modelled
independent_reverse_od,gmb,line_gmb_2000511,gmb_2000511_2,2000511,2,20006944,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified,12.5,12.5,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_and_effective_period_unspecified,gtfs:fare_rules.txt:775167|fare_attributes.txt:774726|fare_id:2000511-2-1-8,"[""gtfs:fare_rules.txt:775167|fare_attributes.txt:774726|fare_id:2000511-2-1-8""]",,,not_modelled
reverse_within_same_direction,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20006944,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],ordered_stop_od_rule_missing_full_fare_reference_not_used,,not_modelled
unspecified_direction_on_exact_route,gmb,line_gmb_2000511,gmb_2000511_1,2000511,unspecified,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],official_direction_is_encoded_for_this_route,,not_modelled
concrete_wrong_direction,gmb,line_gmb_2000511,gmb_2000511_1,2000511,2,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],official_direction_mismatch,,not_modelled
unknown_official_route,gmb,line_gmb_2000511,gmb_2000511_1,999999999,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],unknown_official_route_id,,not_modelled
matsim_official_route_mismatch,gmb,line_gmb_2000511,gmb_2000410_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],matsim_route_and_official_route_mismatch,,not_modelled
matsim_line_route_mismatch,gmb,line_gmb_2000410,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],matsim_line_and_route_mismatch,,not_modelled
unknown_boarding,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,UNKNOWN,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],unknown_boarding_stop_for_route,,not_modelled
unknown_alighting,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,UNKNOWN,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],unknown_alighting_stop_for_route,,not_modelled
passenger_adult_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,adult,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],passenger_type_not_explicitly_supported_by_source,,not_modelled
octopus_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,Octopus,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],payment_medium_not_explicitly_supported_by_source,,not_modelled
cash_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,cash,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],payment_medium_not_explicitly_supported_by_source,,not_modelled
day_type_not_supported,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,weekday,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],day_type_not_explicitly_supported_by_source,,not_modelled
temporal_basis_missing,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],temporal_basis_must_be_source_snapshot_only,,not_modelled
temporal_basis_wrong,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,travel_date_applicability,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],temporal_basis_must_be_source_snapshot_only,,not_modelled
nonempty_travel_date,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,2026-07-14,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],fare_effective_period_not_encoded_for_travel_date,,not_modelled
generic_pt_mode,pt,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20006944,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],actual_transport_mode_must_be_gmb,,not_modelled
route_od_mismatch,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20006944,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],ordered_stop_od_rule_missing_full_fare_reference_not_used,,not_modelled
fullfare_not_fallback,gmb,line_gmb_2000511,gmb_2000511_1,2000511,1,20003337,20003337,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,[],ordered_stop_od_rule_missing_full_fare_reference_not_used,,not_modelled
real_conflicting_amounts,gmb,line_gmb_2001194,gmb_2001194_1,2001194,1,20002474,20022867,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,ambiguous,A,unresolved,,"[""gtfs:fare_rules.txt:782933|fare_attributes.txt:782170|fare_id:2001194-1-1-5"",""gtfs:fare_rules.txt:782951|fare_attributes.txt:856869|fare_id:2001194-1-1-23""]",conflicting_published_amounts,,not_modelled
