fare_scope,operator,official_route_id,official_route_sequence,official_direction,official_stop_ids_json,route_name,full_fare_hkd,currency,passenger_type,payment_medium,day_type,fare_amount_role,eligible_for_default_quote,gtfs_candidate_record_count,gtfs_distinct_price_count,gtfs_price_equal_full_fare_count,gtfs_price_different_full_fare_count,equality_semantic_status,source_record_last_update,source_record_id,source_feature_json,source_file,source_sha256,source_revision_cutoff_date,source_download_date,cost_effective_date,cost_effective_date_status,condition_completeness,unresolved_reason
route_level_full_fare_reference_only,GMB,2000410,1,1,"[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20002493"",""20000369"",""20007449"",""20002494"",""20002391"",""20006936"",""20000239"",""20000240"",""20002495"",""20000378"",""20000211"",""20005085"",""20005086"",""20000215"",""20002787"",""20005087"",""20005088"",""20005089"",""20005090"",""20002501"",""20004116"",""20003457"",""20003075"",""20004583"",""20002502"",""20003110"",""20000267"",""20020920"",""20000057"",""20002735"",""20000361"",""20000169"",""20000328"",""20000329"",""20004117"",""20004118"",""20003338"",""20003337""]",69,14.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,902,5,550,352,amount_equality_does_not_prove_same_fare_semantics,2026-07-13T00:00:00,json:feature_indices:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":14.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000410"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000410"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000410"",""journeyTime"":53,""lastUpdateDate"":""2026-07-13T00:00:00"",""locEndNameC"":""鰂魚涌(船塢里)(循環線)"",""locEndNameE"":""Quarry Bay (Shipyard Lane) (Circular)"",""locEndNameS"":""鲗鱼涌(船坞里)(循环线)"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000410,""routeNameC"":""69"",""routeNameE"":""69"",""routeNameS"":""69"",""routeSeq"":1,""routeType"":2,""serviceMode"":""T"",""specialType"":1,""stopId"":20003337,""stopNameC"":""數碼港公共運輸交匯處"",""stopNameE"":""Cyberport Public Transport Interchange"",""stopNameS"":""数码港公共运输交汇处"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000511,1,1,"[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20002493"",""20000369"",""20007449"",""20002494"",""20002391"",""20002495"",""20000048"",""20000049"",""20000021"",""20006944""]",69X,12.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,105,2,84,21,amount_equality_does_not_prove_same_fare_semantics,2026-06-10T00:00:00,json:feature_indices:43;44;45;46;47;48;49;50;51;52;53;54;55;56;57,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":12.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000511"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000511"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000511"",""journeyTime"":18,""lastUpdateDate"":""2026-06-10T00:00:00"",""locEndNameC"":""銅鑼灣(駱克道)"",""locEndNameE"":""Causeway Bay (Lockhart Road) "",""locEndNameS"":""铜锣湾(骆克道)"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000511,""routeNameC"":""69X"",""routeNameE"":""69X"",""routeNameS"":""69X"",""routeSeq"":1,""routeType"":2,""serviceMode"":""R"",""specialType"":0,""stopId"":20003337,""stopNameC"":""數碼港公共運輸交匯處"",""stopNameE"":""Cyberport Public Transport Interchange"",""stopNameS"":""数码港公共运输交汇处"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000511,2,2,"[""20006944"",""20000361"",""20000169"",""20000328"",""20000329"",""20004118"",""20003338"",""20003337""]",69X,12.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,28,3,7,21,amount_equality_does_not_prove_same_fare_semantics,2026-06-10T00:00:00,json:feature_indices:58;59;60;61;62;63;64;65,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":12.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000511"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000511"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000511"",""journeyTime"":18,""lastUpdateDate"":""2026-06-10T00:00:00"",""locEndNameC"":""銅鑼灣(駱克道)"",""locEndNameE"":""Causeway Bay (Lockhart Road) "",""locEndNameS"":""铜锣湾(骆克道)"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000511,""routeNameC"":""69X"",""routeNameE"":""69X"",""routeNameS"":""69X"",""routeSeq"":2,""routeType"":2,""serviceMode"":""R"",""specialType"":0,""stopId"":20006944,""stopNameC"":""駱克道, 近景隆街"",""stopNameE"":""Lockhart Road, near Cannon Street"",""stopNameS"":""骆克道, 近景隆街"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000819,1,1,"[""20003337"",""20002491"",""20002492"",""20004115"",""20007448"",""20000369"",""20007449"",""20002494"",""20011613"",""20011235""]",69A,8.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,45,2,17,28,amount_equality_does_not_prove_same_fare_semantics,2026-06-10T00:00:00,json:feature_indices:66;67;68;69;70;71;72;73;74;75,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":8.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000819"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000819"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000819"",""journeyTime"":18,""lastUpdateDate"":""2026-06-10T00:00:00"",""locEndNameC"":""黃竹坑站"",""locEndNameE"":""Wong Chuk Hang Station  Please inquire with the operator about the payment arrangement of the two-way fare on this route."",""locEndNameS"":""黄竹坑站"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000819,""routeNameC"":""69A"",""routeNameE"":""69A"",""routeNameS"":""69A"",""routeSeq"":1,""routeType"":2,""serviceMode"":""T"",""specialType"":1,""stopId"":20003337,""stopNameC"":""數碼港公共運輸交匯處"",""stopNameE"":""Cyberport Public Transport Interchange"",""stopNameS"":""数码港公共运输交汇处"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000819,2,2,"[""20011235"",""20015542"",""20020921"",""20000169"",""20007450"",""20000329"",""20002790"",""20007451"",""20004117"",""20004118"",""20003338"",""20003337""]",69A,8.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,66,3,21,45,amount_equality_does_not_prove_same_fare_semantics,2026-06-10T00:00:00,json:feature_indices:76;77;78;79;80;81;82;83;84;85;86;87,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":8.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000819"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000819"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000819"",""journeyTime"":18,""lastUpdateDate"":""2026-06-10T00:00:00"",""locEndNameC"":""黃竹坑站"",""locEndNameE"":""Wong Chuk Hang Station  Please inquire with the operator about the payment arrangement of the two-way fare on this route."",""locEndNameS"":""黄竹坑站"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000819,""routeNameC"":""69A"",""routeNameE"":""69A"",""routeNameS"":""69A"",""routeSeq"":2,""routeType"":2,""serviceMode"":""T"",""specialType"":1,""stopId"":20011235,""stopNameC"":""黃竹坑站"",""stopNameE"":""Wong Chuk Hang Station"",""stopNameS"":""黄竹坑站"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000961,1,1,"[""20003337"",""20007719"",""20002491"",""20002492"",""20004115"",""20000177"",""20000369"",""20007449"",""20002494"",""20002391"",""20002495"",""20000048"",""20000049"",""20000021"",""20006944""]",69X,12.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,105,2,84,21,amount_equality_does_not_prove_same_fare_semantics,2026-06-10T00:00:00,json:feature_indices:88;89;90;91;92;93;94;95;96;97;98;99;100;101;102,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":12.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000961"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000961"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000961"",""journeyTime"":19,""lastUpdateDate"":""2026-06-10T00:00:00"",""locEndNameC"":""銅鑼灣(駱克道)經華富邨"",""locEndNameE"":""Causeway Bay (Lockhart Road)  via Wah Fu Estate"",""locEndNameS"":""铜锣湾(骆克道)经华富邨"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000961,""routeNameC"":""69X"",""routeNameE"":""69X"",""routeNameS"":""69X"",""routeSeq"":1,""routeType"":2,""serviceMode"":""T"",""specialType"":1,""stopId"":20003337,""stopNameC"":""數碼港公共運輸交匯處"",""stopNameE"":""Cyberport Public Transport Interchange"",""stopNameS"":""数码港公共运输交汇处"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000961,2,2,"[""20006944"",""20000057"",""20000361"",""20000169"",""20000328"",""20000329"",""20000363"",""20004118"",""20003338"",""20003337""]",69X,12.5,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,45,3,9,36,amount_equality_does_not_prove_same_fare_semantics,2026-06-10T00:00:00,json:feature_indices:103;104;105;106;107;108;109;110;111;112,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":12.5,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000961"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000961"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000961"",""journeyTime"":19,""lastUpdateDate"":""2026-06-10T00:00:00"",""locEndNameC"":""銅鑼灣(駱克道)經華富邨"",""locEndNameE"":""Causeway Bay (Lockhart Road)  via Wah Fu Estate"",""locEndNameS"":""铜锣湾(骆克道)经华富邨"",""locStartNameC"":""數碼港"",""locStartNameE"":""Cyberport"",""locStartNameS"":""数码港"",""routeId"":2000961,""routeNameC"":""69X"",""routeNameE"":""69X"",""routeNameS"":""69X"",""routeSeq"":2,""routeType"":2,""serviceMode"":""T"",""specialType"":1,""stopId"":20006944,""stopNameC"":""駱克道, 近景隆街"",""stopNameE"":""Lockhart Road, near Cannon Street"",""stopNameS"":""骆克道, 近景隆街"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000964,1,1,"[""20007153"",""20007154"",""20007155"",""20007156"",""20001872"",""20001873"",""20001661""]",84,4.9,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,21,1,21,0,amount_equality_does_not_prove_same_fare_semantics,2026-04-17T00:00:00,json:feature_indices:113;114;115;116;117;118;119,"{""companyCode"":""GMB"",""district"":""NT"",""fullFare"":4.9,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000964"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000964"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000964"",""journeyTime"":11,""lastUpdateDate"":""2026-04-17T00:00:00"",""locEndNameC"":""荃灣眾安街"",""locEndNameE"":""Tsuen Wan Chung On Street "",""locEndNameS"":""荃湾众安街"",""locStartNameC"":""荃威花園"",""locStartNameE"":""Allway Gardens"",""locStartNameS"":""荃威花园"",""routeId"":2000964,""routeNameC"":""84"",""routeNameE"":""84"",""routeNameS"":""84"",""routeSeq"":1,""routeType"":2,""serviceMode"":""R"",""specialType"":0,""stopId"":20007153,""stopNameC"":""荃威花園"",""stopNameE"":""Allway Gardens"",""stopNameS"":""荃威花园"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000964,2,2,"[""20001661"",""20001942"",""20007223"",""20007153""]",84,4.9,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,6,1,6,0,amount_equality_does_not_prove_same_fare_semantics,2026-04-17T00:00:00,json:feature_indices:120;121;122;123,"{""companyCode"":""GMB"",""district"":""NT"",""fullFare"":4.9,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000964"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000964"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000964"",""journeyTime"":11,""lastUpdateDate"":""2026-04-17T00:00:00"",""locEndNameC"":""荃灣眾安街"",""locEndNameE"":""Tsuen Wan Chung On Street "",""locEndNameS"":""荃湾众安街"",""locStartNameC"":""荃威花園"",""locStartNameE"":""Allway Gardens"",""locStartNameS"":""荃威花园"",""routeId"":2000964,""routeNameC"":""84"",""routeNameE"":""84"",""routeNameS"":""84"",""routeSeq"":2,""routeType"":2,""serviceMode"":""R"",""specialType"":0,""stopId"":20001661,""stopNameC"":""荃灣眾安街"",""stopNameE"":""Tsuen Wan Chung On Street"",""stopNameS"":""荃湾众安街"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
route_level_full_fare_reference_only,GMB,2000967,1,1,"[""20000093"",""20000311"",""20000121"",""20000124"",""20000123"",""20000122"",""20000093""]",21A,5.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,20,1,20,0,amount_equality_does_not_prove_same_fare_semantics,2026-07-13T00:00:00,json:feature_indices:124;125;126;127;128;129;130,"{""companyCode"":""GMB"",""district"":""HKI"",""fullFare"":5.0,""hyperlinkC"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000967"",""hyperlinkE"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000967"",""hyperlinkS"":""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000967"",""journeyTime"":12,""lastUpdateDate"":""2026-07-13T00:00:00"",""locEndNameC"":""勵德邨(循環線)"",""locEndNameE"":""Lai Tak Tsuen (Circular)"",""locEndNameS"":""励德邨 (循環線)(循环线)"",""locStartNameC"":""銅鑼灣(蘭芳道)"",""locStartNameE"":""Causeway Bay (Lan Fong Road)"",""locStartNameS"":""铜锣湾(兰芳道)"",""routeId"":2000967,""routeNameC"":""21A"",""routeNameE"":""21A"",""routeNameS"":""21A"",""routeSeq"":1,""routeType"":2,""serviceMode"":""R"",""specialType"":0,""stopId"":20000093,""stopNameC"":""蘭芳道, 近利園一期"",""stopNameE"":""Near Lee Garden One, Lan Fong Road"",""stopNameS"":""兰芳道, 近利园一期"",""stopPickDrop"":2,""stopSeq"":1}",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c,2026-07-14,2026-07-20,,not_encoded_in_source_revision_cutoff_only,passenger_payment_effective_period_unspecified,not_ordered_stop_od_and_flat_fare_not_proven
