source_id,source_file,table_or_object,field_name,field_type,non_null_count,unique_count,sample_values_json,semantic_interpretation,semantic_evidence,machine_usable,required_for_pricing,ambiguity_status,unresolved_reason
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_id,string,1,1,"[""GMB""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_lang,string,1,1,"[""en""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_name,string,1,1,"[""Green Minibus Services""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_timezone,string,1,1,"[""Asia/Hong_Kong""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!agency.txt,agency.txt,agency_url,string,1,1,"[""https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/minibuses""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,agency_id,string,778,1,"[""GMB""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_id,integer,778,778,"[""2000410"",""2000511"",""2000819"",""2000961"",""2000964"",""2000967"",""2000968"",""2000970""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_long_name,string,778,765,"[""HIN KENG - LEE ON "",""PO LAM - PO TOI O "",""SAI KUNG - HOI HA "",""SAI KUNG - PO LAM "",""SAI KUNG - HO CHUNG "",""HANG HAU - HONG SING "",""PO LAM - KOWLOON BAY "",""PO LAM - SAN PO KONG ""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_short_name,string,778,476,"[""1"",""2"",""3"",""4"",""5"",""7"",""8"",""9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_type,integer,778,1,"[""3""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
