matsim_stop_facility_id,official_stop_id,official_stop_name,in_gtfs,in_gmb_json,matsim_route_occurrence_count,candidate_count,candidate_cardinality,mapping_status,mapping_quality,matching_method,evidence,unresolved_reason
pt_gmb_20000003_7af07839d9__614087fe26_012,20000003,"Lockhart Road, East of Marsh Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000004_5907635aa9__614087fe26_013,20000004,"Lockhart Road, Siu On Centre",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000007_5b62a2bea4__05a775a931_007,20000007,"Queen's Road East, outside Three Pacific Place",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000007_5b62a2bea4__7a751e4b27_012,20000007,"Queen's Road East, outside Three Pacific Place",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000007_5b62a2bea4__db152a1dfe_013,20000007,"Queen's Road East, outside Three Pacific Place",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__1ad9c86b9e_013,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__2b8ddd58c1_003,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__37d12635f1_017,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__385831c24c_013,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__3f4fc9a505_009,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__456085078b_012,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__84ddbc7ee1_010,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__991da599c8_009,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__a5c273a482_009,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__a5c8487b8c_003,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__b63a757c30_009,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__be8a954b71_013,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__db91f4742e_005,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000008_d8c3066484__ee0303cc84_001,20000008,"Pok Fu Lam Road, West Gate of The University of Hong Kong",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__1ad9c86b9e_014,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__2b8ddd58c1_004,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__37d12635f1_018,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__385831c24c_014,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__3f4fc9a505_010,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__456085078b_013,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__84ddbc7ee1_011,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__991da599c8_010,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__a5c273a482_010,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__a5c8487b8c_004,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__b63a757c30_010,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__be8a954b71_014,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__db91f4742e_006,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000009_d8c3066484__ee0303cc84_002,20000009,"Pok Fu Lam Road, opposite The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__2b8ddd58c1_005,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__37d12635f1_019,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__3f4fc9a505_011,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__84ddbc7ee1_012,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__991da599c8_011,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__a5c273a482_011,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000010_f2fca1f589__b63a757c30_011,20000010,"Pokfield Road Bus Terminus, Pok Fu Lam Road",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000011_4dc3235eed__304319e216_003,20000011,Sandy Bay Road,True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000011_4dc3235eed__6343411f15_007,20000011,Sandy Bay Road,True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000011_4dc3235eed__d977b352f8_003,20000011,Sandy Bay Road,True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_4103c8e197__05de204cf4_008,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_4103c8e197__11b45167d2_011,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_4103c8e197__691f0e8ca1_008,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_4103c8e197__9bf714d824_011,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__1a2549cdf6_004,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__3ac54dad7f_007,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__83b359f5e4_004,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__a43ece3a23_007,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__db91f4742e_004,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__e8930eb664_004,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000012_f09af7a024__f52f481647_007,20000012,"Pok Fu Lam Road, outside The Belcher's",True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000013_4103c8e197__05de204cf4_007,20000013,Pok Fu Lam Road western end of bus bay west of Hill Road flyover,True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000013_4103c8e197__11b45167d2_010,20000013,Pok Fu Lam Road western end of bus bay west of Hill Road flyover,True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
pt_gmb_20000013_4103c8e197__691f0e8ca1_007,20000013,Pok Fu Lam Road western end of bus bay west of Hill Road flyover,True,True,1,1,one,exact,A,official_stop_id_encoded_in_matsim_facility_id,"{""facility_id_regex"":""^pt_gmb_(official_stop_id)_"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
