quote_id,actual_transport_mode,fare_network_scope,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,travel_date,transfer_concession_requested
available_ordered_od,light_rail,light_rail_station_od,1,10,adult,Octopus,2026-07-28,false
reverse_ordered_od,light_rail,light_rail_station_od,10,1,adult,Octopus,2026-07-28,false
official_zero_same_stop,light_rail,light_rail_station_od,1,1,adult,Octopus,2026-07-28,false
unknown_boarding_stop,light_rail,light_rail_station_od,9999,10,adult,Octopus,2026-07-28,false
unknown_alighting_stop,light_rail,light_rail_station_od,1,9999,adult,Octopus,2026-07-28,false
missing_scope,light_rail,,1,10,adult,Octopus,2026-07-28,false
wrong_domestic_mtr_scope,light_rail,domestic_mtr_station_od,1,10,adult,Octopus,2026-07-28,false
generic_pt_mode,pt,light_rail_station_od,1,10,adult,Octopus,2026-07-28,false
missing_actual_mode,,light_rail_station_od,1,10,adult,Octopus,2026-07-28,false
unsupported_child,light_rail,light_rail_station_od,1,10,child,Octopus,2026-07-28,false
unsupported_payment,light_rail,light_rail_station_od,1,10,adult,SingleJourneyTicket,2026-07-28,false
missing_boarding_stop,light_rail,light_rail_station_od,,10,adult,Octopus,2026-07-28,false
missing_alighting_stop,light_rail,light_rail_station_od,1,,adult,Octopus,2026-07-28,false
same_stop_missing_not_applicable_complete_matrix,light_rail,light_rail_station_od,10,10,adult,Octopus,2026-07-28,false
unresolved_official_od_not_present_complete_matrix,light_rail,light_rail_station_od,15,20,adult,Octopus,2026-07-28,false
ambiguous_od_not_present_unique_matrix,light_rail,light_rail_station_od,20,15,adult,Octopus,2026-07-28,false
transfer_concession_requested,light_rail,light_rail_station_od,1,10,adult,Octopus,2026-07-28,true
travel_date_before_effective,light_rail,light_rail_station_od,1,10,adult,Octopus,2024-06-29,false
invalid_travel_date,light_rail,light_rail_station_od,1,10,adult,Octopus,2024/06/30,false
