quote_id,actual_transport_mode,fare_network_scope,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,travel_date,cost_component,fare_amount_role,cost_hkd,cost_source,cost_effective_date,cost_effective_date_status,cost_quality,mapping_status,source_record_id,unresolved_reason,transfer_concession_hkd,transfer_concession_status
available_ordered_od,light_rail,light_rail_station_od,1,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,5.1,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000003,,,not_modelled
reverse_ordered_od,light_rail,light_rail_station_od,10,1,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,5.1,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000070,,,not_modelled
official_zero_same_stop,light_rail,light_rail_station_od,1,1,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,0.0,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000002,,,not_modelled
unknown_boarding_stop,light_rail,light_rail_station_od,9999,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,unknown_boarding_stop_id,,not_modelled
unknown_alighting_stop,light_rail,light_rail_station_od,1,9999,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,unknown_alighting_stop_id,,not_modelled
missing_scope,light_rail,,1,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,missing_fare_network_scope,,not_modelled
wrong_domestic_mtr_scope,light_rail,domestic_mtr_station_od,1,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,unsupported_fare_network_scope,,not_modelled
generic_pt_mode,pt,light_rail_station_od,1,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,unsupported_actual_transport_mode,,not_modelled
missing_actual_mode,,light_rail_station_od,1,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,missing_actual_transport_mode,,not_modelled
unsupported_child,light_rail,light_rail_station_od,1,10,child,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,unsupported_passenger_type,,not_modelled
unsupported_payment,light_rail,light_rail_station_od,1,10,adult,SingleJourneyTicket,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,unsupported_payment_medium,,not_modelled
missing_boarding_stop,light_rail,light_rail_station_od,,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,missing_boarding_stop_id,,not_modelled
missing_alighting_stop,light_rail,light_rail_station_od,1,,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,missing_alighting_stop_id,,not_modelled
same_stop_missing_not_applicable_complete_matrix,light_rail,light_rail_station_od,10,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,0.0,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000071,,,not_modelled
unresolved_official_od_not_present_complete_matrix,light_rail,light_rail_station_od,15,20,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,5.1,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000141,,,not_modelled
ambiguous_od_not_present_unique_matrix,light_rail,light_rail_station_od,20,15,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,5.1,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000208,,,not_modelled
transfer_concession_requested,light_rail,light_rail_station_od,1,10,adult,Octopus,2026-07-28,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,5.1,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,B,exact,mtr_light_rail_fares:csv_line_000003,,,not_modelled
travel_date_before_effective,light_rail,light_rail_station_od,1,10,adult,Octopus,2024-06-29,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,travel_date_precedes_fare_effective_date,,not_modelled
invalid_travel_date,light_rail,light_rail_station_od,1,10,adult,Octopus,2024/06/30,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,,,,,U,unresolved,,invalid_travel_date,,not_modelled
