matsim_line_id,matsim_route_id,official_line_id,official_direction,scheduled_stop_count,mapped_stop_count,stop_id_coverage,direction_status,candidate_count,required_forward_pair_count,matched_forward_pair_count,forward_pair_coverage,fare_network_scope,mapping_status,mapping_quality,fare_readiness,route_pattern_type,matching_method,evidence,unresolved_reason
line_lrt_505,lrt_505_1,505,1,16,16,1.0,explicit_direction_exact,1,120,120,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""920"",""265"",""270"",""280"",""295"",""60"",""190"",""180"",""170"",""160"",""150"",""140"",""130"",""120"",""110"",""100""]}",
line_lrt_505,lrt_505_2,505,2,14,14,1.0,explicit_direction_exact,1,91,91,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""100"",""120"",""130"",""140"",""150"",""160"",""170"",""200"",""60"",""295"",""280"",""270"",""265"",""920""]}",
line_lrt_507,lrt_507_1,507,1,16,16,1.0,explicit_direction_exact,1,120,120,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""1"",""240"",""250"",""260"",""265"",""270"",""280"",""295"",""70"",""75"",""230"",""220"",""212"",""160"",""150"",""140""]}",
line_lrt_507,lrt_507_2,507,2,16,16,1.0,explicit_direction_short_turn,1,120,120,1.0,light_rail_station_od,partial,B,ready,short_turn,line_direction_and_schedule_stop_subsequence,"{""candidate_method"":""schedule_contiguous_subsequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""140"",""150"",""160"",""212"",""220"",""230"",""75"",""70"",""295"",""280"",""270"",""265"",""260"",""250"",""240"",""1""]}",schedule_short_turn_not_separate_official_direction
line_lrt_610,lrt_610_1,610,1,26,26,1.0,explicit_direction_exact,1,325,325,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""1"",""10"",""15"",""20"",""30"",""40"",""50"",""200"",""170"",""212"",""220"",""230"",""80"",""90"",""100"",""350"",""360"",""370"",""380"",""390"",""400"",""560"",""570"",""580"",""590"",""600""]}",
line_lrt_610,lrt_610_2,610,2,26,26,1.0,explicit_direction_exact,1,325,325,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""600"",""590"",""580"",""570"",""560"",""400"",""390"",""380"",""370"",""360"",""350"",""100"",""90"",""80"",""230"",""220"",""212"",""170"",""200"",""50"",""40"",""30"",""20"",""15"",""10"",""1""]}",
line_lrt_614,lrt_614_1,614,1,24,24,1.0,explicit_direction_exact,1,276,276,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""1"",""240"",""250"",""260"",""265"",""270"",""280"",""300"",""310"",""320"",""330"",""340"",""100"",""350"",""360"",""370"",""380"",""390"",""400"",""560"",""570"",""580"",""590"",""600""]}",
line_lrt_614,lrt_614_2,614,2,24,24,1.0,explicit_direction_exact,1,276,276,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""600"",""590"",""580"",""570"",""560"",""400"",""390"",""380"",""370"",""360"",""350"",""100"",""340"",""330"",""320"",""310"",""300"",""280"",""270"",""265"",""260"",""250"",""240"",""1""]}",
line_lrt_614P,lrt_614P_1,614P,1,13,13,1.0,explicit_direction_exact,1,78,78,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""1"",""240"",""250"",""260"",""265"",""270"",""280"",""300"",""310"",""320"",""330"",""340"",""100""]}",
line_lrt_614P,lrt_614P_2,614P,2,13,13,1.0,explicit_direction_exact,1,78,78,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""100"",""340"",""330"",""320"",""310"",""300"",""280"",""270"",""265"",""260"",""250"",""240"",""1""]}",
line_lrt_615,lrt_615_1,615,1,26,26,1.0,explicit_direction_exact,1,325,325,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""1"",""10"",""15"",""20"",""30"",""40"",""50"",""200"",""170"",""160"",""150"",""140"",""130"",""120"",""100"",""350"",""360"",""370"",""380"",""390"",""400"",""560"",""570"",""580"",""590"",""600""]}",
line_lrt_615,lrt_615_2,615,2,26,26,1.0,explicit_direction_exact,1,325,325,1.0,light_rail_station_od,exact,A,ready,exact_direction,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_light_rail_fares_20260720""],""official_stop_ids"":[""600"",""590"",""580"",""570"",""560"",""400"",""390"",""380"",""370"",""360"",""350"",""100"",""120"",""130"",""140"",""150"",""160"",""170"",""200"",""50"",""40"",""30"",""20"",""15"",""10"",""1""]}",
