stop_id,stop_code,stop_name_en,official_route_codes,in_fare_matrix,in_official_route_pattern,in_schedule,schedule_facility_count,schedule_facility_ids_json,candidate_count,candidate_cardinality,candidate_official_stop_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
1,FEP,Tuen Mun Ferry Pier,507;610;614;614P;615;615P,True,True,True,12,"[""pt_lrt_507_1_FEP__f3c4ef233d_000"",""pt_lrt_507_2_FEP__df957ee0dc_015"",""pt_lrt_610_1_FEP__0d338bb9cb_000"",""pt_lrt_610_2_FEP__e81db4920d_025"",""pt_lrt_614P_1_FEP__f6299b7541_000"",""pt_lrt_614P_2_FEP__240370dd6f_012"",""pt_lrt_614_1_FEP__ac0079977b_000"",""pt_lrt_614_2_FEP__53fc8bc57f_023"",""pt_lrt_615P_1_FEP__0bef1b1dc7_000"",""pt_lrt_615P_2_FEP__a58eee23f4_015"",""pt_lrt_615_1_FEP__30a1330701_000"",""pt_lrt_615_2_FEP__ded13913a6_025""]",1,one,"[""1""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
10,MEG,Melody Garden,610;615;615P,True,True,True,6,"[""pt_lrt_610_1_MEG__0d338bb9cb_001"",""pt_lrt_610_2_MEG__e81db4920d_024"",""pt_lrt_615P_1_MEG__0bef1b1dc7_001"",""pt_lrt_615P_2_MEG__a58eee23f4_014"",""pt_lrt_615_1_MEG__30a1330701_001"",""pt_lrt_615_2_MEG__ded13913a6_024""]",1,one,"[""10""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
15,BUT,Butterfly,610;615;615P,True,True,True,6,"[""pt_lrt_610_1_BUT__0d338bb9cb_002"",""pt_lrt_610_2_BUT__e81db4920d_023"",""pt_lrt_615P_1_BUT__0bef1b1dc7_002"",""pt_lrt_615P_2_BUT__a58eee23f4_013"",""pt_lrt_615_1_BUT__30a1330701_002"",""pt_lrt_615_2_BUT__ded13913a6_023""]",1,one,"[""15""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
20,LRD,Light Rail Depot,610;615;615P,True,True,True,6,"[""pt_lrt_610_1_LRD__0d338bb9cb_003"",""pt_lrt_610_2_LRD__e81db4920d_022"",""pt_lrt_615P_1_LRD__0bef1b1dc7_003"",""pt_lrt_615P_2_LRD__a58eee23f4_012"",""pt_lrt_615_1_LRD__30a1330701_003"",""pt_lrt_615_2_LRD__ded13913a6_022""]",1,one,"[""20""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
30,LUM,Lung Mun,610;615;615P,True,True,True,6,"[""pt_lrt_610_1_LUM__0d338bb9cb_004"",""pt_lrt_610_2_LUM__e81db4920d_021"",""pt_lrt_615P_1_LUM__0bef1b1dc7_004"",""pt_lrt_615P_2_LUM__a58eee23f4_011"",""pt_lrt_615_1_LUM__30a1330701_004"",""pt_lrt_615_2_LUM__ded13913a6_021""]",1,one,"[""30""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
40,TSS,Tsing Shan Tsuen,610;615;615P,True,True,True,6,"[""pt_lrt_610_1_TSS__0d338bb9cb_005"",""pt_lrt_610_2_TSS__e81db4920d_020"",""pt_lrt_615P_1_TSS__0bef1b1dc7_005"",""pt_lrt_615P_2_TSS__a58eee23f4_010"",""pt_lrt_615_1_TSS__30a1330701_005"",""pt_lrt_615_2_TSS__ded13913a6_020""]",1,one,"[""40""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
50,TWN,Tsing Wun,610;615;615P,True,True,True,6,"[""pt_lrt_610_1_TWN__0d338bb9cb_006"",""pt_lrt_610_2_TWN__e81db4920d_019"",""pt_lrt_615P_1_TWN__0bef1b1dc7_006"",""pt_lrt_615P_2_TWN__a58eee23f4_009"",""pt_lrt_615_1_TWN__30a1330701_006"",""pt_lrt_615_2_TWN__ded13913a6_019""]",1,one,"[""50""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
60,KIO,Kin On,505,True,True,True,2,"[""pt_lrt_505_1_KIO__8bfeb9f4de_005"",""pt_lrt_505_2_KIO__37cb43f70f_008""]",1,one,"[""60""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
70,HOT,Ho Tin,507;751,True,True,True,4,"[""pt_lrt_507_1_HOT__f3c4ef233d_008"",""pt_lrt_507_2_HOT__df957ee0dc_007"",""pt_lrt_751_1_HOT__3e4d4104b7_004"",""pt_lrt_751_2_HOT__2396822ec2_018""]",1,one,"[""70""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
75,CYB,Choy Yee Bridge,507;751,True,True,True,4,"[""pt_lrt_507_1_CYB__f3c4ef233d_009"",""pt_lrt_507_2_CYB__df957ee0dc_006"",""pt_lrt_751_1_CYB__3e4d4104b7_005"",""pt_lrt_751_2_CYB__2396822ec2_017""]",1,one,"[""75""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
