station_id,station_code,station_name_en,line_codes,in_domestic_fare_matrix,in_airport_express_fare_matrix,in_schedule,schedule_facility_count,schedule_facility_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
1,CEN,Central,ISL;TWL,True,False,True,4,"[""pt_mtr_ISL_DT_CEN__8371e9640e_012"",""pt_mtr_ISL_UT_CEN__b8843dd1dc_004"",""pt_mtr_TWL_DT_CEN__df5f9b6d0f_015"",""pt_mtr_TWL_UT_CEN__ec9516a8bf_000""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
2,ADM,Admiralty,EAL;ISL;SIL;TWL,True,False,True,10,"[""pt_mtr_EAL_DT_ADM__74bbc524be_013"",""pt_mtr_EAL_LMC-DT_ADM__c03756a6ed_013"",""pt_mtr_EAL_LMC-UT_ADM__04ae606b2a_000"",""pt_mtr_EAL_UT_ADM__aa8bb5cea1_000"",""pt_mtr_ISL_DT_ADM__8371e9640e_011"",""pt_mtr_ISL_UT_ADM__b8843dd1dc_005"",""pt_mtr_SIL_DT_ADM__21e2c13d3a_004"",""pt_mtr_SIL_UT_ADM__631a6d4350_000"",""pt_mtr_TWL_DT_ADM__df5f9b6d0f_014"",""pt_mtr_TWL_UT_ADM__ec9516a8bf_001""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
3,TST,Tsim Sha Tsui,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_TST__df5f9b6d0f_013"",""pt_mtr_TWL_UT_TST__ec9516a8bf_002""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
4,JOR,Jordan,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_JOR__df5f9b6d0f_012"",""pt_mtr_TWL_UT_JOR__ec9516a8bf_003""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
5,YMT,Yau Ma Tei,KTL;TWL,True,False,True,6,"[""pt_mtr_KTL_DT_YMT__b54ed23bfb_014"",""pt_mtr_KTL_SHORT-DT_YMT__7042215d45_014"",""pt_mtr_KTL_SHORT-UT_YMT__b1d4e0b499_001"",""pt_mtr_KTL_UT_YMT__6f5be7b0c5_002"",""pt_mtr_TWL_DT_YMT__df5f9b6d0f_011"",""pt_mtr_TWL_UT_YMT__ec9516a8bf_004""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
6,MOK,Mong Kok,KTL;TWL,True,False,True,6,"[""pt_mtr_KTL_DT_MOK__b54ed23bfb_013"",""pt_mtr_KTL_SHORT-DT_MOK__7042215d45_013"",""pt_mtr_KTL_SHORT-UT_MOK__b1d4e0b499_002"",""pt_mtr_KTL_UT_MOK__6f5be7b0c5_003"",""pt_mtr_TWL_DT_MOK__df5f9b6d0f_010"",""pt_mtr_TWL_UT_MOK__ec9516a8bf_005""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
7,SKM,Shek Kip Mei,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_SKM__b54ed23bfb_011"",""pt_mtr_KTL_SHORT-DT_SKM__7042215d45_011"",""pt_mtr_KTL_SHORT-UT_SKM__b1d4e0b499_004"",""pt_mtr_KTL_UT_SKM__6f5be7b0c5_005""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
8,KOT,Kowloon Tong,EAL;KTL,True,False,True,8,"[""pt_mtr_EAL_DT_KOT__74bbc524be_009"",""pt_mtr_EAL_LMC-DT_KOT__c03756a6ed_009"",""pt_mtr_EAL_LMC-UT_KOT__04ae606b2a_004"",""pt_mtr_EAL_UT_KOT__aa8bb5cea1_004"",""pt_mtr_KTL_DT_KOT__b54ed23bfb_010"",""pt_mtr_KTL_SHORT-DT_KOT__7042215d45_010"",""pt_mtr_KTL_SHORT-UT_KOT__b1d4e0b499_005"",""pt_mtr_KTL_UT_KOT__6f5be7b0c5_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
9,LOF,Lok Fu,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_LOF__b54ed23bfb_009"",""pt_mtr_KTL_SHORT-DT_LOF__7042215d45_009"",""pt_mtr_KTL_SHORT-UT_LOF__b1d4e0b499_006"",""pt_mtr_KTL_UT_LOF__6f5be7b0c5_007""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
10,WTS,Wong Tai Sin,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_WTS__b54ed23bfb_008"",""pt_mtr_KTL_SHORT-DT_WTS__7042215d45_008"",""pt_mtr_KTL_SHORT-UT_WTS__b1d4e0b499_007"",""pt_mtr_KTL_UT_WTS__6f5be7b0c5_008""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
11,DIH,Diamond Hill,KTL;TML,True,False,True,6,"[""pt_mtr_KTL_DT_DIH__b54ed23bfb_007"",""pt_mtr_KTL_SHORT-DT_DIH__7042215d45_007"",""pt_mtr_KTL_SHORT-UT_DIH__b1d4e0b499_008"",""pt_mtr_KTL_UT_DIH__6f5be7b0c5_009"",""pt_mtr_TML_DT_DIH__b4d6b9d7a8_016"",""pt_mtr_TML_UT_DIH__5c2c425eca_010""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
12,CHH,Choi Hung,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_CHH__b54ed23bfb_006"",""pt_mtr_KTL_SHORT-DT_CHH__7042215d45_006"",""pt_mtr_KTL_SHORT-UT_CHH__b1d4e0b499_009"",""pt_mtr_KTL_UT_CHH__6f5be7b0c5_010""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
13,KOB,Kowloon Bay,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_KOB__b54ed23bfb_005"",""pt_mtr_KTL_SHORT-DT_KOB__7042215d45_005"",""pt_mtr_KTL_SHORT-UT_KOB__b1d4e0b499_010"",""pt_mtr_KTL_UT_KOB__6f5be7b0c5_011""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
14,NTK,Ngau Tau Kok,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_NTK__b54ed23bfb_004"",""pt_mtr_KTL_SHORT-DT_NTK__7042215d45_004"",""pt_mtr_KTL_SHORT-UT_NTK__b1d4e0b499_011"",""pt_mtr_KTL_UT_NTK__6f5be7b0c5_012""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
