transport_mode,official_line_id,official_direction,official_stop_count,official_stop_ids_json,pattern_source_id
ferry,7000003,1,2,"[""101113"", ""101114""]",td_ferry_route_fares
ferry,7000003,2,2,"[""101114"", ""101113""]",td_ferry_route_fares
ferry,7000004,1,3,"[""101114"", ""101117"", ""101120""]",td_ferry_route_fares
ferry,7000004,2,3,"[""101120"", ""101117"", ""101114""]",td_ferry_route_fares
ferry,7000005,1,2,"[""80000006"", ""80000007""]",td_ferry_route_fares
ferry,7000005,2,2,"[""80000007"", ""80000006""]",td_ferry_route_fares
ferry,7000006,1,3,"[""80000023"", ""101342"", ""80000008""]",td_ferry_route_fares
ferry,7000006,2,3,"[""80000008"", ""101342"", ""80000023""]",td_ferry_route_fares
ferry,7000008,1,3,"[""101109"", ""101107"", ""101101""]",td_ferry_route_fares
ferry,7000008,2,3,"[""101101"", ""101107"", ""101109""]",td_ferry_route_fares
ferry,7000009,1,2,"[""101107"", ""101101""]",td_ferry_route_fares
ferry,7000010,1,2,"[""101109"", ""101107""]",td_ferry_route_fares
ferry,7000013,1,2,"[""101356"", ""101128""]",td_ferry_route_fares
ferry,7000013,2,2,"[""101128"", ""101356""]",td_ferry_route_fares
ferry,7000014,1,7,"[""101133"", ""101136"", ""101137"", ""101134"", ""80000013"", ""101131"", ""101130""]",td_ferry_route_fares
ferry,7000014,2,7,"[""101130"", ""101131"", ""80000013"", ""101134"", ""101137"", ""101136"", ""101133""]",td_ferry_route_fares
ferry,7000016,1,3,"[""101128"", ""101356"", ""101350""]",td_ferry_route_fares
ferry,7000016,2,3,"[""101350"", ""101356"", ""101128""]",td_ferry_route_fares
ferry,7000020,1,2,"[""80000017"", ""80000006""]",td_ferry_route_fares
ferry,7000023,1,3,"[""101337"", ""101127"", ""80000019""]",td_ferry_route_fares
ferry,7000023,2,3,"[""80000019"", ""101127"", ""101337""]",td_ferry_route_fares
ferry,7000025,1,4,"[""101343"", ""101354"", ""101342"", ""80000008""]",td_ferry_route_fares
ferry,7000025,2,1,"[""101343""]",td_ferry_route_fares
ferry,7000027,1,2,"[""80000020"", ""101351""]",td_ferry_route_fares
ferry,7000027,2,2,"[""101351"", ""80000020""]",td_ferry_route_fares
ferry,7000028,1,3,"[""80000006"", ""80000016"", ""80000017""]",td_ferry_route_fares
ferry,7000028,2,3,"[""80000017"", ""80000016"", ""80000006""]",td_ferry_route_fares
ferry,7000029,1,4,"[""80000011"", ""101354"", ""101342"", ""80000008""]",td_ferry_route_fares
ferry,7000029,2,4,"[""101354"", ""101342"", ""101354"", ""80000011""]",td_ferry_route_fares
ferry,7000030,1,4,"[""101343"", ""80000008"", ""101342"", ""101354""]",td_ferry_route_fares
ferry,7000030,2,1,"[""101343""]",td_ferry_route_fares
ferry,7000031,1,3,"[""101125"", ""101336"", ""101326""]",td_ferry_route_fares
ferry,7001,1,3,"[""101326"", ""101336"", ""101125""]",td_ferry_route_fares
ferry,7003,1,3,"[""101125"", ""101323"", ""101124""]",td_ferry_route_fares
ferry,7003,2,3,"[""101124"", ""101323"", ""101125""]",td_ferry_route_fares
ferry,7004,1,3,"[""101125"", ""101122"", ""101123""]",td_ferry_route_fares
ferry,7004,2,3,"[""101123"", ""101122"", ""101125""]",td_ferry_route_fares
ferry,7005,1,2,"[""101102"", ""101101""]",td_ferry_route_fares
ferry,7005,2,2,"[""101101"", ""101102""]",td_ferry_route_fares
ferry,7006,1,2,"[""101108"", ""101107""]",td_ferry_route_fares
ferry,7006,2,2,"[""101107"", ""101108""]",td_ferry_route_fares
ferry,7007,1,2,"[""101108"", ""101109""]",td_ferry_route_fares
ferry,7007,2,2,"[""101109"", ""101108""]",td_ferry_route_fares
ferry,7008,1,2,"[""101126"", ""101348""]",td_ferry_route_fares
ferry,7008,2,2,"[""101348"", ""101126""]",td_ferry_route_fares
ferry,7009,1,2,"[""101126"", ""101123""]",td_ferry_route_fares
ferry,7009,2,2,"[""101123"", ""101126""]",td_ferry_route_fares
ferry,7010,1,2,"[""101337"", ""101127""]",td_ferry_route_fares
ferry,7010,2,2,"[""101127"", ""101337""]",td_ferry_route_fares
ferry,7014,1,3,"[""101108"", ""101109"", ""101324""]",td_ferry_route_fares
ferry,7014,2,3,"[""101324"", ""101109"", ""101108""]",td_ferry_route_fares
ferry,7015,1,4,"[""101109"", ""101107"", ""101115"", ""101101""]",td_ferry_route_fares
ferry,7015,2,4,"[""101101"", ""101115"", ""101107"", ""101109""]",td_ferry_route_fares
ferry,7016,1,2,"[""101133"", ""101132""]",td_ferry_route_fares
ferry,7016,2,2,"[""101132"", ""101133""]",td_ferry_route_fares
ferry,7017,1,2,"[""101103"", ""101104""]",td_ferry_route_fares
ferry,7017,2,2,"[""101104"", ""101103""]",td_ferry_route_fares
ferry,7018,1,2,"[""101103"", ""101105""]",td_ferry_route_fares
ferry,7018,2,2,"[""101105"", ""101103""]",td_ferry_route_fares
ferry,7019,1,2,"[""101110"", ""101111""]",td_ferry_route_fares
ferry,7019,2,2,"[""101111"", ""101110""]",td_ferry_route_fares
ferry,7020,1,2,"[""101110"", ""101112""]",td_ferry_route_fares
ferry,7020,2,2,"[""101112"", ""101110""]",td_ferry_route_fares
ferry,7021,1,3,"[""101349"", ""101320"", ""101355""]",td_ferry_route_fares
ferry,7021,2,3,"[""101355"", ""101320"", ""101349""]",td_ferry_route_fares
ferry,7022,1,2,"[""101321"", ""101320""]",td_ferry_route_fares
ferry,7022,2,2,"[""101320"", ""101321""]",td_ferry_route_fares
ferry,7023,1,2,"[""101321"", ""101322""]",td_ferry_route_fares
ferry,7023,2,2,"[""101322"", ""101321""]",td_ferry_route_fares
ferry,7025,1,4,"[""101113"", ""101114"", ""101117"", ""101120""]",td_ferry_route_fares
ferry,7025,2,4,"[""101120"", ""101117"", ""101114"", ""101113""]",td_ferry_route_fares
ferry,7026,1,4,"[""101133"", ""101136"", ""101137"", ""101134""]",td_ferry_route_fares
ferry,7026,2,4,"[""101134"", ""101137"", ""101136"", ""101133""]",td_ferry_route_fares
ferry,7027,1,3,"[""101134"", ""80000013"", ""101130""]",td_ferry_route_fares
ferry,7027,2,3,"[""101130"", ""80000013"", ""101134""]",td_ferry_route_fares
ferry,7030,1,2,"[""101119"", ""101339""]",td_ferry_route_fares
ferry,7030,2,2,"[""101339"", ""101119""]",td_ferry_route_fares
ferry,7031,1,2,"[""101119"", ""101118""]",td_ferry_route_fares
ferry,7031,2,2,"[""101118"", ""101119""]",td_ferry_route_fares
ferry,7032,1,3,"[""101356"", ""101340"", ""101128""]",td_ferry_route_fares
ferry,7032,2,3,"[""101128"", ""101340"", ""101356""]",td_ferry_route_fares
ferry,7035,1,2,"[""101322"", ""101352""]",td_ferry_route_fares
ferry,7035,2,2,"[""101352"", ""101322""]",td_ferry_route_fares
ferry,7036,1,2,"[""101343"", ""101342""]",td_ferry_route_fares
ferry,7041,1,2,"[""101128"", ""101350""]",td_ferry_route_fares
ferry,7041,2,2,"[""101350"", ""101128""]",td_ferry_route_fares
ferry,7051,1,2,"[""101332"", ""101331""]",td_ferry_route_fares
ferry,7051,2,2,"[""101331"", ""101332""]",td_ferry_route_fares
ferry,7052,1,2,"[""101333"", ""101331""]",td_ferry_route_fares
ferry,7052,2,2,"[""101331"", ""101333""]",td_ferry_route_fares
ferry,7053,1,3,"[""101351"", ""101352"", ""101327""]",td_ferry_route_fares
ferry,7053,2,3,"[""101327"", ""101352"", ""101351""]",td_ferry_route_fares
ferry,7055,1,2,"[""80000023"", ""101354""]",td_ferry_route_fares
ferry,7055,2,2,"[""101354"", ""80000023""]",td_ferry_route_fares
ferry,7056,1,2,"[""101349"", ""101320""]",td_ferry_route_fares
ferry,7056,2,2,"[""101320"", ""101349""]",td_ferry_route_fares
ferry,7057,1,2,"[""101125"", ""101326""]",td_ferry_route_fares
ferry,7057,2,2,"[""101326"", ""101125""]",td_ferry_route_fares
ferry,7058,1,2,"[""101336"", ""101326""]",td_ferry_route_fares
ferry,7058,2,2,"[""101326"", ""101336""]",td_ferry_route_fares
ferry,7059,1,2,"[""101358"", ""101357""]",td_ferry_route_fares
ferry,7059,2,2,"[""101357"", ""101358""]",td_ferry_route_fares
light_rail,505,1,16,"[""920"", ""265"", ""270"", ""280"", ""295"", ""60"", ""190"", ""180"", ""170"", ""160"", ""150"", ""140"", ""130"", ""120"", ""110"", ""100""]",mtr_light_rail_stop_patterns
light_rail,505,2,14,"[""100"", ""120"", ""130"", ""140"", ""150"", ""160"", ""170"", ""200"", ""60"", ""295"", ""280"", ""270"", ""265"", ""920""]",mtr_light_rail_stop_patterns
light_rail,507,1,16,"[""1"", ""240"", ""250"", ""260"", ""265"", ""270"", ""280"", ""295"", ""70"", ""75"", ""230"", ""220"", ""212"", ""160"", ""150"", ""140""]",mtr_light_rail_stop_patterns
light_rail,507,2,17,"[""140"", ""140"", ""150"", ""160"", ""212"", ""220"", ""230"", ""75"", ""70"", ""295"", ""280"", ""270"", ""265"", ""260"", ""250"", ""240"", ""1""]",mtr_light_rail_stop_patterns
light_rail,610,1,26,"[""1"", ""10"", ""15"", ""20"", ""30"", ""40"", ""50"", ""200"", ""170"", ""212"", ""220"", ""230"", ""80"", ""90"", ""100"", ""350"", ""360"", ""370"", ""380"", ""390"", ""400"", ""560"", ""570"", ""580"", ""590"", ""600""]",mtr_light_rail_stop_patterns
light_rail,610,2,26,"[""600"", ""590"", ""580"", ""570"", ""560"", ""400"", ""390"", ""380"", ""370"", ""360"", ""350"", ""100"", ""90"", ""80"", ""230"", ""220"", ""212"", ""170"", ""200"", ""50"", ""40"", ""30"", ""20"", ""15"", ""10"", ""1""]",mtr_light_rail_stop_patterns
