mode,distance_bin_lower_m,distance_bin_upper_m,sample_count,fare_median_hkd,fare_p10_hkd,fare_p90_hkd,fare_min_hkd,fare_max_hkd,distance_measure,fare_measure
bus,0,1000,152224,6.8,4.8,18.0,1.2,71.4,straight_line_od_distance,adult_octopus
bus,1000,2000,125357,7.3,5.1,18.6,2.8,71.4,straight_line_od_distance,adult_octopus
bus,2000,3000,90657,7.5,5.1,18.8,2.8,71.4,straight_line_od_distance,adult_octopus
bus,3000,4000,66594,7.8,5.5,18.1,2.8,71.4,straight_line_od_distance,adult_octopus
bus,4000,5000,56158,8.4,5.8,18.1,2.8,71.4,straight_line_od_distance,adult_octopus
bus,5000,6000,45877,9.8,6.7,18.1,1.2,60.7,straight_line_od_distance,adult_octopus
bus,6000,7000,37165,11.0,7.1,18.1,1.2,60.7,straight_line_od_distance,adult_octopus
bus,7000,8000,28795,11.7,7.8,19.6,1.2,60.7,straight_line_od_distance,adult_octopus
bus,8000,9000,22886,12.1,8.4,20.4,1.2,60.7,straight_line_od_distance,adult_octopus
bus,9000,10000,17622,12.5,9.0,20.8,1.2,60.7,straight_line_od_distance,adult_octopus
bus,10000,11000,14674,13.6,9.4,21.7,1.2,60.7,straight_line_od_distance,adult_octopus
bus,11000,12000,11272,12.9,10.0,24.4,1.2,60.7,straight_line_od_distance,adult_octopus
bus,12000,13000,9146,12.7,10.1,24.4,1.2,71.4,straight_line_od_distance,adult_octopus
bus,13000,14000,7017,13.1,10.4,24.4,5.2,71.4,straight_line_od_distance,adult_octopus
bus,14000,15000,6144,14.3,10.8,24.4,7.7,71.4,straight_line_od_distance,adult_octopus
bus,15000,16000,5708,16.9,10.8,27.3,8.3,71.4,straight_line_od_distance,adult_octopus
bus,16000,17000,6578,17.2,11.5,27.3,7.7,71.4,straight_line_od_distance,adult_octopus
bus,17000,18000,6131,18.5,11.5,30.3,8.3,71.4,straight_line_od_distance,adult_octopus
bus,18000,19000,5690,17.9,12.2,34.6,8.3,60.7,straight_line_od_distance,adult_octopus
bus,19000,20000,5752,17.2,14.4,34.6,8.3,60.7,straight_line_od_distance,adult_octopus
bus,20000,21000,5509,18.8,14.4,36.7,11.2,60.7,straight_line_od_distance,adult_octopus
bus,21000,22000,5579,19.6,14.5,36.7,11.2,60.7,straight_line_od_distance,adult_octopus
bus,22000,23000,6136,20.8,14.5,36.7,11.2,60.7,straight_line_od_distance,adult_octopus
bus,23000,24000,6756,23.8,14.5,39.0,11.2,60.7,straight_line_od_distance,adult_octopus
bus,24000,25000,6210,23.8,17.2,39.3,14.4,60.7,straight_line_od_distance,adult_octopus
bus,25000,26000,5051,24.0,18.6,41.5,14.4,63.0,straight_line_od_distance,adult_octopus
bus,26000,27000,3608,23.8,18.6,41.5,14.4,60.7,straight_line_od_distance,adult_octopus
bus,27000,28000,3257,24.8,18.6,41.9,14.4,63.0,straight_line_od_distance,adult_octopus
bus,28000,29000,2766,27.3,18.6,44.0,14.4,63.0,straight_line_od_distance,adult_octopus
bus,29000,30000,1950,27.6,14.8,44.0,14.4,63.0,straight_line_od_distance,adult_octopus
bus,30000,31000,1675,27.9,18.6,44.5,14.4,60.7,straight_line_od_distance,adult_octopus
bus,31000,32000,1237,27.9,18.6,47.1,14.8,60.7,straight_line_od_distance,adult_octopus
bus,32000,33000,877,24.8,24.8,44.0,18.6,60.7,straight_line_od_distance,adult_octopus
bus,33000,34000,867,24.8,24.8,44.0,23.8,54.4,straight_line_od_distance,adult_octopus
bus,34000,35000,437,27.9,24.8,44.0,24.8,44.0,straight_line_od_distance,adult_octopus
bus,35000,36000,108,28.5,24.8,29.0,24.8,44.0,straight_line_od_distance,adult_octopus
bus,36000,37000,23,28.5,28.5,29.0,28.5,29.0,straight_line_od_distance,adult_octopus
bus,37000,38000,11,28.5,28.5,28.5,28.5,28.5,straight_line_od_distance,adult_octopus
ferry,0,1000,10,8.3,3.0,51.0,3.0,60.0,straight_line_od_distance,adult_octopus
ferry,1000,2000,39,10.0,5.64,30.0,5.0,60.0,straight_line_od_distance,adult_octopus
ferry,2000,3000,27,20.0,8.3,45.0,8.3,60.0,straight_line_od_distance,adult_octopus
ferry,3000,4000,25,20.0,11.0,52.00000000000003,10.7,65.0,straight_line_od_distance,adult_octopus
ferry,4000,5000,23,16.3,12.0,20.0,11.0,40.0,straight_line_od_distance,adult_octopus
ferry,5000,6000,10,19.0,12.0,20.0,12.0,20.0,straight_line_od_distance,adult_octopus
ferry,6000,7000,32,20.0,16.2,50.0,14.0,65.0,straight_line_od_distance,adult_octopus
ferry,7000,8000,14,30.0,20.0,51.00000000000003,20.0,60.0,straight_line_od_distance,adult_octopus
ferry,8000,9000,15,20.0,16.3,65.0,16.3,65.0,straight_line_od_distance,adult_octopus
ferry,9000,10000,14,20.0,16.2,28.11000000000001,16.2,30.9,straight_line_od_distance,adult_octopus
ferry,10000,11000,4,49.2,18.4,80.0,18.4,80.0,straight_line_od_distance,adult_octopus
ferry,11000,12000,2,36.0,36.0,36.0,36.0,36.0,straight_line_od_distance,adult_octopus
ferry,12000,13000,6,31.9,20.0,31.9,20.0,31.9,straight_line_od_distance,adult_octopus
