mode,operator,official_route_id,official_route_sequence,route_name,adult_octopus_fare_hkd,source_record_last_update,source_id
bus,KMB,1001,1,1,6.7,2026-05-22,td_bus_route_fares_20260720
bus,KMB,1001,2,1,6.7,2026-05-22,td_bus_route_fares_20260720
bus,KMB,1002,1,10,5.6,2026-04-30,td_bus_route_fares_20260720
bus,KMB+CTB,1006,1,102P,12.9,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1006,2,102P,12.9,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1008,1,103,12.9,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1008,2,103,12.9,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1010,1,106,12.9,2026-07-06,td_bus_route_fares_20260720
bus,KMB+CTB,1010,2,106,12.9,2026-07-06,td_bus_route_fares_20260720
bus,KMB,1014,1,108,12.4,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1014,2,108,12.4,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1015,1,109,12.2,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1015,2,109,12.2,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1016,1,11,5.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1016,2,11,5.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1017,1,110,12.2,2025-07-18,td_bus_route_fares_20260720
bus,KMB+CTB,1019,1,112,12.2,2026-05-07,td_bus_route_fares_20260720
bus,KMB+CTB,1019,2,112,12.2,2026-05-07,td_bus_route_fares_20260720
bus,KMB+CTB,1021,1,115,12.2,2026-01-14,td_bus_route_fares_20260720
bus,KMB+CTB,1021,2,115,12.2,2026-01-14,td_bus_route_fares_20260720
bus,KMB+CTB,1022,1,115P,12.2,2026-01-14,td_bus_route_fares_20260720
bus,KMB+CTB,1023,1,116,12.9,2026-06-18,td_bus_route_fares_20260720
bus,KMB+CTB,1023,2,116,12.9,2026-06-18,td_bus_route_fares_20260720
bus,KMB+CTB,1024,1,117,12.2,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1024,2,117,12.2,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1027,1,11B,5.8,2026-03-20,td_bus_route_fares_20260720
bus,KMB,1027,2,11B,5.8,2026-03-20,td_bus_route_fares_20260720
bus,KMB,1028,1,11C,6.7,2026-05-15,td_bus_route_fares_20260720
bus,KMB,1028,2,11C,6.7,2026-05-15,td_bus_route_fares_20260720
bus,KMB,1029,1,11D,5.8,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1029,2,11D,5.8,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1030,1,11K,5.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1030,2,11K,5.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1031,1,11X,8.6,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1031,2,11X,8.6,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1032,1,12,5.6,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1032,2,12,5.6,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1033,1,12A,5.8,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1033,2,12A,5.8,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1034,1,13D,7.8,2026-05-15,td_bus_route_fares_20260720
bus,KMB,1034,2,13D,7.8,2026-05-15,td_bus_route_fares_20260720
bus,KMB,1035,1,13M,5.1,2026-06-29,td_bus_route_fares_20260720
bus,KMB,1036,1,13P,7.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1037,1,13X,8.6,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1037,2,13X,8.6,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1038,1,14,7.8,2026-05-04,td_bus_route_fares_20260720
bus,KMB,1038,2,14,7.8,2026-05-04,td_bus_route_fares_20260720
bus,KMB,1039,1,14B,5.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1039,2,14B,5.8,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1040,1,14X,8.6,2025-06-02,td_bus_route_fares_20260720
bus,KMB,1041,1,15,7.8,2026-04-30,td_bus_route_fares_20260720
bus,KMB,1041,2,15,7.8,2026-04-30,td_bus_route_fares_20260720
bus,KMB,1042,1,15A,6.7,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1042,2,15A,6.7,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1044,1,16,7.8,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1044,2,16,7.8,2026-05-08,td_bus_route_fares_20260720
bus,KMB,1045,1,16M,5.2,2026-06-29,td_bus_route_fares_20260720
bus,KMB,1046,1,17,6.7,2026-05-15,td_bus_route_fares_20260720
bus,KMB,1046,2,17,6.7,2026-05-15,td_bus_route_fares_20260720
bus,KMB+CTB,1047,1,170,20.8,2025-05-14,td_bus_route_fares_20260720
bus,KMB+CTB,1047,2,170,20.8,2025-05-14,td_bus_route_fares_20260720
bus,KMB,1050,1,18,5.6,2025-01-05,td_bus_route_fares_20260720
bus,KMB+CTB,1051,1,182,20.8,2026-01-14,td_bus_route_fares_20260720
bus,KMB+CTB,1051,2,182,20.8,2026-01-14,td_bus_route_fares_20260720
bus,KMB,1053,1,1A,8.2,2026-04-22,td_bus_route_fares_20260720
bus,KMB,1053,2,1A,8.2,2026-04-22,td_bus_route_fares_20260720
bus,KMB,1054,1,2,5.6,2026-04-17,td_bus_route_fares_20260720
bus,KMB,1054,2,2,5.6,2026-04-17,td_bus_route_fares_20260720
bus,KMB,1056,1,203E,6.7,2026-05-04,td_bus_route_fares_20260720
bus,KMB,1056,2,203E,6.7,2026-05-04,td_bus_route_fares_20260720
bus,KMB,1057,1,208,9.3,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1057,2,208,9.3,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1058,1,21,5.6,2025-01-17,td_bus_route_fares_20260720
bus,KMB,1058,2,21,5.6,2025-01-17,td_bus_route_fares_20260720
bus,KMB,1059,1,211,4.6,2025-01-05,td_bus_route_fares_20260720
bus,KMB,1061,1,215X,8.6,2026-02-23,td_bus_route_fares_20260720
bus,KMB,1061,2,215X,8.6,2026-02-23,td_bus_route_fares_20260720
bus,KMB,1062,1,216M,4.0,2026-05-04,td_bus_route_fares_20260720
bus,KMB,1064,1,219X,8.6,2026-04-10,td_bus_route_fares_20260720
bus,KMB,1066,1,224X,8.6,2025-06-02,td_bus_route_fares_20260720
bus,KMB,1067,1,23,5.6,2025-12-24,td_bus_route_fares_20260720
bus,KMB,1068,1,230X,11.0,2025-01-05,td_bus_route_fares_20260720
