person_id,leg_sequence,mode,cost_component,cost_hkd,cost_source,cost_effective_date,cost_quality,mapping_status,unresolved_reason,required_missing_fields,population_group,role,origin_type,destination_type,origin_facility_id,destination_facility_id,departure_time_s,is_discretionary,serialized_leg_mode,serialized_route_type,serialized_route_attribute_names,serialized_route_has_text,serialized_start_link_id,serialized_end_link_id,serialized_route_distance_m,serialized_route_travel_time,actual_transport_mode,actual_line_id,actual_route_id,actual_direction,boarding_stop_id,alighting_stop_id,transfer_chain,source_record_id,fare_scope,transfer_concession_hkd,transfer_concession_status,transfer_concession_source,fare_passenger_type,fare_payment_medium,estimation_method
hk_collective_000000,0,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,home,work,home_hk_collective_000000,work_poi_igeocom:531363,23071.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_8166_0_r,road_101609_0_f,63624.36599999999,01:59:46,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000000,1,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,work,home,work_poi_igeocom:531363,home_hk_collective_000000,63451.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_101609_0_f,road_8166_0_r,63662.18900000001,02:00:17,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000002,0,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,work_mobile,home,work_mobile,home_hk_collective_000002,work_mobile_grid_23,27301.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_284489_0_f,road_9203_0_f,6639.999,00:15:55,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000002,1,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,work_mobile,work_mobile,home,work_mobile_grid_23,home_hk_collective_000002,57364.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_9203_0_f,road_284489_0_f,6488.849000000003,00:15:33,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000004,0,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,home,work,home_hk_collective_000004,work_grid_814,31972.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_274383_0_r,road_64134_0_f,61502.71899999997,02:00:03,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000004,1,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,work,home,work_grid_814,home_hk_collective_000004,58440.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_64134_0_f,road_274383_0_r,60840.233,01:58:24,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000005,0,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,home,work,home_hk_collective_000005,work_poi_igeocom:21128864,27460.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_274363_0_f,road_266886_0_f,47352.42199999998,01:31:33,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000005,1,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,work,home,work_poi_igeocom:21128864,home_hk_collective_000005,54777.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_266886_0_f,road_274363_0_f,46376.22400000001,01:30:44,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000008,0,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,home,work,home_hk_collective_000008,work_grid_1146,26893.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_284489_0_f,road_4357_0_r,71612.19099999999,02:17:05,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
hk_collective_000008,1,pt,pt_fare_chargeability_audit,,,,U,unresolved,generic_pt_leg_missing_actual_mode_line_route_boarding_alighting_transfer_chain,actual_transport_mode;actual_line_id;actual_route_id;actual_direction;boarding_stop_id;alighting_stop_id;transfer_chain,resident,fixed_worker,work,home,work_grid_1146,home_hk_collective_000008,61848.0,False,pt,generic,distance;end_link;start_link;trav_time;type,False,road_4357_0_r,road_284489_0_f,65996.21900000001,02:04:09,,,,,,,,,,,not_modelled_no_serialized_transfer_chain_or_eligibility,,adult_reference_not_applied,Octopus_reference_not_applied,audit_only_no_fare_estimation
