person_id,leg_sequence,mode,cost_component,cost_hkd,cost_source,cost_effective_date,cost_quality,origin_facility_id,destination_facility_id,origin_type,destination_type,departure_time_s,population_group,role,is_discretionary,euclidean_distance_m,fare_uncertainty_low_hkd,fare_uncertainty_high_hkd,bus_fare_estimate_hkd,gmb_fare_estimate_hkd,train_fare_estimate_hkd,light_rail_fare_estimate_hkd,ferry_fare_estimate_hkd,nearest_reference_distance_gap_m,transfer_concession_hkd,transfer_concession_status,transfer_concession_source,fare_passenger_type,fare_payment_medium,estimation_method
hk_collective_000000,0,pt,pt_base_fare_adult_octopus_distance_proxy,28.5,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,home_hk_collective_000000,work_poi_igeocom:531363,home,work,23071.0,resident,fixed_worker,False,43131.481269998796,7.7,50.0,28.5,28.6,27.8,7.7,50.0,31631.5,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000000,1,pt,pt_base_fare_adult_octopus_distance_proxy,28.5,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,work_poi_igeocom:531363,home_hk_collective_000000,work,home,63451.0,resident,fixed_worker,False,43131.481269998796,7.7,50.0,28.5,28.6,27.8,7.7,50.0,31631.5,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000002,0,pt,pt_base_fare_adult_octopus_distance_proxy,9.2,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,home_hk_collective_000002,work_mobile_grid_23,home,work_mobile,27301.0,resident,work_mobile,False,4971.863974229958,5.4,20.0,8.4,9.5,9.2,5.4,16.3,471.9,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000002,1,pt,pt_base_fare_adult_octopus_distance_proxy,9.2,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,work_mobile_grid_23,home_hk_collective_000002,work_mobile,home,57364.0,resident,work_mobile,False,4971.863974229958,5.4,20.0,8.4,9.5,9.2,5.4,16.3,471.9,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000004,0,pt,pt_base_fare_adult_octopus_distance_proxy,28.6,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,home_hk_collective_000004,work_grid_814,home,work,31972.0,resident,fixed_worker,False,31389.181815601893,7.7,54.4,27.9,28.6,54.4,7.7,50.0,19889.2,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000004,1,pt,pt_base_fare_adult_octopus_distance_proxy,28.6,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,work_grid_814,home_hk_collective_000004,work,home,58440.0,resident,fixed_worker,False,31389.181815601893,7.7,54.4,27.9,28.6,54.4,7.7,50.0,19889.2,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000005,0,pt,pt_base_fare_adult_octopus_distance_proxy,28.1,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,home_hk_collective_000005,work_poi_igeocom:21128864,home,work,27460.0,resident,fixed_worker,False,30513.20979231643,7.7,54.0,27.9,28.6,28.1,7.7,50.0,19013.2,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000005,1,pt,pt_base_fare_adult_octopus_distance_proxy,28.1,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,work_poi_igeocom:21128864,home_hk_collective_000005,work,home,54777.0,resident,fixed_worker,False,30513.20979231643,7.7,54.0,27.9,28.6,28.1,7.7,50.0,19013.2,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000008,0,pt,pt_base_fare_adult_octopus_distance_proxy,28.5,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,home_hk_collective_000008,work_grid_1146,home,work,26893.0,resident,fixed_worker,False,38268.88227228761,7.7,50.0,28.5,28.6,27.8,7.7,50.0,26768.9,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
hk_collective_000008,1,pt,pt_base_fare_adult_octopus_distance_proxy,28.5,TD_GTFS_20260720+MTR_OPEN_DATA_20260720_mode_balanced_distance_bin_median,2026-07-14,low_official_fare_distance_proxy_no_itinerary,work_grid_1146,home_hk_collective_000008,work,home,61848.0,resident,fixed_worker,False,38268.88227228761,7.7,50.0,28.5,28.6,27.8,7.7,50.0,26768.9,,not_applied_no_serialized_itinerary_or_eligibility,,adult,Octopus,median_of_mode_specific_official_fare_distance_bin_medians
