matsim_line_id,matsim_route_id,transport_mode,operator,official_route_id,official_route_sequence,official_line_id,official_direction,scheduled_stop_count,mapped_stop_count,stop_id_coverage,candidate_count,candidate_cardinality,route_identifier_status,direction_status,fare_scope,official_od_pair_count,required_forward_pair_count,matched_forward_pair_count,forward_pair_coverage,full_fare_record_count,mapping_status,mapping_quality,matching_method,evidence,unresolved_reason
line_bus_1000001,bus_1000001_1,bus,KMB,1000001,1,1000001,,21,21,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,440,210,210,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""9571"",""9573"",""9576"",""12749"",""9581"",""9586"",""9588"",""9570"",""9590"",""9592"",""9594"",""9597"",""13380"",""9599"",""6111"",""6113"",""10000016"",""12406"",""12407"",""12408"",""13183""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000001,bus_1000001_2,bus,KMB,1000001,2,1000001,,22,22,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,440,231,231,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""12408"",""13183"",""12401"",""12402"",""10000018"",""6114"",""721"",""13379"",""9598"",""9596"",""9595"",""9591"",""9569"",""9572"",""9587"",""9580"",""9579"",""9578"",""9577"",""9574"",""12418"",""9571""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000002,bus_1000002_1,bus,KMB,1000002,1,1000002,,16,16,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,120,120,120,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""13183"",""13089"",""13090"",""12401"",""12402"",""10000018"",""884"",""4144"",""4084"",""8318"",""1151"",""1152"",""712"",""4089"",""10260"",""13387""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000004,bus_1000004_1,bus,,1000004,1,1000004,,2,0,0.0,0,none,official_route_id_without_fare_candidate,direction_not_encoded,route_stop_od,0,0,0,0.0,0,unresolved,U,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[],""official_stop_ids"":[]}",official_route_fare_and_stop_evidence_missing
line_bus_1000004,bus_1000004_2,bus,,1000004,2,1000004,,2,0,0.0,0,none,official_route_id_without_fare_candidate,direction_not_encoded,route_stop_od,0,0,0,0.0,0,unresolved,U,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[],""official_stop_ids"":[]}",official_route_fare_and_stop_evidence_missing
line_bus_1000006,bus_1000006_1,bus,CTB,1000006,1,1000006,,29,29,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,406,406,406,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""635"",""636"",""3033"",""586"",""3034"",""1504"",""587"",""120"",""318"",""122"",""319"",""22"",""24"",""621"",""3024"",""623"",""624"",""625"",""626"",""627"",""628"",""629"",""393"",""394"",""644"",""645"",""646"",""638"",""12536""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000007,bus_1000007_1,bus,KMB,1000007,1,1000007,,20,20,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,190,190,190,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""1027"",""8180"",""1029"",""1030"",""1031"",""8201"",""1368"",""1058"",""1064"",""1084"",""8224"",""8334"",""12885"",""1310"",""723"",""1286"",""12352"",""1289"",""12365"",""4246""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000008,bus_1000008_1,bus,KMB,1000008,1,1000008,,19,19,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,171,171,171,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""1162"",""724"",""9002"",""968"",""4028"",""194"",""751"",""12367"",""1385"",""4186"",""1387"",""4187"",""4188"",""4189"",""4190"",""4191"",""4192"",""1407"",""1408""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000009,bus_1000009_1,bus,CTB,1000009,1,1000009,,26,26,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,325,325,325,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""12963"",""12591"",""13333"",""10000109"",""12998"",""12590"",""1233"",""1234"",""1235"",""1237"",""9727"",""1238"",""1196"",""13334"",""911"",""10000060"",""1195"",""647"",""401"",""131"",""132"",""3131"",""276"",""277"",""12584"",""481""]}",direction_not_encoded_in_official_fare_rules
line_bus_1000010,bus_1000010_1,bus,KMB+CTB,1000010,1,1000010,,21,21,1.0,1,one,matched_official_route_id,direction_not_encoded,route_stop_od,441,210,210,1.0,1,partial,B,route_id_plus_schedule_forward_stop_pair_coverage,"{""candidate_method"":""none"",""direction_edge_coverage"":0.0,""fare_source_ids"":[""td_gtfs_20260720""],""official_stop_ids"":[""9434"",""12385"",""9440"",""9437"",""953"",""9461"",""9459"",""12922"",""9425"",""9451"",""9449"",""9447"",""9446"",""9455"",""9453"",""9418"",""9419"",""3274"",""146"",""12982"",""149""]}",direction_not_encoded_in_official_fare_rules
