matsim_line_id,matsim_line_name,matsim_route_id,transport_mode,stop_count,departure_count,first_departure,last_departure,first_stop_ref_id,last_stop_ref_id,official_route_id,official_route_sequence,company_code,route_name,approval_status,agency_id,route_short_name,route_long_name,operator,official_stop_ids_json,official_stop_id_coverage
line_bus_1000001,43S,bus_1000001_1,bus,21,1,07:50:00,07:50:00,pt_bus_9571_1a1df65654__fc81280222_000,pt_bus_13183_66dcf94882__fc81280222_020,1000001,1,KMB,43S,accepted,KMB,43S,SHEK YAM - HONG KONG SCIENCE PARK,KMB,"[""9571"", ""9573"", ""9576"", ""12749"", ""9581"", ""9586"", ""9588"", ""9570"", ""9590"", ""9592"", ""9594"", ""9597"", ""13380"", ""9599"", ""6111"", ""6113"", ""10000016"", ""12406"", ""12407"", ""12408"", ""13183""]",1.0
line_bus_1000001,43S,bus_1000001_2,bus,22,1,18:15:00,18:15:00,pt_bus_12408_b89f9ce66f__bc34110d87_000,pt_bus_9571_1a1df65654__bc34110d87_021,1000001,2,KMB,43S,accepted,KMB,43S,SHEK YAM - HONG KONG SCIENCE PARK,KMB,"[""12408"", ""13183"", ""12401"", ""12402"", ""10000018"", ""6114"", ""721"", ""13379"", ""9598"", ""9596"", ""9595"", ""9591"", ""9569"", ""9572"", ""9587"", ""9580"", ""9579"", ""9578"", ""9577"", ""9574"", ""12418"", ""9571""]",1.0
line_bus_1000002,74P,bus_1000002_1,bus,16,1,18:10:00,18:10:00,pt_bus_13183_66dcf94882__05b2c6b643_000,pt_bus_13387_d48554dd7c__05b2c6b643_015,1000002,1,KMB,74P,accepted,KMB,74P,HONG KONG SCIENCE PARK - KWUN TONG FERRY,KMB,"[""13183"", ""13089"", ""13090"", ""12401"", ""12402"", ""10000018"", ""884"", ""4144"", ""4084"", ""8318"", ""1151"", ""1152"", ""712"", ""4089"", ""10260"", ""13387""]",1.0
line_bus_1000004,bus_1000004_1,bus_1000004_1,bus,2,71,06:00:00,23:30:00,pt_proxy_bus_1000004_1_origin__caa21d9f22_000,pt_proxy_bus_1000004_1_destination__caa21d9f22_001,1000004,1,,,accepted,,,,,"["""", """"]",0.0
line_bus_1000004,bus_1000004_1,bus_1000004_2,bus,2,71,06:00:00,23:30:00,pt_proxy_bus_1000004_2_origin__d98b5cd7cb_000,pt_proxy_bus_1000004_2_destination__d98b5cd7cb_001,1000004,2,,,accepted,,,,,"["""", """"]",0.0
line_bus_1000006,5B,bus_1000006_1,bus,29,1,08:40:00,08:40:00,pt_bus_635_3dbe354792__c80d9e2c06_000,pt_bus_12536_aef8eac940__c80d9e2c06_028,1000006,1,CTB,5B,accepted,CTB,5B,CAUSEWAY BAY (TUNG LO WAN ROAD) - FELIX VILLAS,CTB,"[""635"", ""636"", ""3033"", ""586"", ""3034"", ""1504"", ""587"", ""120"", ""318"", ""122"", ""319"", ""22"", ""24"", ""621"", ""3024"", ""623"", ""624"", ""625"", ""626"", ""627"", ""628"", ""629"", ""393"", ""394"", ""644"", ""645"", ""646"", ""638"", ""12536""]",1.0
line_bus_1000007,215X,bus_1000007_1,bus,20,26,07:12:00,18:40:00,pt_bus_1027_7ceecd5377__c99aa55ab3_000,pt_bus_4246_a93c06d6d7__c99aa55ab3_019,1000007,1,KMB,215X,accepted,KMB,215X,LAM TIN (KWONG TIN ESTATE) - KOWLOON STATION (OMIT COOKIE STREET),KMB,"[""1027"", ""8180"", ""1029"", ""1030"", ""1031"", ""8201"", ""1368"", ""1058"", ""1064"", ""1084"", ""8224"", ""8334"", ""12885"", ""1310"", ""723"", ""1286"", ""12352"", ""1289"", ""12365"", ""4246""]",1.0
line_bus_1000008,3X,bus_1000008_1,bus,19,2,17:45:00,18:15:00,pt_bus_1162_598827be1a__6708f06cb5_000,pt_bus_1408_9a9cf2dcaa__6708f06cb5_018,1000008,1,KMB,3X,accepted,KMB,3X,CHINA FERRY TERMINAL - TSZ WAN SHAN (NORTH),KMB,"[""1162"", ""724"", ""9002"", ""968"", ""4028"", ""194"", ""751"", ""12367"", ""1385"", ""4186"", ""1387"", ""4187"", ""4188"", ""4189"", ""4190"", ""4191"", ""4192"", ""1407"", ""1408""]",1.0
line_bus_1000009,952P,bus_1000009_1,bus,26,4,07:10:00,07:50:00,pt_bus_12963_153a9a700c__a8a43e9195_000,pt_bus_481_511e477b27__a8a43e9195_025,1000009,1,CTB,952P,accepted,CTB,952P,SO KWUN WAT - CAUSEWAY BAY (MORETON TERRACE),CTB,"[""12963"", ""12591"", ""13333"", ""10000109"", ""12998"", ""12590"", ""1233"", ""1234"", ""1235"", ""1237"", ""9727"", ""1238"", ""1196"", ""13334"", ""911"", ""10000060"", ""1195"", ""647"", ""401"", ""131"", ""132"", ""3131"", ""276"", ""277"", ""12584"", ""481""]",1.0
line_bus_1000010,948E,bus_1000010_1,bus,21,4,07:15:00,07:45:00,pt_bus_9434_226302f79c__2ce0e0f2ce_000,pt_bus_149_54802a879d__2ce0e0f2ce_020,1000010,1,KMB+CTB,948E,accepted,KMB+CTB,948E,TSING YI STATION - TAIKOO(KORNHILL PLAZA),KMB+CTB,"[""9434"", ""12385"", ""9440"", ""9437"", ""953"", ""9461"", ""9459"", ""12922"", ""9425"", ""9451"", ""9449"", ""9447"", ""9446"", ""9455"", ""9453"", ""9418"", ""9419"", ""3274"", ""146"", ""12982"", ""149""]",1.0
line_bus_1000010,948E,bus_1000010_2,bus,22,4,17:50:00,18:35:00,pt_bus_104_112d0ac70a__7975d411d2_000,pt_bus_9434_226302f79c__7975d411d2_021,1000010,2,KMB+CTB,948E,accepted,KMB+CTB,948E,TSING YI STATION - TAIKOO(KORNHILL PLAZA),KMB+CTB,"[""104"", ""107"", ""12752"", ""109"", ""921"", ""9420"", ""9417"", ""9454"", ""9456"", ""9445"", ""9448"", ""9450"", ""9426"", ""9458"", ""9460"", ""9462"", ""976"", ""9436"", ""9439"", ""9440"", ""12907"", ""9434""]",1.0
line_bus_1000011,A43P,bus_1000011_1,bus,15,2,17:00:00,18:00:00,pt_bus_929_00b7579783__3e47f5fce9_000,pt_bus_6521_e0a807dd42__3e47f5fce9_014,1000011,1,LWB,A43P,accepted,LWB,A43P,AIRPORT (GROUND TRANSPORTATION CENTRE) - FANLING (LUEN WO HUI) (VIA ASIA-WORLD EXPO),LWB,"[""929"", ""13309"", ""13304"", ""13345"", ""10240"", ""10208"", ""6690"", ""6626"", ""6625"", ""6598"", ""6600"", ""10000177"", ""6532"", ""6534"", ""6521""]",1.0
line_bus_1000013,933,bus_1000013_1,bus,15,4,07:05:00,08:15:00,pt_bus_12760_ec8dd1bf8c__89fd8c8db1_000,pt_bus_176_8ff726a00c__89fd8c8db1_014,1000013,1,CTB,933,accepted,CTB,933,TSUEN WAN WEST STATION - SAI WAN HO,CTB,"[""12760"", ""12874"", ""10000196"", ""9662"", ""911"", ""1305"", ""1306"", ""3274"", ""146"", ""147"", ""148"", ""180"", ""174"", ""175"", ""176""]",1.0
